FAO_name,Taxon_code,mar_category
[Chondracanthus chamissoi],AL,
[Porphyra columbina],AL,
[Spirulina maxima],AL,
Aquatic plants nei,AL,
Babberlocks,AL,
Bright green nori,AL,
Brown seaweeds,AL,
Caulerpa seaweeds,AL,
Dulse,AL,
Elkhorn sea moss,AL,
Eucheuma seaweeds nei,AL,
Fragile codium,AL,
Fusiform sargassum,AL,
Gelidium seaweeds,AL,
Giant kelp,AL,
Gracilaria seaweeds,AL,
Green laver,AL,
Harpoon seaweeds,AL,
Japanese isinglass,AL,
Japanese kelp,AL,
Kelp nei,AL,
Laver (Nori),AL,
Mozuku,AL,
Nori nei,AL,
Red seaweeds,AL,
Sea belt,AL,
Seaweeds nei,AL,
Spiny eucheuma,AL,
Tangle,AL,
Wakame,AL,
Wakame nei,AL,
Warty gracilaria,AL,
Giant kelps nei,AL,
Green seaweeds,AL,
Coarse seagrape,AL,
[Sargassum spp],AL,
Spirulina nei,AL,
[Dunaliella salina],AL,
[Capsosiphon fulvescens],AL,
Slender wart weed,AL,
Abalones nei,BI,
American cupped oyster,BI,
Anadara clams nei,BI,
Australian mussel,BI,
Banded carpet shell,BI,
Bear paw clam,BI,
Black ark,BI,
Blacklip abalone,BI,
Blacklip pearl oyster,BI,
Blood cockle,BI,
Blue mussel,BI,
Butter clam,BI,
Carpet shells nei,BI,
Chilean flat oyster,BI,
Chilean mussel,BI,
Cholga mussel,BI,
Choro mussel,BI,
"Clams, etc. nei",BI,
Cockles nei,BI,
Common edible cockle,BI,
Constricted tagelus,BI,
Cortez oyster,BI,
Crocus giant clam,BI,
Cupped oysters nei,BI,
Diphos sanguin,BI,
Donax clams,BI,
Elongate giant clam,BI,
European flat oyster,BI,
False abalone,BI,
Flat and cupped oysters nei,BI,
Flat oysters nei,BI,
Fluted giant clam,BI,
Gasar cupped oyster,BI,
Gastropods nei,BI,
Giant clam,BI,
Giant clams nei,BI,
Globose clam,BI,
Golden carpet shell,BI,
Grand ark,BI,
Great Atlantic scallop,BI,
Green mussel,BI,
Grooved carpet shell,BI,
Hooded oyster,BI,
Horned turban,BI,
Horse mussels nei,BI,
Indian backwater oyster,BI,
Inflated ark,BI,
Japanese abalone,BI,
Japanese carpet shell,BI,
Japanese hard clam,BI,
Korean mussel,BI,
Mangrove cupped oyster,BI,
Mediterranean mussel,BI,
New Zealand mussel,BI,
Northern quahog(=Hard clam),BI,
Olympia oyster,BI,
Oriental cyclina,BI,
Pacific calico scallop,BI,
Pacific cupped oyster,BI,
Pacific geoduck,BI,
Pacific horse clam,BI,
Pacific lion's paw,BI,
Pacific littleneck clam,BI,
Pearl oyster shells nei,BI,
Pen shells nei,BI,
Penguin wing oyster,BI,
Peppery furrow,BI,
Periwinkles nei,BI,
Perlemoen abalone,BI,
Peruvian calico scallop,BI,
Pod razor shell,BI,
Pullet carpet shell,BI,
Queen conch,BI,
Queen scallop,BI,
Red abalone,BI,
River Plata mussel,BI,
Rooster venus,BI,
Sand gaper,BI,
Scallops nei,BI,
Sea mussels nei,BI,
Sea snails,BI,
Slipper cupped oyster,BI,
Smooth giant clam,BI,
Smooth mactra,BI,
Solen razor clams nei,BI,
South American rock mussel,BI,
Southern Australia scallop,BI,
Striped venus,BI,
Stromboid conchs nei,BI,
Sydney cupped oyster,BI,
Tuberculate abalone,BI,
Variegated scallop,BI,
Venus clams nei,BI,
Warty venus,BI,
Yesso scallop,BI,
Great Mediterranean scallop,BI,
Pacific asaphis,BI,
Rough turban,BI,
Broad geloina,BI,
Rainbow abalone,BI,
Olive green cockle,BI,
Common cuttlefish,CEPH,
Octopuses nei,CEPH,
"Octopuses, etc. nei",CEPH,
Blue crab,CRUST,
Blue swimming crab,CRUST,
Callinectes swimcrabs nei,CRUST,
Flathead lobster,CRUST,
Gazami crab,CRUST,
Green crab,CRUST,
Indo-Pacific swamp crab,CRUST,
Japanese spiny lobster,CRUST,
Marine crabs nei,CRUST,
Marine crustaceans nei,CRUST,
Mud spiny lobster,CRUST,
Natantian decapods nei,CRUST,
Orange mud crab,CRUST,
Palinurid spiny lobsters nei,CRUST,
Portunus swimcrabs nei,CRUST,
Spinous spider crab,CRUST,
Spiny lobsters nei,CRUST,
"Swimming crabs, etc. nei",CRUST,
Tropical spiny lobsters nei,CRUST,
Mediterranean shore crab,CRUST,
Caribbean spiny lobster,CRUST,
Green mud crab,CRUST,
[Boleophthalmus pectinirostris],F,
[Solea spp],F,
Amberjacks nei,F,
Arctic char,F,salmon
Areolate grouper,F,
Atipa,F,
Atlantic bluefin tuna,F,
Atlantic cod,F,
Atlantic halibut,F,
Atlantic salmon,F,salmon
Atlantic spadefish,F,
Atlantic wolffish,F,
Bagrid catfish,F,
Ballan wrasse,F,
Barramundi(=Giant seaperch),F,
Bastard halibut,F,
Bastard halibuts nei,F,
Big-scale sand smelt,F,
Bigeye trevally,F,
Bighead carp,F,
Black bullhead,F,
Black catfishes nei,F,
Black grouper,F,
Black seabass,F,
Blackchin tilapia,F,
Blackhead seabream,F,
Blackspot(=red) seabream,F,
Blue tilapia,F,
Bluefish,F,
Bluegill,F,
Bluespot mullet,F,
Brill,F,
Brown meagre,F,
Brown-marbled grouper,F,
Chars nei,F,salmon
Chinook(=Spring=King) salmon,F,salmon
Chum(=Keta=Dog) salmon,F,salmon
Cobia,F,
Coho(=Silver) salmon,F,salmon
Common carp,F,
Common dentex,F,
Common pandora,F,
Common snook,F,
Common sole,F,
Common two-banded seabream,F,
Crevalle jack,F,
Crimson seabream,F,
"Croakers, drums nei",F,
Cyprinids nei,F,
Daggertooth pike conger,F,
Dotted gizzard shad,F,
Drums nei,F,
European eel,F,
European flounder,F,
European seabass,F,
European whitefish,F,
Filefishes nei,F,
"Filefishes, leatherjackets nei",F,
Finfishes nei,F,
Flatfishes nei,F,
Flathead grey mullet,F,
Florida pompano,F,
Fourfinger threadfin,F,
Freshwater fishes nei,F,
Freshwater siluroids nei,F,
Giant grouper,F,
Gilthead seabream,F,
Gobies nei,F,
Golden trevally,F,
Goldlined seabream,F,
Goldsilk seabream,F,
Grass carp(=White amur),F,
Greasy grouper,F,
Great blue spotted mudskipper,F,
Greater amberjack,F,
Green humphead parrotfish,F,
Groundfishes nei,F,
Groupers nei,F,
"Groupers, seabasses nei",F,
"Gudgeons, sleepers nei",F,
Haddock,F,
Hong Kong grouper,F,
Humpback grouper,F,
Indonesian snakehead,F,
"Jacks, crevalles nei",F,
Japanese amberjack,F,
Japanese eel,F,
Japanese jack mackerel,F,
Japanese meagre,F,
Japanese seabass,F,
Japanese seabream,F,
John's snapper,F,
Korean rockfish,F,
Large yellow croaker,F,
Largemouth black bass,F,
Lebranche mullet,F,
Lefteye flounders nei,F,
Longfin yellowtail,F,
Mackerels nei,F,
Malabar grouper,F,
Malabar trevally,F,
