region,species,variable,units,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rogaland,Total,Stock_Jan1_count,1000x,25936,29822,27816,27966,27432,28974,27990,29076,27731
Rogaland,Salmon,Stock_Jan1_count,1000x,24934,28705,26753,26729,26292,28003,26761,27589,26354
Rogaland,Rainbow trout,Stock_Jan1_count,1000x,25,43,26,19,19,37,30,NA,NA
Rogaland,Other fish species,Stock_Jan1_count,1000x,977,1074,1037,1218,1121,934,1199,NA,NA
Hordaland,Total,Stock_Jan1_count,1000x,59913,60375,71408,64757,67034,61911,66551,59880,65149
Hordaland,Salmon,Stock_Jan1_count,1000x,48986,48402,58092,51023,55393,49892,54359,50621,55332
Hordaland,Rainbow trout,Stock_Jan1_count,1000x,10477,11465,12277,12529,11621,12014,12112,9042,NA
Hordaland,Other fish species,Stock_Jan1_count,1000x,450,508,1039,1205,20,5,80,217,NA
Sogn og Fjordane,Total,Stock_Jan1_count,1000x,31711,35071,37951,36116,36530,35882,36846,36687,36633
Sogn og Fjordane,Salmon,Stock_Jan1_count,1000x,26388,29355,30641,30627,30135,29690,30581,31002,31092
Sogn og Fjordane,Rainbow trout,Stock_Jan1_count,1000x,3516,4710,5863,5191,NA,NA,NA,5313,NA
Sogn og Fjordane,Other fish species,Stock_Jan1_count,1000x,1807,1006,1447,298,NA,NA,NA,372,NA
Møre og Romsdal,Total,Stock_Jan1_count,1000x,43598,42731,38299,48487,33218,52538,25033,49155,23794
Møre og Romsdal,Salmon,Stock_Jan1_count,1000x,35814,36347,31965,43319,29098,48410,21886,46026,19554
Møre og Romsdal,Rainbow trout,Stock_Jan1_count,1000x,3372,3390,4291,NA,NA,NA,NA,NA,3757
Møre og Romsdal,Other fish species,Stock_Jan1_count,1000x,4412,2994,2043,NA,NA,NA,NA,NA,483
Trøndelag,Total,Stock_Jan1_count,1000x,0,0,0,0,0,0,0,0,90216
Trøndelag,Salmon,Stock_Jan1_count,1000x,0,0,0,0,0,0,0,0,89199
Trøndelag,Rainbow trout,Stock_Jan1_count,1000x,0,0,0,0,0,0,0,0,NA
Trøndelag,Other fish species,Stock_Jan1_count,1000x,0,0,0,0,0,0,0,0,NA
Sør-Trøndelag,Total,Stock_Jan1_count,1000x,40421,41313,46368,33773,57875,34889,56706,32256,0
