"country","iso3c","year","fao_tonnes_production"
"Australia","AUS",2010,31806.79
"Australia","AUS",2011,36662.04
"Australia","AUS",2012,43982
"Australia","AUS",2013,42825.01
"Australia","AUS",2014,41590.66
"Australia","AUS",2015,48330.56
"Australia","AUS",2016,56115.2
"Australia","AUS",2017,52580.2
"Australia","AUS",2018,61227
"Canada","CAN",2010,114443
"Canada","CAN",2011,124864
"Canada","CAN",2012,133275
"Canada","CAN",2013,119991
"Canada","CAN",2014,92577
"Canada","CAN",2015,141874
"Canada","CAN",2016,149110
"Canada","CAN",2017,140912
"Canada","CAN",2018,137184
"Chile","CHL",2010,430636
"Chile","CHL",2011,608266
"Chile","CHL",2012,758145
"Chile","CHL",2013,736203
"Chile","CHL",2014,899435
"Chile","CHL",2015,829631
"Chile","CHL",2016,726914
"Chile","CHL",2017,852241.12
"Chile","CHL",2018,887230.87
"Denmark","DNK",2010,10100
"Denmark","DNK",2011,10100
"Denmark","DNK",2012,10327.28
"Denmark","DNK",2013,13840
"Denmark","DNK",2014,10733
"Denmark","DNK",2015,12142.7
"Denmark","DNK",2016,11087
"Denmark","DNK",2017,13036
"Denmark","DNK",2018,9737
"Faroe Islands","FRO",2010,47575
"Faroe Islands","FRO",2011,60473
"Faroe Islands","FRO",2012,76564
"Faroe Islands","FRO",2013,75821
"Faroe Islands","FRO",2014,86454
"Faroe Islands","FRO",2015,80600
"Faroe Islands","FRO",2016,83300
"Faroe Islands","FRO",2017,86800
"Faroe Islands","FRO",2018,78900
"Finland","FIN",2010,9846
"Finland","FIN",2011,9312
"Finland","FIN",2012,10393
"Finland","FIN",2013,11367
"Finland","FIN",2014,11408
"Finland","FIN",2015,12278
"Finland","FIN",2016,11906.6
"Finland","FIN",2017,12286.6
"Finland","FIN",2018,11754.3
"Iceland","ISL",2010,3495
"Iceland","ISL",2011,4104
"Iceland","ISL",2012,6012
"Iceland","ISL",2013,6233
"Iceland","ISL",2014,7376
"Iceland","ISL",2015,7197
"Iceland","ISL",2016,12504
"Iceland","ISL",2017,15719
"Iceland","ISL",2018,18362
"Iran (Islamic Rep. of)","IRN",2018,6300
"Ireland","IRL",2010,15691
"Ireland","IRL",2011,12796
"Ireland","IRL",2012,12440
"Ireland","IRL",2013,9124.9
"Ireland","IRL",2014,9367.6
"Ireland","IRL",2015,13116
"Ireland","IRL",2016,16300
"Ireland","IRL",2017,18342
"Ireland","IRL",2018,11984
"Japan","JPN",2010,14766
"Japan","JPN",2012,9728
"Japan","JPN",2013,12215
"Japan","JPN",2014,12802
"Japan","JPN",2015,13937
"Japan","JPN",2016,13208
"Japan","JPN",2017,15648
"Japan","JPN",2018,18000
"New Zealand","NZL",2010,12280
"New Zealand","NZL",2011,13362
"New Zealand","NZL",2012,11194
"New Zealand","NZL",2013,11415
"New Zealand","NZL",2014,9756
"New Zealand","NZL",2015,10807
"New Zealand","NZL",2016,11451
"New Zealand","NZL",2017,13234
"New Zealand","NZL",2018,14339
"Norway","NOR",2010,994115
"Norway","NOR",2011,1123340
"Norway","NOR",2012,1306677.9
"Norway","NOR",2013,1239772.6
"Norway","NOR",2014,1327266.1
"Norway","NOR",2015,1376267.19
"Norway","NOR",2016,1321393.7
"Norway","NOR",2017,1303255.33
"Norway","NOR",2018,1350219
"Russian Federation","RUS",2010,4500
"Russian Federation","RUS",2011,8500
"Russian Federation","RUS",2012,8754
"Russian Federation","RUS",2013,22500
"Russian Federation","RUS",2014,18675
"Russian Federation","RUS",2015,10834
"Russian Federation","RUS",2016,12857
"Russian Federation","RUS",2017,13016
"Russian Federation","RUS",2018,20566
"Sweden","SWE",2010,2283
"Sweden","SWE",2011,3255
"Sweden","SWE",2012,3051
"Sweden","SWE",2013,3116
"Sweden","SWE",2014,2485
"Sweden","SWE",2015,1919
"Sweden","SWE",2016,2424
"Sweden","SWE",2017,2856
"Sweden","SWE",2018,2870
"Turkey","TUR",2010,7079
"Turkey","TUR",2011,7697
"Turkey","TUR",2012,3234
"Turkey","TUR",2013,5186.2
"Turkey","TUR",2014,5610
"Turkey","TUR",2015,6872
"Turkey","TUR",2016,5716
"Turkey","TUR",2017,5952
"Turkey","TUR",2018,9235
"United Kingdom","GBR",2010,156231
"United Kingdom","GBR",2011,159461
"United Kingdom","GBR",2012,164619
"United Kingdom","GBR",2013,165476
"United Kingdom","GBR",2014,181300
"United Kingdom","GBR",2015,176815.26
"United Kingdom","GBR",2016,166890.52
"United Kingdom","GBR",2017,193189
"United Kingdom","GBR",2018,169500
"United States of America","USA",2010,19535
"United States of America","USA",2011,18595
"United States of America","USA",2012,19295
"United States of America","USA",2013,18866
"United States of America","USA",2014,18719
"United States of America","USA",2015,18719
"United States of America","USA",2016,16185
"United States of America","USA",2017,14685
"United States of America","USA",2018,16107
