iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
GRC,sheep,mixed,milk,296.8810549752165,1884.4842784321045,8757.230289154077,10938.595622561397
GRD,sheep,mixed,milk,0,0,0,0
GRL,sheep,mixed,milk,0,0,0,0
GTM,sheep,mixed,milk,0,0,0,0
GUF,sheep,mixed,milk,0,0,0,0
GUM,sheep,mixed,milk,0,0,0,0
GUY,sheep,mixed,milk,0,0,0,0
HKG,sheep,mixed,milk,0,0,0,0
HND,sheep,mixed,milk,0,0,0,0
HRV,sheep,mixed,milk,10.816745035586868,68.66044707727684,210.18504207329644,289.66223418616016
HTI,sheep,mixed,milk,0,0,0,0
HUN,sheep,mixed,milk,8.8328249506843175,56.067301953965945,44.49785869362376,109.39798559827402
IDN,sheep,mixed,milk,901.8840703891306,3725.667192539481,4543.49657626766,9171.047839196272
IMN,sheep,mixed,milk,0.07371062679398618,0.467886094510945,13.368174128884142,13.909770850189073
IND,sheep,mixed,milk,0.18559712385542942,0.7666984461534113,0.9349981050651357,1.8872936750739764
IOT,sheep,mixed,milk,0,0,0,0
IRL,sheep,mixed,milk,0,0,0,0
IRN,sheep,mixed,milk,1734.3726965046674,7164.663028382,8737.39393705122,17636.429661937887
IRQ,sheep,mixed,milk,540.0905103918637,1741.3497564271677,2720.858994417449,5002.299261236481
ISL,sheep,mixed,milk,0,0,0,0
ISR,sheep,mixed,milk,43.56894673340707,140.4741859414636,219.49091553353685,403.5340482084075
ITA,sheep,mixed,milk,123.86615096762257,786.2536534972515,8424.146287470552,9334.266091935426
JAM,sheep,mixed,milk,0,0,0,0
JEY,sheep,mixed,milk,0.08296708664039207,0.5266424643168462,0.9404329719943684,1.5500425229516068
JOR,sheep,mixed,milk,201.70441340584188,650.3316099734952,1016.1431405835862,1868.1791639629232
JPN,sheep,mixed,milk,1.4694899228103753,6.070436960727998,7.402971903326828,14.942898786865202
KAZ,sheep,mixed,milk,18.138557263990517,58.48199823150594,91.37812223672803,167.99867773222448
KEN,sheep,mixed,milk,448.7518713296781,1853.7860679613905,2260.714717026086,4563.252656317155
KGZ,sheep,mixed,milk,45.260217823208826,145.92715066425012,228.0111729128908,419.19854140034977
KHM,sheep,mixed,milk,2.1590240937112046,8.918890462686084,10.876695686202543,21.95461024259983
KIR,sheep,mixed,milk,0,0,0,0
KNA,sheep,mixed,milk,0,0,0,0
KOR,sheep,mixed,milk,0,0,0,0
