iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
ABW,goats,grassland,milk,0,0,0,0
AFG,goats,grassland,milk,0,0,2557.817948646609,2557.817948646609
AGO,goats,grassland,milk,0,0,0,0
AIA,goats,grassland,milk,0,0,0,0
ALA,goats,grassland,milk,0,0,9.863495301605312e-7,9.863495301605312e-7
ALB,goats,grassland,milk,0,0,287.3730284280705,287.3730284280705
AND,goats,grassland,milk,0,0,0.051003495295245546,0.051003495295245546
ARE,goats,grassland,milk,0,0,73.69935580602781,73.69935580602781
ARG,goats,grassland,milk,0,0,0,0
ARM,goats,grassland,milk,0,0,14.542358215846756,14.542358215846756
ASM,goats,grassland,milk,0,0,0,0
ATG,goats,grassland,milk,0,0,0,0
AUS,goats,grassland,milk,0,0,0,0
AUT,goats,grassland,milk,0,0,28.322680123403586,28.322680123403586
AZE,goats,grassland,milk,0,0,86.02618751351146,86.02618751351146
BDI,goats,grassland,milk,0,0,377.23214874816483,377.23214874816483
BEL,goats,grassland,milk,0,0,15.496922658435892,15.496922658435892
BEN,goats,grassland,milk,0,0,234.20310314953136,234.20310314953136
BES,goats,grassland,milk,0,0,0,0
BFA,goats,grassland,milk,0,0,1013.8912457108967,1013.8912457108967
BGD,goats,grassland,milk,0,0,1329.777006180705,1329.777006180705
BGR,goats,grassland,milk,0,0,54.065038733631965,54.065038733631965
BHR,goats,grassland,milk,0,0,0,0
BHS,goats,grassland,milk,0,0,0.021155995170706193,0.021155995170706193
BIH,goats,grassland,milk,0,0,0,0
BLM,goats,grassland,milk,0,0,0,0
BLR,goats,grassland,milk,0,0,17.863720241742456,17.863720241742456
BLZ,goats,grassland,milk,0,0,0,0
BMU,goats,grassland,milk,0,0,0,0
BOL,goats,grassland,milk,0,0,1677.0393096368623,1677.0393096368623
BRA,goats,grassland,milk,0,0,2493.437629686352,2493.437629686352
BRB,goats,grassland,milk,0,0,0,0
BRN,goats,grassland,milk,0,0,0,0
BTN,goats,grassland,milk,0,0,0,0
BWA,goats,grassland,milk,0,0,453.2654726593356,453.2654726593356
CAF,goats,grassland,milk,0,0,0,0
CAN,goats,grassland,milk,0,0,0,0
CCK,goats,grassland,milk,0,0,0,0
CHE,goats,grassland,milk,0,0,44.78300246514552,44.78300246514552
CHL,goats,grassland,milk,0,0,210.059177397069,210.059177397069
CHN,goats,grassland,milk,0,0,957.6133161818966,957.6133161818966
CIV,goats,grassland,milk,0,0,0,0
CMR,goats,grassland,milk,0,0,212.04400976596216,212.04400976596216
COD,goats,grassland,milk,0,0,0,0
COG,goats,grassland,milk,0,0,0,0
COK,goats,grassland,milk,0,0,0,0
COL,goats,grassland,milk,0,0,0,0
COM,goats,grassland,milk,0,0,0,0
CPV,goats,grassland,milk,0,0,4.646366476694913,4.646366476694913
CRI,goats,grassland,milk,0,0,0.1128023634673083,0.1128023634673083
CUB,goats,grassland,milk,0,0,22.83601265923543,22.83601265923543
CUW,goats,grassland,milk,0,0,0,0
CXR,goats,grassland,milk,0,0,0,0
CYM,goats,grassland,milk,0,0,0,0
CYP,goats,grassland,milk,0,0,0.7967482176511661,0.7967482176511661
CZE,goats,grassland,milk,0,0,7.050459237985461,7.050459237985461
DEU,goats,grassland,milk,0,0,15.410746324743451,15.410746324743451
DJI,goats,grassland,milk,0,0,0,0
DMA,goats,grassland,milk,0,0,0,0
DNK,goats,grassland,milk,0,0,0.029291733209277748,0.029291733209277748
DOM,goats,grassland,milk,0,0,0,0
DZA,goats,grassland,milk,0,0,1388.8620067984557,1388.8620067984557
ECU,goats,grassland,milk,0,0,25.05796516513516,25.05796516513516
EGY,goats,grassland,milk,0,0,0,0
ERI,goats,grassland,milk,0,0,445.1643077481751,445.1643077481751
ESH,goats,grassland,milk,0,0,0.6180629727951009,0.6180629727951009
ESP,goats,grassland,milk,0,0,609.4608973780076,609.4608973780076
EST,goats,grassland,milk,0,0,0.5999831586131738,0.5999831586131738
ETH,goats,grassland,milk,0,0,573.9164373148764,573.9164373148764
FIN,goats,grassland,milk,0,0,0,0
FJI,goats,grassland,milk,0,0,0,0
FLK,goats,grassland,milk,0,0,0,0
FRA,goats,grassland,milk,0,0,595.1203057024896,595.1203057024896
FRO,goats,grassland,milk,0,0,0.3918915596939717,0.3918915596939717
FSM,goats,grassland,milk,0,0,0,0
GAB,goats,grassland,milk,0,0,0,0
GBR,goats,grassland,milk,0,0,0,0
GEO,goats,grassland,milk,0,0,16.62174039183953,16.62174039183953
GGY,goats,grassland,milk,0,0,0,0
GHA,goats,grassland,milk,0,0,0,0
GIB,goats,grassland,milk,0,0,0,0
GIN,goats,grassland,milk,0,0,860.1203007619398,860.1203007619398
GLP,goats,grassland,milk,0,0,0,0
GMB,goats,grassland,milk,0,0,0,0
GNB,goats,grassland,milk,0,0,69.76236181168632,69.76236181168632
GNQ,goats,grassland,milk,0,0,0,0
GRC,goats,grassland,milk,0,0,2175.9026908989313,2175.9026908989313
GRD,goats,grassland,milk,0,0,0,0
GRL,goats,grassland,milk,0,0,0,0
GTM,goats,grassland,milk,0,0,4.642545181841115,4.642545181841115
GUF,goats,grassland,milk,0,0,0,0
GUM,goats,grassland,milk,0,0,0,0
GUY,goats,grassland,milk,0,0,0,0
HKG,goats,grassland,milk,0,0,0,0
HND,goats,grassland,milk,0,0,0,0
HRV,goats,grassland,milk,0,0,12.113942759876698,12.113942759876698
HTI,goats,grassland,milk,0,0,255.61384686873015,255.61384686873015
HUN,goats,grassland,milk,0,0,1.8565205998034913,1.8565205998034913
IDN,goats,grassland,milk,0,0,3140.0573248422847,3140.0573248422847
IMN,goats,grassland,milk,0,0,0.09033952240312218,0.09033952240312218
IND,goats,grassland,milk,0,0,5860.884609759287,5860.884609759287
IOT,goats,grassland,milk,0,0,0,0
IRL,goats,grassland,milk,0,0,0,0
IRN,goats,grassland,milk,0,0,3398.3855906953117,3398.3855906953117
IRQ,goats,grassland,milk,0,0,274.0588694836298,274.0588694836298
ISL,goats,grassland,milk,0,0,0,0
ISR,goats,grassland,milk,0,0,8.9278025511927,8.9278025511927
ITA,goats,grassland,milk,0,0,95.24090173450836,95.24090173450836
JAM,goats,grassland,milk,0,0,187.94468659456228,187.94468659456228
JEY,goats,grassland,milk,0,0,0.07913403847554867,0.07913403847554867
JOR,goats,grassland,milk,0,0,239.80519881663466,239.80519881663466
JPN,goats,grassland,milk,0,0,0.10689108146199583,0.10689108146199583
KAZ,goats,grassland,milk,0,0,54.90571594890501,54.90571594890501
KEN,goats,grassland,milk,0,0,4614.763047323031,4614.763047323031
KGZ,goats,grassland,milk,0,0,27.603532659034606,27.603532659034606
KHM,goats,grassland,milk,0,0,21.09047578397805,21.09047578397805
KIR,goats,grassland,milk,0,0,0,0
KNA,goats,grassland,milk,0,0,0,0
KOR,goats,grassland,milk,0,0,1.5551887352316056,1.5551887352316056
KWT,goats,grassland,milk,0,0,2.2091654742714995,2.2091654742714995
LAO,goats,grassland,milk,0,0,0,0
LBN,goats,grassland,milk,0,0,180.96749746169274,180.96749746169274
LBR,goats,grassland,milk,0,0,0,0
LBY,goats,grassland,milk,0,0,200.95519466378005,200.95519466378005
LCA,goats,grassland,milk,0,0,0,0
LIE,goats,grassland,milk,0,0,0,0
LKA,goats,grassland,milk,0,0,17.60635993465501,17.60635993465501
LSO,goats,grassland,milk,0,0,0,0
LTU,goats,grassland,milk,0,0,1.40811869766106,1.40811869766106
LUX,goats,grassland,milk,0,0,1.7388916042912128,1.7388916042912128
LVA,goats,grassland,milk,0,0,2.5910800515936536,2.5910800515936536
MAC,goats,grassland,milk,0,0,0,0
MAF,goats,grassland,milk,0,0,0,0
MAR,goats,grassland,milk,0,0,1144.7658043391052,1144.7658043391052
MCO,goats,grassland,milk,0,0,0,0
MDA,goats,grassland,milk,0,0,23.588596478137916,23.588596478137916
MDG,goats,grassland,milk,0,0,0,0
MDV,goats,grassland,milk,0,0,0,0
MEX,goats,grassland,milk,0,0,749.6103456078512,749.6103456078512
MHL,goats,grassland,milk,0,0,0,0
MKD,goats,grassland,milk,0,0,79.88347182988662,79.88347182988662
