iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
ABW,cows,mixed,meat,0.16350816054578574,0.4036221595336777,0.4057121920381164,0.9728425121175799
AFG,cows,mixed,meat,1198.8013004290622,2959.257618187609,3019.650630803683,7177.709549420354
AGO,cows,mixed,meat,2317.9577604514075,5721.910844439241,3892.456356761389,11932.324961652039
AIA,cows,mixed,meat,0,0,0,0
ALA,cows,mixed,meat,3.053616585786744,20.102037586291242,21.47479175480098,44.63044592687897
ALB,cows,mixed,meat,111.72195936588803,555.8731971385126,292.4948657509514,960.090022255352
AND,cows,mixed,meat,0.39300401059788637,1.5145998393319045,5.056692627340221,6.964296477270011
ARE,cows,mixed,meat,78.05824803005656,192.68786667369122,131.0801814106743,401.82629611442206
ARG,cows,mixed,meat,65372.596913128,161373.1611457568,162208.78214468394,388954.54020356876
ARM,cows,mixed,meat,432.45075408956086,1067.5106776014347,726.1977398649216,2226.159171555917
ASM,cows,mixed,meat,0.12127992692363439,0.37640041690204207,1.215901125,1.7135814688256765
ATG,cows,mixed,meat,1.8849713778023771,4.65307796031821,4.677172485242186,11.215221823362773
AUS,cows,mixed,meat,16700.52689158795,51831.209367693555,173376.0295178134,241907.76577709493
AUT,cows,mixed,meat,2304.431451552718,10596.556789923052,2158.4787647828957,15059.467006258667
AZE,cows,mixed,meat,1659.4801818800497,4096.4498192505,2786.700557313265,8542.630558443814
BDI,cows,mixed,meat,924.8613892370493,2283.0331522728166,1553.0837770563373,4760.978318566203
BEL,cows,mixed,meat,1712.282757529422,7976.857210903318,12471.152084690952,22160.292053123692
BEN,cows,mixed,meat,2482.3951699337786,6127.826867846607,4168.5897060181,12778.811743798486
BES,cows,mixed,meat,0.29761644229565215,0.7346703109565218,0.7384745739130435,1.7707613271652174
BFA,cows,mixed,meat,9461.444562409208,23355.70698025446,15888.236040989428,48705.38758365309
BGD,cows,mixed,meat,21971.97773004105,54238.131424282685,55345.03206559458,131555.14121991833
BGR,cows,mixed,meat,364.39941287536516,1455.5500671237457,776.669936374543,2596.619416373654
BHR,cows,mixed,meat,5.405987173420934,13.344754231618424,9.078064103141784,27.828805508181144
BHS,cows,mixed,meat,0.10603156778123568,0.2617403940191712,0.26309573568786626,0.6308676974882732
BIH,cows,mixed,meat,186.2012431024301,1065.8469346960592,257.4296919190762,1509.4778697175655
BLM,cows,mixed,meat,0,0,0,0
BLR,cows,mixed,meat,3961.7799381918385,15404.401957979717,4082.438681443387,23448.620577614944
BLZ,cows,mixed,meat,143.57504201715966,354.41698029424805,356.2522189981781,854.2442413095858
BMU,cows,mixed,meat,0,0,0,0
BOL,cows,mixed,meat,12164.212580647607,30027.527277165384,30183.015539033127,72374.75539684611
BRA,cows,mixed,meat,191664.5301880098,473126.5480711578,475576.48755248875,1140367.5658116564
BRB,cows,mixed,meat,10.336823823018472,25.516592812488923,25.648722595556947,61.50213923106435
BRN,cows,mixed,meat,0.7797339217996688,1.9247839883216,1.3093768628038098,4.013894772925079
BTN,cows,mixed,meat,181.51955289732143,448.08353108154904,457.2280929403562,1086.8311769192267
BWA,cows,mixed,meat,609.5872570218959,1504.7745891220602,1023.6561830762315,3138.0180292201876
CAF,cows,mixed,meat,6266.077813373888,15467.899891955689,10522.380878881422,32256.358584211
CAN,cows,mixed,meat,8810.861322358556,36141.9500391992,64563.21555197475,109516.0269135325
CCK,cows,mixed,meat,0,0,0,0
CHE,cows,mixed,meat,987.7343893145301,6081.924242870118,2655.981070386476,9725.639702571123
CHL,cows,mixed,meat,3308.9617083386906,8168.217819072839,8210.5144084497,19687.69393586123
CHN,cows,mixed,meat,59318.96477503208,146429.68634642678,99612.03152818148,305360.68264964037
CIV,cows,mixed,meat,1034.508983078361,2553.699756717365,1737.2107188553503,5325.419458651076
CMR,cows,mixed,meat,6963.597879240579,17189.737837923843,11693.699209472003,35847.03492663643
COD,cows,mixed,meat,980.951837755026,2421.493201511147,1647.2742867422767,5049.71932600845
COG,cows,mixed,meat,190.74851812185238,470.8653595955045,320.3165711534044,981.9304488707613
COK,cows,mixed,meat,0,0,0,0
COL,cows,mixed,meat,11420.07732013931,28190.61907742198,28336.59547837116,67947.29187593245
COM,cows,mixed,meat,46.562723493570964,114.9407280193943,78.19097144176483,239.6944229547301
CPV,cows,mixed,meat,27.604411639246983,68.1418725603578,46.35501534718217,142.10129954678695
CRI,cows,mixed,meat,699.0213625362668,1725.5439175958227,1734.4791130265655,4159.044393158655
CUB,cows,mixed,meat,2719.7030505264897,6713.6246587303785,6748.389087362244,16181.716796619112
CUW,cows,mixed,meat,0.03694095568904273,0.09118926089486619,0.0916614562756803,0.21979167285958923
CXR,cows,mixed,meat,0.20167918012519467,0.6259249111139756,2.240643239021301,3.0682473302604714
CYM,cows,mixed,meat,0,0,0,0
CYP,cows,mixed,meat,61.73826642620912,152.4017659891308,103.67467074090531,317.81470315624523
CZE,cows,mixed,meat,1343.344410831541,5669.530567312634,4999.853252841181,12012.728230985356
DEU,cows,mixed,meat,10548.901043231923,64534.947869347816,19115.239899960172,94199.0888125399
DJI,cows,mixed,meat,80.16747994012371,197.894534864789,134.62213256108092,412.6841473659936
DMA,cows,mixed,meat,10.245747478344555,25.2917695938984,25.422735199471433,60.960252271714396
DNK,cows,mixed,meat,1235.3606110915523,6458.3293187321815,5004.581807983615,12698.271737807348
DOM,cows,mixed,meat,2263.4405663012435,5587.334395403575,5616.266678291745,13467.041639996563
DZA,cows,mixed,meat,694.9968964888251,1715.6094674031447,1167.0812703422753,3577.6876342342453
ECU,cows,mixed,meat,3736.8593217410453,9224.489005809131,9272.255168799917,22233.603496350093
EGY,cows,mixed,meat,3061.7889782629622,7558.068510573558,5141.543204471807,15761.400693308327
