iso3c,animal,system,product,leach_mms_tonnes,leach_spread_tonnes,leach_field_tonnes,tonnes_n_leach
ABW,buffaloes,mixed,milk,0,0,0,0
AFG,buffaloes,mixed,milk,0.7574331716246364,1.8697342775620742,1.9078921199613001,4.535059569148011
AGO,buffaloes,mixed,milk,0,0,0,0
AIA,buffaloes,mixed,milk,0,0,0,0
ALA,buffaloes,mixed,milk,0,0,0,0
ALB,buffaloes,mixed,milk,0.14167450843722348,0.6464113740026031,0.18193002515769302,0.9700159075975195
AND,buffaloes,mixed,milk,0,0,0,0
ARE,buffaloes,mixed,milk,0,0,0,0
ARG,buffaloes,mixed,milk,0,0,0,0
ARM,buffaloes,mixed,milk,0,0,0,0
ASM,buffaloes,mixed,milk,0,0,0,0
ATG,buffaloes,mixed,milk,0,0,0,0
AUS,buffaloes,mixed,milk,0,0,0,0
AUT,buffaloes,mixed,milk,0,0,0,0
AZE,buffaloes,mixed,milk,0,0,0,0
BDI,buffaloes,mixed,milk,0,0,0,0
BEL,buffaloes,mixed,milk,0,0,0,0
BEN,buffaloes,mixed,milk,0,0,0,0
BES,buffaloes,mixed,milk,0,0,0,0
BFA,buffaloes,mixed,milk,0,0,0,0
BGD,buffaloes,mixed,milk,0.10658325358680246,0.26310223807321503,0.2684716715032807,0.6381571631632982
BGR,buffaloes,mixed,milk,18.86513760220336,75.93684789030543,21.54942201645865,116.35140750896744
BHR,buffaloes,mixed,milk,0,0,0,0
BHS,buffaloes,mixed,milk,0,0,0,0
BIH,buffaloes,mixed,milk,0,0,0,0
BLM,buffaloes,mixed,milk,0,0,0,0
BLR,buffaloes,mixed,milk,4.441846929631022e-7,1.7250948668108287e-6,1.0599661240005092e-6,3.22924568377444e-6
BLZ,buffaloes,mixed,milk,0,0,0,0
BMU,buffaloes,mixed,milk,0,0,0,0
BOL,buffaloes,mixed,milk,0,0,0,0
BRA,buffaloes,mixed,milk,0,0,0,0
BRB,buffaloes,mixed,milk,0,0,0,0
BRN,buffaloes,mixed,milk,4.2867062669396265,10.581793807558775,7.198499188815494,22.066999263313896
BTN,buffaloes,mixed,milk,0.727547549494486,1.7959612053012495,1.8326134747971938,4.35612222959293
BWA,buffaloes,mixed,milk,0,0,0,0
CAF,buffaloes,mixed,milk,0,0,0,0
CAN,buffaloes,mixed,milk,0,0,0,0
CCK,buffaloes,mixed,milk,0,0,0,0
CHE,buffaloes,mixed,milk,8.217562915915002e-12,5.059922551678914e-11,2.2096721330647178e-11,8.091350976335132e-11
CHL,buffaloes,mixed,milk,0,0,0,0
CHN,buffaloes,mixed,milk,17639.96564132409,43544.499568004045,29622.108549662615,90806.57375899075
CIV,buffaloes,mixed,milk,0,0,0,0
CMR,buffaloes,mixed,milk,0,0,0,0
COD,buffaloes,mixed,milk,0,0,0,0
COG,buffaloes,mixed,milk,0,0,0,0
COK,buffaloes,mixed,milk,0,0,0,0
COL,buffaloes,mixed,milk,0,0,0,0
COM,buffaloes,mixed,milk,0,0,0,0
CPV,buffaloes,mixed,milk,0,0,0,0
CRI,buffaloes,mixed,milk,0,0,0,0
CUB,buffaloes,mixed,milk,0,0,0,0
CUW,buffaloes,mixed,milk,0,0,0,0
CXR,buffaloes,mixed,milk,0,0,0,0
CYM,buffaloes,mixed,milk,0,0,0,0
CYP,buffaloes,mixed,milk,0,0,0,0
CZE,buffaloes,mixed,milk,3.392442461821796e-4,0.002300793785505085,3.0159512180961295e-4,0.002941633153496877
