"tier_5","pressure","sum","global_total","prop_of_global","tier_2"
"bana produce feed","disturbance",1620.03099996954,17484423.1699834,9.2655673236664e-05,"crop feed"
"bana produce feed","ghg",195096.08652864,6380945647.73425,3.0574792091814e-05,"crop feed"
"bana produce feed","nutrient",6054.33372056126,140297444.545298,4.3153556646618e-05,"crop feed"
"bana produce feed","water",304987547.209785,1389901245020.57,0.000219431091455185,"crop feed"
"barl produce feed","disturbance",98677.8098737851,17484423.1699834,0.00564375552538623,"crop feed"
"barl produce feed","ghg",9363507.81567968,6380945647.73425,0.00146741695237672,"crop feed"
"barl produce feed","nutrient",113791.950483372,140297444.545298,0.000811076430167135,"crop feed"
"barl produce feed","water",3872311783.20528,1389901245020.57,0.00278603375389304,"crop feed"
"cass produce feed","disturbance",111078.378930954,17484423.1699834,0.0063529907650399,"crop feed"
"cass produce feed","ghg",6753708.61641176,6380945647.73425,0.00105841813882396,"crop feed"
"cass produce feed","nutrient",22222.0670140185,140297444.545298,0.000158392528716684,"crop feed"
"cass produce feed","water",20148324.3270114,1389901245020.57,1.44962272673647e-05,"crop feed"
"cnut produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"cnut produce feed","ghg",0,6380945647.73425,0,"crop feed"
"cnut produce feed","nutrient",0,140297444.545298,0,"crop feed"
"cnut produce feed","water",0,1389901245020.57,0,"crop feed"
"coco produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"coco produce feed","ghg",0,6380945647.73425,0,"crop feed"
"coco produce feed","nutrient",0,140297444.545298,0,"crop feed"
"coco produce feed","water",0,1389901245020.57,0,"crop feed"
"maiz produce feed","disturbance",949414.737246818,17484423.1699834,0.0543006039156462,"crop feed"
"maiz produce feed","ghg",181358080.192797,6380945647.73425,0.0284218186777996,"crop feed"
"maiz produce feed","nutrient",3581623.44007952,140297444.545298,0.0255287860137974,"crop feed"
"maiz produce feed","water",56476320774.4792,1389901245020.57,0.0406333334665394,"crop feed"
"ocer produce feed","disturbance",336533.319713701,17484423.1699834,0.0192476077959179,"crop feed"
"ocer produce feed","ghg",30663529.0752016,6380945647.73425,0.00480548350793266,"crop feed"
"ocer produce feed","nutrient",377488.63480264,140297444.545298,0.00269063086662823,"crop feed"
"ocer produce feed","water",11618467730.0315,1389901245020.57,0.00835920377196258,"crop feed"
"oilp produce feed","disturbance",96329.9143263378,17484423.1699834,0.0055094705378507,"crop feed"
"oilp produce feed","ghg",9401886.19343351,6380945647.73425,0.00147343148061008,"crop feed"
"oilp produce feed","nutrient",125654.817553695,140297444.545298,0.000895631548820727,"crop feed"
"oilp produce feed","water",9057741.10802737,1389901245020.57,6.51682350848839e-06,"crop feed"
"orts produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"orts produce feed","ghg",0,6380945647.73425,0,"crop feed"
"orts produce feed","nutrient",0,140297444.545298,0,"crop feed"
"orts produce feed","water",0,1389901245020.57,0,"crop feed"
"plnt produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"plnt produce feed","ghg",0,6380945647.73425,0,"crop feed"
"plnt produce feed","nutrient",0,140297444.545298,0,"crop feed"
"plnt produce feed","water",0,1389901245020.57,0,"crop feed"
"pota produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"pota produce feed","ghg",0,6380945647.73425,0,"crop feed"
"pota produce feed","nutrient",0,140297444.545298,0,"crop feed"
"pota produce feed","water",0,1389901245020.57,0,"crop feed"
"rice produce feed","disturbance",84371.6883914548,17484423.1699834,0.00482553456703683,"crop feed"
"rice produce feed","ghg",76997414.8226818,6380945647.73425,0.0120667717723034,"crop feed"
"rice produce feed","nutrient",523773.669570268,140297444.545298,0.00373330869473647,"crop feed"
"rice produce feed","water",24879298658.0205,1389901245020.57,0.0179000477531425,"crop feed"
"sorg produce feed","disturbance",277042.196049544,17484423.1699834,0.0158450864152704,"crop feed"
"sorg produce feed","ghg",11793879.6640015,6380945647.73425,0.00184829652454246,"crop feed"
"sorg produce feed","nutrient",144831.834452609,140297444.545298,0.00103231983249593,"crop feed"
"sorg produce feed","water",6957764024.10444,1389901245020.57,0.00500594128470001,"crop feed"
"soyb produce feed","disturbance",1203721.98895693,17484423.1699834,0.0688453932540043,"crop feed"
"soyb produce feed","ghg",93092435.1601494,6380945647.73425,0.0145891283673925,"crop feed"
"soyb produce feed","nutrient",615797.304512936,140297444.545298,0.00438922680672287,"crop feed"
"soyb produce feed","water",16888523415.6568,1389901245020.57,0.012150880126312,"crop feed"
"spis produce feed","disturbance",0,17484423.1699834,0,"crop feed"
"spis produce feed","ghg",0,6380945647.73425,0,"crop feed"
"spis produce feed","nutrient",0,140297444.545298,0,"crop feed"
"spis produce feed","water",0,1389901245020.57,0,"crop feed"
"sugb produce feed","disturbance",72671.0417302337,17484423.1699834,0.00415633052481779,"crop feed"
"sugb produce feed","ghg",14494499.3522767,6380945647.73425,0.00227152841482413,"crop feed"
"sugb produce feed","nutrient",199849.289390677,140297444.545298,0.00142446849291081,"crop feed"
"sugb produce feed","water",9777531265.24534,1389901245020.57,0.00703469494705043,"crop feed"
"sugc produce feed","disturbance",0,17484423.1699834,0,"crop feed"
