animal,system,product,km2
buffaloes,mixed,meat,860.2241788738311
buffaloes,mixed,milk,4655.445495136284
chicken,backyard,eggs&meat,1355.8417520034423
chicken,industrial,eggs,185552.5566525724
chicken,industrial,meat,2579.4810032653118
cows,mixed,meat,28472.527064422724
cows,mixed,milk,6593.839311961054
goats,mixed,meat,2351.028542716972
goats,mixed,milk,2111.874120222048
pigs,backyard,meat,3009.1228165286466
pigs,industrial,meat,2636.6749727809774
pigs,intermediate,meat,523.1892961562896
sheep,mixed,meat,1913.2454765124694
sheep,mixed,milk,1001.7512399315664
buffaloes,mixed,meat,860.2241788738311
buffaloes,mixed,milk,4655.445495136284
chicken,backyard,eggs&meat,1355.8417520034423
chicken,industrial,eggs,185552.5566525724
chicken,industrial,meat,2579.4810032653118
cows,mixed,meat,28472.527064422724
cows,mixed,milk,6593.839311961054
goats,mixed,meat,2351.028542716972
goats,mixed,milk,2111.874120222048
pigs,backyard,meat,3009.1228165286466
pigs,industrial,meat,2636.6749727809774
pigs,intermediate,meat,523.1892961562896
sheep,mixed,meat,1913.2454765124694
sheep,mixed,milk,1001.7512399315664
