iso3c,country,population
AFG,Afghanistan,32499525.228413403
ALA,Åland,29620.10691408068
ALB,Albania,2875935.862888582
DZA,Algeria,40300176.772314444
ASM,American Samoa,35188.85001540184
AND,Andorra,58645.86750976741
AGO,Angola,25630915.468011152
AIA,Anguilla,14424.583874642849
ATG,Antigua and Barbuda,132464.1847750172
ARG,Argentina,43904275.11210783
ARM,Armenia,3083260.6089045387
ABW,Aruba,153639.92378115654
AUS,Australia,24356277.27980617
AUT,Austria,8651960.161674652
AZE,Azerbaijan,10261257.13478541
BHS,Bahamas,400256.6286981164
BHR,Bahrain,952876.8264281098
BGD,Bangladesh,163998223.06958959
BRB,Barbados,350927.9564023018
BLR,Belarus,9559528.17184152
BEL,Belgium,11384403.277770616
BLZ,Belize,358650.8156149648
BEN,Benin,11708010.444417596
BMU,Bermuda,153236.2401485443
BTN,Bhutan,890636.6983974294
BOL,Bolivia,10863671.56979668
BES,"Bonaire, Sint Eustatius and Saba",23937.672842293978
BIH,Bosnia and Herzegovina,3822090.9891533665
BWA,Botswana,2245967.788774372
BRA,Brazil,211964627.2234027
IOT,British Indian Ocean Territory,0
VGB,British Virgin Islands,16121.717228088528
BRN,Brunei,371142.37833884545
BGR,Bulgaria,7131014.217462507
BFA,Burkina Faso,18071915.76488549
BDI,Burundi,11460189.918987453
KHM,Cambodia,16193567.016471207
CMR,Cameroon,23883032.222045586
CAN,Canada,37935740.885555945
CPV,Cape Verde,524143.2763868943
CYM,Cayman Islands,115813.36334347725
CAF,Central African Republic,4972615.592412694
TCD,Chad,13933629.1122072
CHL,Chile,18157795.117570233
CHN,China,1400025396.143289
CXR,Christmas Island,139575.15358924866
CCK,Cocos Islands,15855.621546506882
COL,Colombia,48390591.82960591
COM,Comoros,698665.0368198752
COK,Cook Islands,32677.319715730846
CRI,Costa Rica,4783739.348029485
CIV,Côte d'Ivoire,23715094.51408201
HRV,Croatia,4200148.887553951
CUB,Cuba,11485004.172223853
CUW,Curaçao,165920.63824646175
CYP,Cyprus,1223316.543851979
CZE,Czech Republic,10570445.142919652
DNK,Denmark,5805376.591983076
DJI,Djibouti,800700.8889107965
DMA,Dominica,86449.61402751505
DOM,Dominican Republic,10285946.052870713
ECU,Ecuador,17180614.727886222
EGY,Egypt,95758400.90062036
SLV,El Salvador,6229000.3129746765
GNQ,Equatorial Guinea,814151.6965115443
ERI,Eritrea,5208534.9345288705
EST,Estonia,1189880.2133007394
ETH,Ethiopia,99707760.28366527
FLK,Falkland Islands,2881.213909184055
FRO,Faroe Islands,53339.1019962437
FJI,Fiji,1027064.1918468755
FIN,Finland,5993255.819072601
FRA,France,65200131.331374
GUF,French Guiana,234995.16060860513
PYF,French Polynesia,243815.5619747704
GAB,Gabon,1837487.1905180044
GMB,Gambia,2314380.3710117936
GEO,Georgia,4178537.6848638407
DEU,Germany,81324237.54484625
GHA,Ghana,28524135.171930537
GIB,Gibraltar,298486.23275756836
GRC,Greece,11148709.012755716
GRL,Greenland,52570.17760325411
GRD,Grenada,112923.36694896221
GLP,Guadeloupe,427402.482368052
GUM,Guam,153076.964430511
GTM,Guatemala,16385839.284979738
GGY,Guernsey,111233.44581574202
GIN,Guinea,12444529.623462586
GNB,Guinea-Bissau,1754314.1831993125
GUY,Guyana,799294.789469684
HTI,Haiti,9613341.93276707
HND,Honduras,8089348.626934225
HKG,Hong Kong,8165718.495845795
HUN,Hungary,10009398.844529642
ISL,Iceland,314277.58059521695
