Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2017","2017","tonnes","20000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2017","2017","1000 No","400000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1129","Fat, camels","2017","2017","tonnes","248.94","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","869","Fat, cattle","2017","2017","tonnes","3148.37","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1019","Fat, goats","2017","2017","tonnes","1714","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","979","Fat, sheep","2017","2017","tonnes","6277.39","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2017","2017","tonnes","21070","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2017","2017","tonnes","1730","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1127","Meat, camel","2017","2017","tonnes","3556","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","867","Meat, cattle","2017","2017","tonnes","128357","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1058","Meat, chicken","2017","2017","tonnes","27518","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1163","Meat, game","2017","2017","tonnes","8004","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1017","Meat, goat","2017","2017","tonnes","46659","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","977","Meat, sheep","2017","2017","tonnes","111598","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2017","2017","tonnes","6846","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2017","2017","tonnes","1781535","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2017","2017","tonnes","114579","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2017","2017","tonnes","206763","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1128","Offals, edible, camels","2017","2017","tonnes","533.45","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","868","Offals, edible, cattle","2017","2017","tonnes","22522.96","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2017","2017","tonnes","9046.09","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2017","2017","tonnes","22784.59","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2017","2017","tonnes","671","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1025","Skins, goat, fresh","2017","2017","tonnes","7046","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","995","Skins, sheep, fresh","2017","2017","tonnes","17670","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","987","Wool, greasy","2017","2017","tonnes","14832","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1062","Eggs, hen, in shell","2017","2017","tonnes","51099","","Official data"
"QL","Livestock Primary","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2017","2017","1000 No","811088","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2017","2017","tonnes","200","F","FAO estimate"
"QL","Livestock Primary","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2017","2017","1000 No","3120","F","FAO estimate"
"QL","Livestock Primary","3","Albania","5510","Production","869","Fat, cattle","2017","2017","tonnes","1693.19","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1019","Fat, goats","2017","2017","tonnes","358.22","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1037","Fat, pigs","2017","2017","tonnes","770.73","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","979","Fat, sheep","2017","2017","tonnes","963.2","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","919","Hides, cattle, fresh","2017","2017","tonnes","8098","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1182","Honey, natural","2017","2017","tonnes","3614","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1166","Meat nes","2017","2017","tonnes","149","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","867","Meat, cattle","2017","2017","tonnes","39017","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1058","Meat, chicken","2017","2017","tonnes","12912","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1017","Meat, goat","2017","2017","tonnes","9723","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1035","Meat, pig","2017","2017","tonnes","11561","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","977","Meat, sheep","2017","2017","tonnes","16512","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","951","Milk, whole fresh buffalo","2017","2017","tonnes","12","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","882","Milk, whole fresh cow","2017","2017","tonnes","982510","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1020","Milk, whole fresh goat","2017","2017","tonnes","86849","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","982","Milk, whole fresh sheep","2017","2017","tonnes","86927","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","868","Offals, edible, cattle","2017","2017","tonnes","4858.72","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1018","Offals, edible, goats","2017","2017","tonnes","3070.42","Im","FAO data based on imputation methodology"
