iso3c,product,cumulative_pressure,tonnes,million_kcal,tonnes_protein,grouping,global_pressure,global_tonnes,global_kcal,global_protein,percent_pressure,percent_tonnes,percent_kcal,percent_protein
ABW,bana,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,barl,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,benthic,4.3209478404375517e-7,27.058053859447337,28.280350142004835,5.100455284763048,marine fisheries,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,1.2136834763719564e-7,3.1132888142742536e-9,2.4997921585946415e-9,1.3213655485309457e-8
ABW,bivalve,0,0,0,0,mariculture,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,cass,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,chickens_eggs,0,0,0,0,livestock,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,chickens_meat,0,0,0,0,livestock,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,cnut,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,coco,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,crustaceans,0,0,0,0,mariculture,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,demersal,2.6589870906772133e-6,553.3505730526265,625.7828843533421,110.01093964916454,marine fisheries,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,7.468659227125691e-7,6.366829478593467e-8,5.531498511985271e-8,2.8500331342611954e-7
ABW,freshwater fish,2.453559142774934e-9,0,0,0,freshwater fisheries,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,6.891645768132517e-10,0,0,0
ABW,forage fish,3.111784686669673e-6,1042.1278839168228,1558.10767810908,194.78624419863735,marine fisheries,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,8.740493511386211e-7,1.1990681594821138e-7,1.377262069396381e-7,5.046291321888777e-7
ABW,large pelagic,2.2338591443118582e-7,54.25240790131052,59.42524272975615,10.910918592440623,marine fisheries,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,6.274544456706879e-8,6.242260272817863e-9,5.252790543699282e-9,2.8266715667416315e-8
ABW,maiz,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,marine-fish-general,0,0,0,0,mariculture,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,medium pelagic,2.465821314225181e-7,64.99660833777192,69.88736897735356,12.166353284916916,marine fisheries,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,6.926088199337838e-8,7.47848366164362e-9,6.177571921038946e-9,3.1519147182744814e-8
ABW,ocer,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,oilp,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,orts,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
ABW,plnt,0,0,0,0,produce,3.5601933490551327,8691148002.519936,11313080587.429224,385998809.3706227,0,0,0,0
