iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
ABW,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
AFG,buffaloes,grassland,milk,99.62349408853098,39.394285714285715,0,0,0,148.0133495649239,44.10797817034732
AGO,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
AIA,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
ALA,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
ALB,buffaloes,grassland,milk,11.31014613319342,55.74,0,0,0,23.77612457179273,7.085285122394233
AND,buffaloes,grassland,milk,0,55.74,0,0,0,0,0
ARE,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
ARG,buffaloes,grassland,milk,0,54.07,0,0,0,0,0
ARM,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
ASM,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
ATG,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
AUS,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
AUT,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
AZE,buffaloes,grassland,milk,0,48.59,0,0,0,0,0
BDI,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
BEL,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
BEN,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
BES,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
BFA,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
BGD,buffaloes,grassland,milk,3.1190061110857643,32.44,0,0,0,3.815952482330894,1.1371538397346064
BGR,buffaloes,grassland,milk,1800.117458552608,52.76,0,0,0,3581.8840054134566,1067.40143361321
BHR,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
BHS,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
BIH,buffaloes,grassland,milk,0,52.67,0,0,0,0,0
BLM,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
BLR,buffaloes,grassland,milk,8.740849658000895e-5,47.943333333333335,0,0,0,1.5804754822186236e-4,4.709816937011498e-5
BLZ,buffaloes,grassland,milk,0,46.57,0,0,0,0,0
BMU,buffaloes,grassland,milk,0,58.1,0,0,0,0,0
BOL,buffaloes,grassland,milk,0,53.2625,0,0,0,0,0
BRA,buffaloes,grassland,milk,0,52.75,0,0,0,0,0
BRB,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
BRN,buffaloes,grassland,milk,36.1571687501562,33.03,0,0,0,45.041088418266014,13.422244348643272
BTN,buffaloes,grassland,milk,55.04687076884412,41.14,0,0,0,85.40883736365504,25.4518335343692
BWA,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
CAF,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
CAN,buffaloes,grassland,milk,0,58.1,0,0,0,0,0
CCK,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
CHE,buffaloes,grassland,milk,2.435378694488156e-10,52.741282051282056,0,0,0,4.844211225958327e-10,1.4435749453355811e-10
CHL,buffaloes,grassland,milk,0,53.2625,0,0,0,0,0
CHN,buffaloes,grassland,milk,3499184.767140599,31.36,0,0,0,4138555.807792529,1233289.6307221735
CIV,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
CMR,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
COD,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
COG,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
COK,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
COL,buffaloes,grassland,milk,0,52.51,0,0,0,0,0
COM,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
CPV,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
CRI,buffaloes,grassland,milk,0,46.57,0,0,0,0,0
CUB,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
CUW,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
CXR,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
CYM,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
CYP,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
CZE,buffaloes,grassland,milk,2.4450965303295276e-5,47.943333333333335,0,0,0,4.421097798320292e-5,1.3174871438994468e-5
DEU,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
DJI,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
DMA,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
DNK,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
DOM,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
DZA,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
ECU,buffaloes,grassland,milk,0,53.2625,0,0,0,0,0
EGY,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
ERI,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
ESH,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
ESP,buffaloes,grassland,milk,132.0230305135824,55.74,0,0,0,277.5380603283357,82.70634197784405
EST,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
ETH,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
FIN,buffaloes,grassland,milk,1.9795059151075965e-7,52.741282051282056,0,0,0,3.937434780684275e-7,1.1733555646439139e-7
FJI,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
FLK,buffaloes,grassland,milk,0,53.2625,0,0,0,0,0
FRA,buffaloes,grassland,milk,5.145577249014721,52.741282051282056,0,0,0,10.235066575119085,3.050049839385487
FRO,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
FSM,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
GAB,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
GBR,buffaloes,grassland,milk,1884.0184739509116,52.741282051282056,0,0,0,3747.500732465764,1116.7552182747977
GEO,buffaloes,grassland,milk,5099.508147417947,45.75,0,0,0,8798.837057787709,2622.053443220737
GGY,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
GHA,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
GIB,buffaloes,grassland,milk,0,55.74,0,0,0,0,0
GIN,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
GLP,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
GMB,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
GNB,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
GNQ,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
GRC,buffaloes,grassland,milk,921.5551790018267,55.74,0,0,0,1937.2880312680459,577.3118333178776
GRD,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
GRL,buffaloes,grassland,milk,0,58.1,0,0,0,0,0
GTM,buffaloes,grassland,milk,0,46.57,0,0,0,0,0
GUF,buffaloes,grassland,milk,0,53.2625,0,0,0,0,0
GUM,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
GUY,buffaloes,grassland,milk,0,53.2625,0,0,0,0,0
HKG,buffaloes,grassland,milk,0,33.97,0,0,0,0,0
HND,buffaloes,grassland,milk,0,46.57,0,0,0,0,0
HRV,buffaloes,grassland,milk,0,55.74,0,0,0,0,0
HTI,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
HUN,buffaloes,grassland,milk,0,47.943333333333335,0,0,0,0,0
IDN,buffaloes,grassland,milk,55.68350042205507,31.76,0,0,0,66.69801499696855,19.876008469096625
IMN,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
IND,buffaloes,grassland,milk,3193774.2271368443,40.57,0,0,0,4886693.569180662,1456234.683615837
IOT,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
IRL,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
IRN,buffaloes,grassland,milk,7113.800165665493,42.34,0,0,0,11359.478705681304,3385.1246542930285
IRQ,buffaloes,grassland,milk,9842.139838255036,44.6325,0,0,0,16567.105267337476,4936.9973696665675
ISL,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
ISR,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
ITA,buffaloes,grassland,milk,29495.460345729374,58.81,0,0,0,65420.256864876996,19495.236545733344
JAM,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
JEY,buffaloes,grassland,milk,0,52.741282051282056,0,0,0,0,0
JOR,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
JPN,buffaloes,grassland,milk,0,32.665,0,0,0,0,0
KAZ,buffaloes,grassland,milk,0,35.09,0,0,0,0,0
KEN,buffaloes,grassland,milk,0,32.82,0,0,0,0,0
KGZ,buffaloes,grassland,milk,0.5509070721409839,35.09,0,0,0,0.7290672712309659,0.21726204682682781
KHM,buffaloes,grassland,milk,0,31.44,0,0,0,0,0
KIR,buffaloes,grassland,milk,0,43.435267916415384,0,0,0,0,0
KNA,buffaloes,grassland,milk,0,50.828863636363636,0,0,0,0,0
KOR,buffaloes,grassland,milk,0,32.665,0,0,0,0,0
KWT,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
LAO,buffaloes,grassland,milk,0,31.48,0,0,0,0,0
LBN,buffaloes,grassland,milk,0,44.6325,0,0,0,0,0
