iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
ABW,cows,grassland,milk,38.37561684895832,34.01416666666667,0,0,0,49.229008806180715,14.670244624241853
AFG,cows,grassland,milk,1341629.3187063632,35.38,0,0,0,1790178.165442774,533473.0933019466
AGO,cows,grassland,milk,279756.8547862848,32.23,0,0,0,340053.2493510224,101335.86830660468
AIA,cows,grassland,milk,0,34.01416666666667,0,0,0,0,0
ALA,cows,grassland,milk,11.492394412906908,62.891111111111115,0,0,0,27.258733692011145,8.12310264021932
ALB,cows,grassland,milk,60021.26095306243,42.47,0,0,0,96137.59707237317,28649.003927567202
AND,cows,grassland,milk,143.59021086442735,46.75833333333333,0,0,0,253.21518299323773,75.45812453198485
ARE,cows,grassland,milk,1897.0355494953549,30.75,0,0,0,2200.0192272576132,655.6057297227686
ARG,cows,grassland,milk,518778.32610554254,46.78,0,0,0,915267.2607339089,272749.64369870484
ARM,cows,grassland,milk,117224.64983137218,44.56,0,0,0,197001.71781032704,58706.511907477456
ASM,cows,grassland,milk,1.0291377252548048e-15,46.58625,0,0,0,1.8081611687474336e-15,5.388320282867352e-16
ATG,cows,grassland,milk,259.10358386840966,34.01416666666667,0,0,0,332.38325945807327,99.05021131850583
AUS,cows,grassland,milk,736699.877603088,48.24,0,0,0,1340305.450461609,399411.02423755947
AUT,cows,grassland,milk,85849.1702063926,62.26,0,0,0,201581.70071160013,60071.346812056836
AZE,cows,grassland,milk,423761.10852684657,46.84,0,0,0,748589.7379109912,223079.74189747535
BDI,cows,grassland,milk,22621.75783577773,26.43,0,0,0,22549.109676327975,6719.634683545736
BEL,cows,grassland,milk,100521.61548350983,60.96,0,0,0,231105.51249813376,68869.44272444386
BEN,cows,grassland,milk,27368.626569837976,32.01,0,0,0,33040.34434801937,9846.022615709771
BES,cows,grassland,milk,0,36.5,0,0,0,0,0
BFA,cows,grassland,milk,271318.28921456943,35.11,0,0,0,359265.72506591614,107061.186069643
BGD,cows,grassland,milk,134084.66289370056,31.97,0,0,0,161669.32594226633,48177.45913079536
BGR,cows,grassland,milk,41383.63788380919,48.46,0,0,0,75634.15546403427,22538.97832828221
BHR,cows,grassland,milk,0,34.29,0,0,0,0,0
BHS,cows,grassland,milk,2.174477443099022,38.64,0,0,0,3.1688224882793428,0.9443091015072441
BIH,cows,grassland,milk,43588.67202883909,42.55,0,0,0,69948.61009062218,20844.685807005408
BLM,cows,grassland,milk,0,34.01416666666667,0,0,0,0,0
BLR,cows,grassland,milk,236811.0523920813,47.05,0,0,0,420211.06342464575,125222.89690054442
BLZ,cows,grassland,milk,256.1981836467112,34.95,0,0,0,337.6984858387821,100.63414877995707
BMU,cows,grassland,milk,0,56.834999999999994,0,0,0,0,0
BOL,cows,grassland,milk,55651.088396029925,46.4,0,0,0,97386.22463085831,29021.094939995775
BRA,cows,grassland,milk,7358405.76258783,43.5,0,0,0,12071990.253936948,3597453.095673211
BRB,cows,grassland,milk,112.57409071423763,34.01416666666667,0,0,0,144.41229505003832,43.03486392491141
BRN,cows,grassland,milk,2.7361027562681137,27.56,0,0,0,2.8439208397379705,0.8474884102419151
BTN,cows,grassland,milk,11929.107914823886,33.54,0,0,0,15089.571682611855,4496.692361418332
BWA,cows,grassland,milk,74691.02951688433,26.66,0,0,0,75099.055940988,22379.51867041442
CAF,cows,grassland,milk,18237.716296041865,34.8,0,0,0,23936.22102214226,7132.993864598393
CAN,cows,grassland,milk,101636.63700976758,52.3,0,0,0,200473.9106458947,59741.22537247662
CCK,cows,grassland,milk,0,51.625,0,0,0,0,0
CHE,cows,grassland,milk,152412.42921835306,63.4,0,0,0,364431.18218358664,108600.4922907088
CHL,cows,grassland,milk,124048.9625034836,45.96,0,0,0,215020.09194260975,64075.987398897705
CHN,cows,grassland,milk,3071645.8614493217,39.95,0,0,0,4628004.93879053,1379145.4717595777
CIV,cows,grassland,milk,149121.19756974894,33.55,0,0,0,188685.18158782573,56228.18411317207
CMR,cows,grassland,milk,17866.34671126274,30.59,0,0,0,20612.0468738496,6142.389968407179
