iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
SWZ,cows,mixed,meat,184278.80856323242,31.04,67077.38101484027,59528.64760867268,0,53931.562624997205,53800.20219205602
SXM,cows,mixed,meat,0,34.01416666666667,0,0,0,0,0
SYC,cows,mixed,meat,0,30.596249999999998,0,0,0,0,0
SYR,cows,mixed,meat,335486.956277743,31.07,122235.08588765249,108479.03187532093,0,98279.46604032362,98040.08797338251
TCA,cows,mixed,meat,582.9572448730469,34.01416666666667,207.72514364936674,196.52865402217157,0,246.78364024645387,194.00915649956167
TCD,cows,mixed,meat,8206358.312893439,33.7,3243092.7229892677,2878122.564540299,0,2607511.7370767985,2601160.6533326968
TGO,cows,mixed,meat,306901.3190193176,31.1,111927.84271106358,99331.7420200371,0,89992.23534557877,89773.04238285047
THA,cows,mixed,meat,4448220.643905463,24.59,1282696.2921001485,1138344.6164138026,0,1031313.6016885617,1028801.6440403488
TJK,cows,mixed,meat,859631.4442185163,51.44,463239.71052399557,438270.85734297807,0,383572.0696156087,382954.62596980954
TKL,cows,mixed,meat,0,46.58625,0,0,0,0,0
TKM,cows,mixed,meat,395633.00069224834,51.76,214525.6893657206,202962.64690705432,0,177631.71158760638,177345.77426239362
TLS,cows,mixed,meat,174296.97830581665,32.05,65508.38325343614,58136.22122850799,0,52670.056887184845,52541.76908800043
TON,cows,mixed,meat,10254.214111328125,46.58625,0,0,0,18016.317269425574,5368.86254628882
TTO,cows,mixed,meat,28156.030937194824,34.01416666666667,10032.837952461692,9492.062945196894,0,11919.309470261249,9370.374689640112
TUN,cows,mixed,meat,164386.51533399848,25.82,49773.87085150332,44172.434481053984,0,40019.19264442479,39921.71839714066
TUR,cows,mixed,meat,6370179.691179987,34.41,2570486.605000708,2281209.984302261,0,2066722.8984930315,2061689.0073632079
TUV,cows,mixed,meat,0,46.58625,0,0,0,0,0
TWN,cows,mixed,meat,59102.43213510513,37.94166666666667,0,0,50390.93768250158,0,15016.499429385469
TZA,cows,mixed,meat,12779968.415163996,37.47,5615552.125467592,4983590.869940724,0,4515016.784295552,4504019.614351752
UGA,cows,mixed,meat,8465669.569822883,37.25,3697997.213254019,3281833.155008673,0,2973264.091058508,2966022.1488777176
UKR,cows,mixed,meat,1388394.1510267258,49.63,732550.5520104299,725399.2048190038,0,723385.4434719733,650037.8896898193
URY,cows,mixed,meat,3794304.0582234934,42.54,1690916.4317515013,1599775.1863733456,0,2008858.9423943434,1579266.0670347186
USA,cows,mixed,meat,41561515.19296743,61.37,30702299.94138351,24412805.037113596,0,40882958.146489784,28607422.811246093
UZB,cows,mixed,meat,4597982.294482946,53.38,2571214.9977080044,2432625.217263705,0,2129019.2435833174,2125592.118649398
VCT,cows,mixed,meat,3131.6565551757817,29.29,960.9173340966165,909.1234069157766,0,1141.598332865102,897.4684440154936
VEN,cows,mixed,meat,9281436.621359631,44.87,4362784.902131089,4127628.6035520006,0,5183118.041682776,4074712.4011150277
VGB,cows,mixed,meat,0,34.01416666666667,0,0,0,0,0
VIR,cows,mixed,meat,6874.74267578125,34.01416666666667,2449.6769230307555,2317.638105885969,0,2910.288941784082,2287.9259832688404
VNM,cows,mixed,meat,5195160.980989931,29.1,1772845.9016408597,1573333.9219059497,0,1425403.7400127517,1421931.9019407493
VUT,cows,mixed,meat,154814.17066955566,41.54,0,0,0,242539.84164256035,72276.87280948297
WLF,cows,mixed,meat,0,46.58625,0,0,0,0,0
WSM,cows,mixed,meat,47828.97216796875,46.58625,0,0,0,84033.93257574986,25042.111907573457
XKO,cows,mixed,meat,21222.892612457275,46.75833333333333,0,0,22299.45668517702,0,6645.238092182752
XMI,cows,mixed,meat,6114.243118286133,24.731428571428573,874.8052017884987,1020.0131940721033,0,3592.8438546902344,1635.323350664149
YEM,cows,mixed,meat,467082.8016702489,31.54,172756.5628665201,153314.9386183004,0,138899.74903840813,138561.43265592214
ZAF,cows,mixed,meat,4425516.611602187,41.82,2170336.093833098,1926091.4866904235,0,1744993.8442879184,1740743.5845938092
ZMB,cows,mixed,meat,2347324.0263998657,32.58,896815.5157052977,795889.9706087139,0,721057.7010695861,719301.4298403121
ZWE,cows,mixed,meat,2674556.5972366333,33.05,1036578.6167900903,919924.4553679089,0,833430.043650324,831400.0685108802
