iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
ABW,cows,feedlot,meat,0,34.01416666666667,0,0,0,0,0
AFG,cows,feedlot,meat,0,35.38,0,0,0,0,0
AGO,cows,feedlot,meat,0,32.23,0,0,0,0,0
AIA,cows,feedlot,meat,0,34.01416666666667,0,0,0,0,0
ALA,cows,feedlot,meat,0,62.891111111111115,0,0,0,0,0
ALB,cows,feedlot,meat,0,42.47,0,0,0,0,0
AND,cows,feedlot,meat,0,46.75833333333333,0,0,0,0,0
ARE,cows,feedlot,meat,0,30.75,0,0,0,0,0
ARG,cows,feedlot,meat,1032445.0137875922,46.78,725418.8223645831,525403.4423797587,0,0,372745.03489381383
ARM,cows,feedlot,meat,0,44.56,0,0,0,0,0
ASM,cows,feedlot,meat,0,46.58625,0,0,0,0,0
ATG,cows,feedlot,meat,0,34.01416666666667,0,0,0,0,0
AUS,cows,feedlot,meat,718010.9038840805,48.24,1260038.976393953,529270.7994148941,0,0,533214.3131910365
AUT,cows,feedlot,meat,0,62.26,0,0,0,0,0
AZE,cows,feedlot,meat,0,46.84,0,0,0,0,0
BDI,cows,feedlot,meat,0,26.43,0,0,0,0,0
BEL,cows,feedlot,meat,0,60.96,0,0,0,0,0
BEN,cows,feedlot,meat,0,32.01,0,0,0,0,0
BES,cows,feedlot,meat,0,36.5,0,0,0,0,0
BFA,cows,feedlot,meat,0,35.11,0,0,0,0,0
BGD,cows,feedlot,meat,0,31.97,0,0,0,0,0
BGR,cows,feedlot,meat,0,48.46,0,0,0,0,0
BHR,cows,feedlot,meat,0,34.29,0,0,0,0,0
BHS,cows,feedlot,meat,0,38.64,0,0,0,0,0
BIH,cows,feedlot,meat,0,42.55,0,0,0,0,0
BLM,cows,feedlot,meat,0,34.01416666666667,0,0,0,0,0
BLR,cows,feedlot,meat,0,47.05,0,0,0,0,0
BLZ,cows,feedlot,meat,0,34.95,0,0,0,0,0
BMU,cows,feedlot,meat,0,56.834999999999994,0,0,0,0,0
BOL,cows,feedlot,meat,0,46.4,0,0,0,0,0
BRA,cows,feedlot,meat,1014422.800802476,43.5,1406831.6830018118,511271.81315590476,0,0,571594.8418549995
BRB,cows,feedlot,meat,0,34.01416666666667,0,0,0,0,0
