iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
ABW,goats,grassland,milk,0,2.9341666666666666,0,0,0,0,0
AFG,goats,grassland,milk,2158496.15919545,3.95,0,0,0,191592.74443910073,57094.63784285201
AGO,goats,grassland,milk,0,2.85,0,0,0,0,0
AIA,goats,grassland,milk,0,2.9341666666666666,0,0,0,0,0
ALA,goats,grassland,milk,5.583637306314924e-4,5.888333333333334,0,0,0,7.388227671154836e-5,2.201691846004141e-5
ALB,goats,grassland,milk,188194.51763462374,5.09,0,0,0,21525.60827225499,6414.631265131987
AND,goats,grassland,milk,32.01726007234498,5.31,0,0,0,3.8204046714010116,1.1384805920775014
ARE,goats,grassland,milk,67305.34776806193,3.65,0,0,0,5520.432699184845,1645.0889443570836
ARG,goats,grassland,milk,0,4.23,0,0,0,0,0
ARM,goats,grassland,milk,11624.586903154881,4.17,0,0,0,1089.2918796917593,324.60898014814427
ASM,goats,grassland,milk,0,5.071666666666666,0,0,0,0,0
ATG,goats,grassland,milk,0,2.9341666666666666,0,0,0,0,0
AUS,goats,grassland,milk,0,5.34,0,0,0,0,0
AUT,goats,grassland,milk,14326.090097826806,6.59,0,0,0,2121.5036111482787,632.208076122187
AZE,goats,grassland,milk,93710.4439145005,3.06,0,0,0,6443.771093273977,1920.2437857956452
BDI,goats,grassland,milk,595943.3629512873,2.11,0,0,0,28256.48428480301,8420.432316871296
BEL,goats,grassland,milk,12477.393444795407,4.14,0,0,0,1160.7933019866505,345.9164039920218
BEN,goats,grassland,milk,179879.4955065525,4.34,0,0,0,17542.927678772037,5227.792448274067
BES,goats,grassland,milk,0,3.31,0,0,0,0,0
BFA,goats,grassland,milk,1320170.8928527301,2.56,0,0,0,75945.28235729715,22631.694142474553
BGD,goats,grassland,milk,1497496.6285818752,2.96,0,0,0,99606.63003439282,29682.775750249057
BGR,goats,grassland,milk,37311.96599974601,4.83,0,0,0,4049.7288537144323,1206.8191984069008
BHR,goats,grassland,milk,0,2.8,0,0,0,0,0
BHS,goats,grassland,milk,18.606855910911342,3.79,0,0,0,1.58468478112004,0.4722360647737719
BIH,goats,grassland,milk,0,4.72,0,0,0,0,0
BLM,goats,grassland,milk,0,2.9341666666666666,0,0,0,0,0
BLR,goats,grassland,milk,8258.770338299795,7.21,0,0,0,1338.0777114409943,398.7471580094163
BLZ,goats,grassland,milk,0,3.25,0,0,0,0,0
BMU,goats,grassland,milk,0,5.720000000000001,0,0,0,0,0
BOL,goats,grassland,milk,1514940.6591118902,3.69,0,0,0,125618.23019327543,37434.23259759608
BRA,goats,grassland,milk,2725068.4477446475,3.05,0,0,0,186770.35197603007,55657.56488885696
BRB,goats,grassland,milk,0,2.9341666666666666,0,0,0,0,0
BRN,goats,grassland,milk,0,1.82,0,0,0,0,0
BTN,goats,grassland,milk,0,3.02,0,0,0,0,0
BWA,goats,grassland,milk,420859.3060903767,3.59,0,0,0,33951.7423091969,10117.619208140677
CAF,goats,grassland,milk,0,2.7,0,0,0,0,0
CAN,goats,grassland,milk,0,5.23,0,0,0,0,0
CCK,goats,grassland,milk,0,5.68,0,0,0,0,0
CHE,goats,grassland,milk,22720.955081250897,6.57,0,0,0,3354.46013703209,999.6291208355628
CHL,goats,grassland,milk,187218.5181792059,3.74,0,0,0,15734.432668837597,4688.8609353136035
CHN,goats,grassland,milk,1271730.8315828643,2.51,0,0,0,71729.79744543445,21375.479638739464
CIV,goats,grassland,milk,0,2.52,0,0,0,0,0
CMR,goats,grassland,milk,275024.65598698077,2.57,0,0,0,15883.106064850403,4733.16560732542
COD,goats,grassland,milk,0,2.71,0,0,0,0,0
COG,goats,grassland,milk,0,2.71,0,0,0,0,0
COK,goats,grassland,milk,0,5.071666666666666,0,0,0,0,0
COL,goats,grassland,milk,0,3.37,0,0,0,0,0
COM,goats,grassland,milk,0,1.21,0,0,0,0,0
CPV,goats,grassland,milk,6240.398189131084,2.481875,0,0,0,348.0349746590999,103.71442244841177
