iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
ABW,sheep,mixed,meat,230.36771390795184,3.8433333333333333,4.626110049533043,9.052566928507291,0,9.947875745612407,7.040712711648517
AFG,sheep,mixed,meat,453721.93760638067,4.24,10051.755805731758,19669.6989924793,0,21615.053837889343,15298.27957355792
AGO,sheep,mixed,meat,480794.9111937614,3.41,8566.443131467047,16763.176611997093,0,18421.073199996805,13037.706497151361
AIA,sheep,mixed,meat,0,3.8433333333333333,0,0,0,0,0
ALA,sheep,mixed,meat,3535.2321820977086,4.59375,0,0,364.93538959760497,0,108.75074610008627
ALB,sheep,mixed,meat,0,4.81,0,0,0,0,0
AND,sheep,mixed,meat,811.9883820160758,4.91,11.402428053298948,23.961518408324537,0,64.50516441580545,29.760995041473823
ARE,sheep,mixed,meat,1249970.7042311344,4.31,99262.36107172677,49635.41347236965,0,60530.992039475175,62409.77244190433
ARG,sheep,mixed,meat,9140124.958114306,4.87,232577.33465293713,455117.1211787474,0,500128.7045920301,353971.30180626694
ARM,sheep,mixed,meat,0,4.28,0,0,0,0,0
ASM,sheep,mixed,meat,0,5.865,0,0,0,0,0
ATG,sheep,mixed,meat,13082.09520875242,3.8433333333333333,262.707004759961,514.0761282618605,0,564.9188222657807,399.82718267570544
AUS,sheep,mixed,meat,48663184.7366599,6.3,0,0,0,6889247.063168941,2052995.6248243444
AUT,sheep,mixed,meat,255523.20533862655,5.59,9191.591309319205,18183.17359174762,0,11876.119564739416,11696.76357081026
AZE,sheep,mixed,meat,4629635.453226461,3.72,317319.8435995949,158673.45356285071,0,193504.21166201308,199510.25762968868
BDI,sheep,mixed,meat,332917.9262953606,2.54,4418.320258828879,8645.955117013564,0,9501.049579135783,6724.4668365835105
BEL,sheep,mixed,meat,70293.77879234593,5.35,2420.021495928791,4787.383324106171,0,3126.8214248984696,3079.5994209901623
BEN,sheep,mixed,meat,833761.5956043482,3.11,13548.417488171757,26512.113800538205,0,29134.190989602423,20620.027238937088
BES,sheep,mixed,meat,9929,4.5,0,0,1004.0346642857141,0,299.2023299571428
BFA,sheep,mixed,meat,5708098.708239326,3.26,97228.89934679457,190261.60409020114,0,209078.68581340782,147977.61839662024
BGD,sheep,mixed,meat,1204081.9644200227,2.52,15854.14722551844,31024.062833935553,0,34092.376740588516,24129.234866412666
BGR,sheep,mixed,meat,0,4.34,0,0,0,0,0
BHR,sheep,mixed,meat,36922.37747565405,3.66,2489.8789862594695,1245.0456713381038,0,1518.3483796806142,1565.4753651088997
BHS,sheep,mixed,meat,6320.564564065357,4.43,146.3005278232798,286.28703286681804,0,314.60113501848133,222.66223132115658
BIH,sheep,mixed,meat,293533.16862852196,4.81,4038.018387555125,8485.653360343842,0,22843.64687816899,10539.460950568251
BLM,sheep,mixed,meat,0,3.8433333333333333,0,0,0,0,0
BLR,sheep,mixed,meat,76509.9073108319,4.07,2417.317405501624,4671.417539783777,0,1679.3994606642857,2612.9040529730064
BLZ,sheep,mixed,meat,14733.380597388925,4.52,347.95824956853426,680.8993536293738,0,748.2410479443668,529.5753980403979
BMU,sheep,mixed,meat,0,6.475,0,0,0,0,0
BOL,sheep,mixed,meat,957941.0345566089,5.06,25326.524042124904,49560.008625589675,0,54461.54794020843,38545.728021161056
BRA,sheep,mixed,meat,11245585.306534296,5,293790.9161332085,574902.4348332995,0,631760.9173992302,447135.37197298993
BRB,sheep,mixed,meat,13123.846306721282,3.8433333333333333,263.5454259545645,515.7167861574056,0,566.721743030116,401.1032186323417
BRN,sheep,mixed,meat,4481.211029627234,1.47,34.41906161580938,67.35266899346277,0,74.01392197083821,52.384124468872884
BTN,sheep,mixed,meat,8810.75325138524,3.81,175.39786766363883,343.22593261758374,0,377.1713545248173,266.9469561321999
BWA,sheep,mixed,meat,132486.60583261587,3.58,2478.228205401996,4849.501298781379,0,5329.122306353164,3771.7418395398886
CAF,sheep,mixed,meat,398545.66363295174,3.69,7684.060031259219,15036.492208537773,0,16523.61781157997,11694.762675310334
CAN,sheep,mixed,meat,791684.2382933266,6.47,23020.616900643017,47079.92403584303,0,64457.72732180044,40098.36394096937
CCK,sheep,mixed,meat,0,6.3,0,0,0,0,0
CHE,sheep,mixed,meat,215462.2650807191,5.49,9665.883454109722,18543.030818364092,0,5316.235899760348,9990.49475132578
CHL,sheep,mixed,meat,1510037.5954653604,5.7,44972.6946869471,88004.46255056279,0,96708.20060501405,68446.23663707213
CHN,sheep,mixed,meat,49719822.196488634,4.03,1046937.8660359122,2048692.0978534322,0,2251309.997641134,1593388.1085360826
CIV,sheep,mixed,meat,1032115.8916183482,2.77,14938.07132836526,29231.44694676949,0,32122.469172274163,22735.012259327854
CMR,sheep,mixed,meat,1306795.8753617276,3.45,23556.629148239346,46096.60377534415,0,50655.60854433422,35852.03475743948
COD,sheep,mixed,meat,773430.8579774359,3.16,12770.116896065447,24989.102431353327,0,27460.552122366294,19435.49189203595
COG,sheep,mixed,meat,78401.05993303368,3.43,1405.0841958548465,2749.5279158885887,0,3021.4592482292182,2138.469265271851
COK,sheep,mixed,meat,0,5.865,0,0,0,0,0
COL,sheep,mixed,meat,183976.4264352318,4.84,4652.5798481205775,9104.364144901214,0,10004.795763627706,7080.99844748155
COM,sheep,mixed,meat,24214.031972541576,1.47,185.98192607309872,363.9372637577794,0,399.93105907448285,283.0553741737976
CPV,sheep,mixed,meat,12055.872154217843,2.8,176.37740961620705,345.1427415542409,0,379.2777379716933,268.4377709643581
CRI,sheep,mixed,meat,2390.745342124287,4.44,55.46290119194135,108.53214033244099,0,119.26608827740769,84.41181668093343
CUB,sheep,mixed,meat,1094210.979383218,3.27,18695.415240996823,36583.97571896115,0,40202.17111973752,28453.505499749255
CUW,sheep,mixed,meat,6327.1585693359375,3.8433333333333333,0,0,546.446255013759,0,162.84098399410018
CXR,sheep,mixed,meat,253.76029290577938,6.3,0,0,35.924844666671184,0,10.705603710668013
CYM,sheep,mixed,meat,0,3.8433333333333333,0,0,0,0,0
CYP,sheep,mixed,meat,0,4.02,0,0,0,0,0
CZE,sheep,mixed,meat,165648.25743195906,4.47,3781.572236895805,7653.902207477109,0,8319.45892117077,5886.970142932018
DEU,sheep,mixed,meat,1361485.2209216547,5.24,49551.9937074207,97153.62094251731,0,51300.88760297672,59005.937671368585
DJI,sheep,mixed,meat,110664.93223750616,2.79,1613.2457159253056,3156.867143058045,0,3469.084772591258,2455.2808942092333
DMA,sheep,mixed,meat,7775.234037111332,5.01,203.53424519797264,398.2843808663485,0,437.6751438091742,309.76914342230157
