iso3c,product,million_kcal,tonnes_protein,cumulative_pressure,pressure_per_tonne_protein,pressure_per_mill_kcal
AFG,bana,304.0489615300786,4.037220183017659,5.7914627482714405e-8,0.014345174366840095,1.9047796509900295e-4
AFG,barl,299053.1490727544,9725.767205678423,1.6655626388789637e-4,0.017125257099578933,5.569453603960417e-4
AFG,maiz,231503.28490504707,7290.614279993227,2.076872127972839e-4,0.028486929197065802,8.971242584418121e-4
AFG,ocer,3813.924314360771,130.13740371411797,1.9963156294755e-8,1.534006037081351e-4,5.23428223774307e-6
AFG,pota,392209.4027264407,9258.00660713267,4.427184973339733e-5,0.00478200671182162,1.128780937571662e-4
AFG,rice,954662.2764950208,19787.766072069055,3.0402937941349594e-4,0.015364512512740954,3.18467993236016e-4
AFG,spis,64505.32109765604,2038.6506418834333,2.6219519488762128e-5,0.012861212681609288,4.064706452521617e-4
AFG,sugb,2287.312237527661,40.414918766546755,1.980922304329097e-6,0.04901463035894545,8.660480505583536e-4
AFG,sugc,11793.249596715646,64.192290012506,5.566576293811293e-6,0.08671721000647907,4.720137777259928e-4
AFG,tnut,99109.00782970872,2502.5351715263955,5.333611579141777e-5,0.02131283364096975,5.381560865089181e-4
AFG,vege,180816.27844571072,8291.83522679501,1.4528196812306965e-4,0.017521087208003352,8.034783669474201e-4
AFG,whea,13397291.76157901,480496.9821479817,0.0026828080337637323,0.005583402463363424,2.0025002675970203e-4
AFG,xfru,1075734.5882781064,12971.392093843378,4.5187469075551307e-4,0.03483625253838304,4.200615055790056e-4
AFG,xmil,43788.82314297087,1155.0048635309242,7.166839827741497e-6,0.006205029999468579,1.6366824484735992e-4
AFG,xoil,424616.8888317532,15251.68015612368,1.5007113943735955e-4,0.009839646380015693,3.534271560659061e-4
AFG,xpul,136735.01861609082,8870.917877738862,5.8598374859488865e-5,0.006605672115006119,4.2855426102668534e-4
AGO,bana,2711206.425800377,35999.91674855836,5.449881539571225e-4,0.015138594840749095,2.0101315369088364e-4
AGO,cass,8618418.761858387,64404.98207399262,0.0012844254337333232,0.019942951498033056,1.4903260902309216e-4
AGO,coco,2097.057632967239,26.90124974081785,5.518928390565057e-6,0.20515509293202341,0.0026317485527357827
AGO,maiz,3623234.524986805,114104.66757941616,0.0033826186926686525,0.029644875748087784,9.335908755950517e-4
AGO,oilp,1202897.5434173937,43206.49347727174,2.9781241418793578e-5,6.89276981814311e-4,2.4757920225014357e-5
AGO,orts,2047.2103976999613,35.043063799127154,6.662005436455022e-8,0.0019010910332049671,3.2541869872973375e-5
AGO,plnt,41.982972271823755,0.4352569443671944,2.7683742668318348e-8,0.0636032188034744,6.594040671793473e-4
AGO,pota,568909.0232104158,13428.957743302852,9.906687461193999e-5,0.007377108224303228,1.7413482748593928e-4
AGO,rice,186148.2848376894,3858.38930245432,7.663540471540381e-5,0.01986201979843145,4.1169009310091406e-4
AGO,sorg,275475.25186541304,8587.51664221639,1.226995099817263e-4,0.014288124855389887,4.454102833225567e-4
AGO,soyb,53127.756949114155,5497.156199864526,1.139422062161192e-5,0.002072748200586464,2.1446831705176865e-4
AGO,sugc,178844.7645590489,973.476809732753,3.8399101860312587e-5,0.039445317522103306,2.1470632341398182e-4
AGO,swpo,1232205.7021635978,13239.458783690376,2.1625895893286838e-4,0.01633442593584541,1.755055657940431e-4
AGO,tnut,6146.624849737341,155.2043069493318,5.4842254393617004e-6,0.035335523524821305,8.922336360899028e-4
AGO,vege,236053.73806476576,10824.903142167826,1.9224970239756152e-4,0.01775994665935284,8.14431933904873e-4
AGO,whea,9246.815283772616,331.6391788282525,2.523283406232909e-6,0.007608520245250194,2.728813465822183e-4
AGO,xfru,388025.0372780072,4678.872424115083,1.2154984756449156e-4,0.025978448768557805,3.132525891039476e-4
AGO,xmil,251571.88758461515,6635.6374259975555,1.675002477614217e-4,0.02524252562461863,6.65814647930738e-4
AGO,xoil,863578.5615635009,31018.606082507136,4.1309543650221435e-4,0.013317666029331295,4.783530472946306e-4
AGO,xpul,1096292.9390885637,71123.8769046043,4.0571077066593357e-4,0.005704283685352216,3.700751470708491e-4
AGO,yams,48.86100701470745,0.7525586264858147,1.1094049706097452e-8,0.014741774681266733,2.2705323496009975e-4
ALA,barl,9669.150101472827,314.4588286572711,1.5337910573404413e-6,0.004877557624601219,1.5862728794610508e-4
ALA,ocer,82351.05812284173,2809.954265967979,1.0161279799683227e-5,0.0036161726625763596,1.2338979038406297e-4
ALA,pota,16719.834155456952,394.6675780981924,5.431446069498704e-6,0.013762078191655692,3.248504751302219e-4
ALA,sugb,5459.975855696248,96.47326545753327,6.047420620672655e-7,0.006268493755230749,1.1075910920674754e-4
ALA,vege,1401.9587543425432,64.290732481044,6.555749467200374e-7,0.010197036515540282,4.676135761408139e-4
ALA,whea,20119.128933982654,721.5772342846575,4.175846297622967e-6,0.0057871092645581206,2.0755601851975126e-4
ALA,xfru,2627.265918095663,31.680022869730237,7.109454428362976e-7,0.02244144348505489,2.706027729966582e-4
ALA,xoil,2004.7707928091463,72.00873003988976,7.151708647548843e-7,0.009931724450059184,3.567344792332917e-4
ALA,xpul,250.1756782920706,16.23057443219898,3.070788778677246e-8,0.0018919778788514534,1.2274529641095714e-4
