Body_Weight_Kg,Temperature,Water_Intake,SE
43.5,7,0.117,0.01
43.5,8,0.117,0.01
43.5,9,0.117,0.01
43.5,10,0.117,0.01
43.5,11,0.117,0.01
43.5,12,0.117,0.01
43.5,20,0.116,0.006
43.5,30,0.184,0.015
50,20,0.129,0.003
59,20,0.092,0.005
59,30,0.118,
37,22,0.137,
50,33,0.168,
73,20,0.101,
