animal,prod_system,tonnes_consumed,water_type,gleam_livestock,gleam_product,gleam_prod_system
growing_cattle,grazing,0.02,drinking,buffaloes,meat,grassland
growing_cattle,grazing,0.02,drinking,cows,meat,grassland
growing_cattle,mixed,0.027,drinking,buffaloes,meat,mixed
growing_cattle,mixed,0.027,drinking,cows,meat,mixed
growing_cattle,grazing,0.0043,service,buffaloes,meat,grassland
growing_cattle,grazing,0.0043,service,cows,meat,grassland
growing_cattle,mixed,0.007,service,buffaloes,meat,mixed
growing_cattle,mixed,0.007,service,cows,meat,mixed
lactating_cows,grazing,0.04,drinking,buffaloes,milk,grassland
lactating_cows,grazing,0.04,drinking,cows,milk,grassland
lactating_cows,mixed,0.055,drinking,buffaloes,milk,mixed
lactating_cows,mixed,0.055,drinking,cows,milk,mixed
lactating_cows,grazing,0.005,service,buffaloes,milk,grassland
lactating_cows,grazing,0.005,service,cows,milk,grassland
lactating_cows,mixed,0.0135,service,buffaloes,milk,mixed
lactating_cows,mixed,0.0135,service,cows,milk,mixed
broiler_chickens,industrial,1.7999999999999998e-4,drinking,chickens,meat,industrial
broiler_chickens,industrial,8.999999999999999e-5,service,chickens,meat,industrial
layer_chickens,industrial,1.7999999999999998e-4,drinking,chickens,eggs,industrial
layer_chickens,industrial,8.999999999999999e-5,service,chickens,eggs,industrial
pigs,grazing,0.008,drinking,pigs,meat,backyard
pigs,mixed,0.011,drinking,pigs,meat,intermediate
pigs,industrial,0.013000000000000001,drinking,pigs,meat,industrial
pigs,grazing,0.01,service,pigs,meat,backyard
pigs,mixed,0.029,service,pigs,meat,intermediate
pigs,industrial,0.048,service,pigs,meat,industrial
sheep,grazing,0.006,drinking,sheep,meat,grassland
sheep,grazing,0.006,drinking,sheep,milk,grassland
sheep,mixed,0.006,drinking,sheep,meat,mixed
sheep,mixed,0.006,drinking,sheep,milk,mixed
sheep,grazing,0.0013000000000000002,service,sheep,meat,grassland
sheep,grazing,0.0013000000000000002,service,sheep,milk,grassland
sheep,mixed,0.0013000000000000002,service,sheep,meat,mixed
sheep,mixed,0.0013000000000000002,service,sheep,milk,mixed
goats,grazing,0.0035,drinking,goats,meat,grassland
goats,grazing,0.0035,drinking,goats,milk,grassland
goats,mixed,0.0035,drinking,goats,meat,mixed
goats,mixed,0.0035,drinking,goats,milk,mixed
goats,grazing,0.0013000000000000002,service,goats,meat,grassland
goats,grazing,0.0013000000000000002,service,goats,milk,grassland
goats,mixed,0.0013000000000000002,service,goats,meat,mixed
goats,mixed,0.0013000000000000002,service,goats,milk,mixed
finishing_cattle,industrial,0.033,drinking,cows,meat,feedlot
finishing_cattle,industrial,0.009800000000000001,service,cows,meat,feedlot
backyard_chickens,grazing,1.7999999999999998e-4,drinking,chickens,eggs&meat,backyard
backyard_chickens,grazing,8.999999999999999e-5,service,chickens,eggs&meat,backyard
