cattle_class,temperature,water_intake
finishing_cattle,4,0.028
finishing_cattle,10,0.030333333333333334
finishing_cattle,14,0.034333333333333334
finishing_cattle,21,0.04066666666666667
finishing_cattle,27,0.04666666666666667
finishing_cattle,32,0.066
growing_cattle,4,0.019333333333333334
growing_cattle,10,0.021333333333333333
growing_cattle,14,0.024666666666666667
growing_cattle,21,0.029
growing_cattle,27,0.033
growing_cattle,32,0.047
lactating_cows,4,0.043000000000000003
lactating_cows,10,0.048
lactating_cows,14,0.055
lactating_cows,21,0.064
lactating_cows,27,0.068
lactating_cows,32,0.061
mature_bull,4,0.0315
mature_bull,10,0.0345
mature_bull,14,0.0395
mature_bull,21,0.046
mature_bull,27,0.053000000000000005
mature_bull,32,0.07500000000000001
wintering_pregnant_cows,4,0.025
wintering_pregnant_cows,10,0.027
wintering_pregnant_cows,14,0.031
wintering_pregnant_cows,21,0.037
