iso3c,country,animal,system_1,system_2,product,tonnes_per_head,gapfilled
AFG,Afghanistan,buffaloes,dairy,All systems,milk,0,NA
AFG,Afghanistan,buffaloes,dairy,All systems,meat,0,NA
AFG,Afghanistan,buffaloes,non-dairy,All systems,milk,0,NA
AFG,Afghanistan,buffaloes,non-dairy,All systems,meat,0.026751384715909873,NA
AFG,Afghanistan,cows,dairy,All systems,milk,0.12239873699139668,NA
AFG,Afghanistan,cows,dairy,All systems,meat,0.023327473965438682,NA
AFG,Afghanistan,cows,non-dairy,All systems,milk,0,NA
AFG,Afghanistan,cows,non-dairy,All systems,meat,0,NA
AFG,Afghanistan,goats,dairy,All systems,milk,0.02091866119853819,NA
AFG,Afghanistan,goats,dairy,All systems,meat,0.006134622262983085,NA
AFG,Afghanistan,goats,non-dairy,All systems,milk,0,NA
AFG,Afghanistan,goats,non-dairy,All systems,meat,0.0061346201491516835,NA
AFG,Afghanistan,sheep,dairy,All systems,milk,0.015719877989538302,NA
AFG,Afghanistan,sheep,dairy,All systems,meat,0.00500999336749993,NA
AFG,Afghanistan,sheep,non-dairy,All systems,milk,0,NA
AFG,Afghanistan,sheep,non-dairy,All systems,meat,0.0050099711983123355,NA
ALB,Albania,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
ALB,Albania,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
ALB,Albania,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
ALB,Albania,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
ALB,Albania,cows,dairy,All systems,milk,0.9372303622837085,NA
ALB,Albania,cows,dairy,All systems,meat,0.08835255016359647,NA
ALB,Albania,cows,non-dairy,All systems,milk,0,NA
ALB,Albania,cows,non-dairy,All systems,meat,0,NA
ALB,Albania,goats,dairy,All systems,milk,0.058778424306947706,NA
ALB,Albania,goats,dairy,All systems,meat,0.010548410592108176,NA
ALB,Albania,goats,non-dairy,All systems,milk,0,NA
ALB,Albania,goats,non-dairy,All systems,meat,0,NA
ALB,Albania,sheep,dairy,All systems,milk,0.024019445632765916,NA
ALB,Albania,sheep,dairy,All systems,meat,0.014798038111732194,NA
ALB,Albania,sheep,non-dairy,All systems,milk,0,NA
ALB,Albania,sheep,non-dairy,All systems,meat,0,NA
DZA,Algeria,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
DZA,Algeria,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
DZA,Algeria,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
DZA,Algeria,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
DZA,Algeria,cows,dairy,All systems,milk,0.7038239224317366,NA
DZA,Algeria,cows,dairy,All systems,meat,0.021427577085496755,NA
DZA,Algeria,cows,non-dairy,All systems,milk,0,NA
DZA,Algeria,cows,non-dairy,All systems,meat,0,NA
DZA,Algeria,goats,dairy,All systems,milk,0.03695948080316184,NA
DZA,Algeria,goats,dairy,All systems,meat,0.00478201980804157,NA
DZA,Algeria,goats,non-dairy,All systems,milk,0,NA
DZA,Algeria,goats,non-dairy,All systems,meat,0,NA
DZA,Algeria,sheep,dairy,All systems,milk,0.009733932420772796,NA
DZA,Algeria,sheep,dairy,All systems,meat,0.00585360808093358,NA
DZA,Algeria,sheep,non-dairy,All systems,milk,0,NA
DZA,Algeria,sheep,non-dairy,All systems,meat,0,NA
ASM,American Samoa,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
ASM,American Samoa,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
ASM,American Samoa,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
ASM,American Samoa,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
ASM,American Samoa,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
ASM,American Samoa,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
ASM,American Samoa,cows,non-dairy,All systems,milk,0,rate gf with global mean
ASM,American Samoa,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
ASM,American Samoa,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
ASM,American Samoa,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
ASM,American Samoa,goats,non-dairy,All systems,milk,0,rate gf with global mean
ASM,American Samoa,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
ASM,American Samoa,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
ASM,American Samoa,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
ASM,American Samoa,sheep,non-dairy,All systems,milk,0,rate gf with global mean
ASM,American Samoa,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
AND,Andorra,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
AND,Andorra,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
AND,Andorra,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
AND,Andorra,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
AND,Andorra,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
AND,Andorra,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
AND,Andorra,cows,non-dairy,All systems,milk,0,rate gf with global mean
AND,Andorra,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
AND,Andorra,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
AND,Andorra,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
AND,Andorra,goats,non-dairy,All systems,milk,0,rate gf with global mean
AND,Andorra,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
AND,Andorra,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
AND,Andorra,sheep,dairy,All systems,meat,0.0033317425066137544,rate gf with global mean
AND,Andorra,sheep,non-dairy,All systems,milk,0,rate gf with global mean
AND,Andorra,sheep,non-dairy,All systems,meat,0.0060631695734751365,rate gf with global mean
AGO,Angola,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
AGO,Angola,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
AGO,Angola,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
AGO,Angola,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
AGO,Angola,cows,dairy,All systems,milk,0.16229333763915307,NA
AGO,Angola,cows,dairy,All systems,meat,0.02147988021126795,NA
AGO,Angola,cows,non-dairy,All systems,milk,0,NA
AGO,Angola,cows,non-dairy,All systems,meat,0.011518419864144492,NA
AGO,Angola,goats,dairy,All systems,milk,0,NA
AGO,Angola,goats,dairy,All systems,meat,0,NA
AGO,Angola,goats,non-dairy,All systems,milk,0,NA
AGO,Angola,goats,non-dairy,All systems,meat,0.0034033922219215028,NA
AGO,Angola,sheep,dairy,All systems,milk,0,NA
AGO,Angola,sheep,dairy,All systems,meat,0,NA
AGO,Angola,sheep,non-dairy,All systems,milk,0,NA
AGO,Angola,sheep,non-dairy,All systems,meat,0.004909332420606806,NA
AIA,Anguilla,buffaloes,dairy,All systems,milk,0.05744750998860241,rate gf with global mean
AIA,Anguilla,buffaloes,dairy,All systems,meat,0.004425067881649755,rate gf with global mean
AIA,Anguilla,buffaloes,non-dairy,All systems,milk,0,rate gf with global mean
AIA,Anguilla,buffaloes,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean
AIA,Anguilla,cows,dairy,All systems,milk,0.8080599509240552,rate gf with global mean
AIA,Anguilla,cows,dairy,All systems,meat,0.039051365221052056,rate gf with global mean
AIA,Anguilla,cows,non-dairy,All systems,milk,0,rate gf with global mean
AIA,Anguilla,cows,non-dairy,All systems,meat,0.02339309454544167,rate gf with global mean
AIA,Anguilla,goats,dairy,All systems,milk,0.04908715204938509,rate gf with global mean
AIA,Anguilla,goats,dairy,All systems,meat,0.004630891527368827,rate gf with global mean
AIA,Anguilla,goats,non-dairy,All systems,milk,0,rate gf with global mean
AIA,Anguilla,goats,non-dairy,All systems,meat,0.004337048018707056,rate gf with global mean
AIA,Anguilla,sheep,dairy,All systems,milk,0.022573503367670982,rate gf with global mean
