Country,Species,Production_system,Variable,Unit,Value,iso3c
Afghanistan,Chickens,All systems,EMSS: Total GHG emissions,kg CO2-eq/year,63224154.24378001,AFG
Afghanistan,Chickens,All systems,EMSS: Total CO2,kg CO2-eq/year,8591976.806832066,AFG
Afghanistan,Chickens,All systems,EMSS: Total CH4,kg CO2-eq/year,10349466.605346953,AFG
Afghanistan,Chickens,All systems,EMSS: Total N2O,kg CO2-eq/year,44282710.831600994,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - N2O fertilizer and crop residues,kg CO2-eq/year,3654526.7301407773,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - N2O manure applied and deposited,kg CO2-eq/year,380388.33001650876,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - CO2 feed production,kg CO2-eq/year,7810284.027853394,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - CO2 LUC soy,kg CO2-eq/year,693312.1950627684,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - CO2 LUC palm kernel cake,kg CO2-eq/year,0,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - CO2 LUC pasture expansion,kg CO2-eq/year,0,AFG
Afghanistan,Chickens,All systems,EMSS: Feed - CH4 rice,kg CO2-eq/year,5922825.02031204,AFG
Afghanistan,Chickens,All systems,EMSS: Enteric - CH4 from enteric fermentation,kg CO2-eq/year,0,AFG
Afghanistan,Chickens,All systems,EMSS: Manure - CH4 from manure management,kg CO2-eq/year,4426641.585034912,AFG
Afghanistan,Chickens,All systems,EMSS: Manure - N2O from manure management,kg CO2-eq/year,40247795.7714437,AFG
Afghanistan,Chickens,All systems,EMSS: Energy - CO2 direct energy use,kg CO2-eq/year,0,AFG
Afghanistan,Chickens,All systems,EMSS: Energy - CO2 indirect energy use,kg CO2-eq/year,88380.58391590431,AFG
Afghanistan,Chickens,All systems,PROD: Eggs - shell weight,kg eggs/year,16149860.724319154,AFG
Afghanistan,Chickens,All systems,PROD: Eggs - protein amount,kg protein/year,2002582.7298155755,AFG
Afghanistan,Chickens,All systems,PROD: Meat - carcass weight,kg CW/year,6528716.684702992,AFG
Afghanistan,Chickens,All systems,PROD: Meat - protein amount,kg protein/year,930342.1275701765,AFG
Afghanistan,Chickens,All systems,HERD: total number of animals,heads/year,12946684.005917266,AFG
Afghanistan,Chickens,All systems,HERD: adult females,heads/year,501230,AFG
Afghanistan,Chickens,All systems,HERD: adult males,heads/year,45641,AFG
Afghanistan,Chickens,All systems,HERD: replacement females,heads/year,189773.65695825283,AFG
Afghanistan,Chickens,All systems,HERD: replacement males,heads/year,16694.991331677025,AFG
Afghanistan,Chickens,All systems,HERD: fattening animals,heads/year,12193344.357627334,AFG
Afghanistan,Chickens,All systems,INTAKE: Total intake,kg DM/year,261837448.1690076,AFG
Afghanistan,Chickens,All systems,INTAKE: Total intake - Swill & Roughages,kg DM/year,111521826.97701143,AFG
Afghanistan,Chickens,All systems,INTAKE: Total intake - Grains & Food crops,kg DM/year,79233213.98997134,AFG
Afghanistan,Chickens,All systems,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,70778943.22779988,AFG
Afghanistan,Chickens,All systems,INTAKE: Total intake - Additives,kg DM/year,303463.9742249863,AFG
Afghanistan,Chickens,All systems,EI: Emission intensity of egss,kg CO2-eq/kg protein,21.0486317877511,AFG
Afghanistan,Chickens,All systems,EI: Emission intensity of meat,kg CO2-eq/kg protein,22.557043449448237,AFG
Afghanistan,Chickens,Backyard,EMSS: Total GHG emissions,kg CO2-eq/year,57876222.06764528,AFG
