iso3c,country,animal,counts_2010,counts_2017,prop_change
CHE,Switzerland,meat cow,995759,982530,0.9867146568597421
CHE,Switzerland,dairy cow,595474,562082,0.9439236641734148
CHE,Switzerland,goats,86987,78146,0.8983641233747571
CHE,Switzerland,pigs,1588998,1444591,0.9091207163256342
CHE,Switzerland,sheep,434083,342419,0.7888330111983192
CHL,Chile,layer chicken,10779606.45169951,12026515.587847544,1.1156729739378795
CHL,Chile,backyard chicken,1798445.3123669154,4165640.1006113603,2.3162450767707825
CHL,Chile,broiler chicken,34900948.23593357,93780844.3115411,2.687057201929704
CHL,Chile,meat cow,3325315,2358200,0.7091658985690078
CHL,Chile,dairy cow,504685,532640,1.0553909864568989
CHL,Chile,goats,667052,447141,0.6703240526975408
CHL,Chile,pigs,2706148,2505503,0.9258558659762881
CHL,Chile,sheep,3644346,2037516,0.5590896144328776
CHN,China,buffaloes,29459910,26503470,0.8996453145987208
CHN,China,layer chicken,2133042228.423147,2439450747.978985,1.143648595172141
CHN,China,backyard chicken,810676854.8475013,811492988.1811795,1.0010067307692307
CHN,China,broiler chicken,2256280916.7293515,1954291263.8398356,0.8661560044893379
CHN,China,meat cow,56382790,49886430,0.8847811539655984
CHN,China,dairy cow,12357000,11955000,0.9674678319980577
CHN,China,goats,141950200,136917700,0.9645474257873536
CHN,China,pigs,467652500,442091700,0.9453423214887122
CHN,China,sheep,145351800,162387700,1.1172046029013745
CIV,Côte d'Ivoire,layer chicken,3318215.848227433,5676947.5957625955,1.7108433734939756
CIV,Côte d'Ivoire,backyard chicken,27040884.289838277,35919864.1641963,1.3283539021575068
CIV,Côte d'Ivoire,broiler chicken,14692899.861934291,18248188.240041103,1.241973225946887
CIV,Côte d'Ivoire,meat cow,1375901,1351100,0.9819747205649244
CIV,Côte d'Ivoire,dairy cow,205681,305000,1.4828788269213005
CIV,Côte d'Ivoire,goats,1324377,1460565,1.1028317465495097
CIV,Côte d'Ivoire,pigs,348590,344719,0.9888952637769299
CIV,Côte d'Ivoire,sheep,1692181,1842239,1.0886772750669107
CMR,Cameroon,layer chicken,1306699.5035021317,1366777.6415941839,1.045977011494253
CMR,Cameroon,backyard chicken,31482418.92928829,35750035.717480704,1.1355555555555557
CMR,Cameroon,broiler chicken,12210881.567209577,13983186.640925111,1.145141451414514
CMR,Cameroon,meat cow,4533104,5444657,1.2010880403361581
CMR,Cameroon,dairy cow,310000,289280,0.9331612903225807
CMR,Cameroon,goats,5405046,5418692,1.0025246778658312
CMR,Cameroon,pigs,2150000,1933417,0.8992637209302325
CMR,Cameroon,sheep,3739325,3451236,0.9229569507865725
COD,Democratic Republic of the Congo,layer chicken,284316.1936405908,289304.19703779416,1.0175438596491229
COD,Democratic Republic of the Congo,backyard chicken,18065114.716566406,17350324.210513998,0.9604325509543032
COD,Democratic Republic of the Congo,broiler chicken,1717569.0897930008,1633371.5924482082,0.9509786838589765
COD,Democratic Republic of the Congo,meat cow,743185,998767,1.3439009129624522
COD,Democratic Republic of the Congo,dairy cow,6594,7913,1.200030330603579
COD,Democratic Republic of the Congo,goats,4052169,4067951,1.0038947042929354
COD,Democratic Republic of the Congo,pigs,977379,981088,1.0037948431468242
COD,Democratic Republic of the Congo,sheep,904080,896879,0.992034996902929
COG,Republic of Congo,layer chicken,344141.4785860367,371672.79687291966,1.08
COG,Republic of Congo,backyard chicken,810464.3113526091,914889.5206999645,1.1288461538461538
COG,Republic of Congo,broiler chicken,1445394.2100613543,1648437.682427116,1.1404761904761904
COG,Republic of Congo,meat cow,327350,356855,1.090132885290973
COG,Republic of Congo,dairy cow,2650,3000,1.1320754716981132
COG,Republic of Congo,goats,320000,325910,1.01846875
COG,Republic of Congo,pigs,88000,106450,1.209659090909091
COG,Republic of Congo,sheep,120000,128166,1.06805
COK,Cook Islands,layer chicken,0,0,1.071680232783863
COK,Cook Islands,backyard chicken,20000,18000,0.9
COK,Cook Islands,broiler chicken,0,0,1.0375969236335174
COK,Cook Islands,meat cow,101,89,0.8811881188118812
COK,Cook Islands,dairy cow,29,25,0.8620689655172413
COK,Cook Islands,goats,1010,877,0.8683168316831683
COK,Cook Islands,pigs,32200,32088,0.9965217391304347
COL,Colombia,layer chicken,34402201.09094419,46356907.64503417,1.347498304613912
COL,Colombia,backyard chicken,17146319.078550007,17775849.439149175,1.0367151898734177
COL,Colombia,broiler chicken,106451479.8305058,99668242.91581665,0.9362786038720217
COL,Colombia,meat cow,21829066,17828158,0.8167164825100625
COL,Colombia,dairy cow,5500000,6500000,1.1818181818181819
COL,Colombia,goats,1112000,834560,0.7505035971223022
COL,Colombia,pigs,5161804,5200000,1.0073997385410216
COL,Colombia,sheep,1791802,819269,0.4572318816476374
COM,Comoros,layer chicken,58800.00037193714,58800.00037193714,1
COM,Comoros,backyard chicken,395999.9990258789,393119.9990329634,0.9927272727272727
COM,Comoros,broiler chicken,95200.00060218394,94080.00059509941,0.988235294117647
COM,Comoros,meat cow,40480,41031,1.0136116600790515
COM,Comoros,dairy cow,9520,9649,1.0135504201680672
COM,Comoros,goats,120000,120969,1.008075
COM,Comoros,sheep,23000,24633,1.071
CPV,Cape Verde,layer chicken,269099.6564985618,228929.65593390874,0.8507244450352253
CPV,Cape Verde,backyard chicken,175879.60197763878,284594.8252065352,1.6181229773462782
CPV,Cape Verde,broiler chicken,173020.74152379946,486475.51885955606,2.8116601199090345
CPV,Cape Verde,meat cow,16907,21204,1.2541550836931448
CPV,Cape Verde,dairy cow,7093,8395,1.1835612575778938
CPV,Cape Verde,goats,160000,107630,0.6726875
CPV,Cape Verde,pigs,238600,66906,0.2804107292539816
CPV,Cape Verde,sheep,11000,12625,1.1477272727272727
CRI,Costa Rica,layer chicken,2439596.9397250717,2922913.314576265,1.1981132075471697
CRI,Costa Rica,backyard chicken,1897597.4115361476,2024950.811038406,1.067112970711297
CRI,Costa Rica,broiler chicken,19562805.64873878,20556135.874385327,1.0507764705882352
CRI,Costa Rica,meat cow,862083,589230,0.6834956726904486
CRI,Costa Rica,dairy cow,487917,835000,1.7113566446752213
CRI,Costa Rica,goats,5050,5699,1.1285148514851484
CRI,Costa Rica,pigs,438000,485624,1.108730593607306
CRI,Costa Rica,sheep,2750,2811,1.022181818181818
CUB,Cuba,layer chicken,8694113.48086182,9460934.289873833,1.0882
CUB,Cuba,backyard chicken,4041718.776732666,3347640.0918107238,0.8282714054927303
CUB,Cuba,broiler chicken,18214167.742405515,12826425.618315443,0.7042004773269689
CUB,Cuba,meat cow,3560700,3535300,0.9928665711798242
CUB,Cuba,dairy cow,431800,330200,0.7647058823529411
CUB,Cuba,goats,938100,1157700,1.2340901822833386
CUB,Cuba,pigs,1591000,2069400,1.3006913890634821
CUB,Cuba,sheep,2361900,1567200,0.6635335958338626
CYM,Cayman Islands,layer chicken,1140,1100,0.9649122807017544
CYM,Cayman Islands,backyard chicken,0,0,1.022376389699084
CYM,Cayman Islands,broiler chicken,4860,4900,1.008230452674897
CYM,Cayman Islands,meat cow,1463,1555,1.0628844839371154
CYM,Cayman Islands,dairy cow,537,557,1.037243947858473
CYM,Cayman Islands,goats,2100,2400,1.1428571428571428
CYM,Cayman Islands,pigs,1063,1187,1.116650987770461
CYP,Cyprus,layer chicken,599460.000210825,582970.0002050257,0.9724919093851133
CYP,Cyprus,backyard chicken,89429.99898305908,86699.9990141029,0.9694733310969473
CYP,Cyprus,broiler chicken,2292110.000806116,2220330.0007808716,0.9686838764282691
CYP,Cyprus,meat cow,35602,36725,1.0315431717319252
CYP,Cyprus,dairy cow,19113,30137,1.5767802019567834
CYP,Cyprus,goats,307428,257637,0.8380401264686366
CYP,Cyprus,pigs,463729,350147,0.7550681540296165
CYP,Cyprus,sheep,328864,321488,0.9775712756641043
CZE,Czech Republic,layer chicken,3997983.3117046384,4754460.154035385,1.1892146073036518
CZE,Czech Republic,backyard chicken,100.35517686054618,85.93345087879811,0.856293153647783
CZE,Czech Republic,broiler chicken,20043916.333118502,15832453.912513737,0.7898882458591099
CZE,Czech Republic,meat cow,970871,1056600,1.0883011234242241
CZE,Czech Republic,dairy cow,378415,364642,0.9636034512373981
CZE,Czech Republic,goats,21709,28174,1.2978027546179005
CZE,Czech Republic,pigs,1909232,1490776,0.7808249599839098
CZE,Czech Republic,sheep,196913,217141,1.1027255691599844
DEU,Germany,buffaloes,4200,8674,2.065238095238095
DEU,Germany,layer chicken,33333498.57067699,40488224.656101644,1.2146407185628743
DEU,Germany,backyard chicken,227205.91629749842,318569.72130782425,1.4021189522666129
DEU,Germany,broiler chicken,80552295.5130255,119193205.62259053,1.4796996766320172
DEU,Germany,meat cow,8627813,8082185,0.9367594082069234
DEU,Germany,dairy cow,4181679,4199010,1.0041445075052389
DEU,Germany,goats,150000,140000,0.9333333333333333
DEU,Germany,pigs,26509000,27577600,1.040310837828662
DEU,Germany,sheep,2088541,1579800,0.7564132090296528
DJI,Djibouti,meat cow,271852,275257,1.0125251975339522
DJI,Djibouti,dairy cow,25148,25409,1.0103785589311278
DJI,Djibouti,goats,512000,514462,1.00480859375
DJI,Djibouti,sheep,466000,468817,1.0060450643776824
DMA,Dominica,layer chicken,46403.330108231894,46403.330108231894,1
DMA,Dominica,backyard chicken,13667.345588718803,14314.746169237062,1.0473684210526315
DMA,Dominica,broiler chicken,129929.3243030493,138281.92372253104,1.0642857142857143
DMA,Dominica,meat cow,5600,6569,1.1730357142857142
DMA,Dominica,dairy cow,7900,7453,0.9434177215189874
DMA,Dominica,goats,9700,9703,1.0003092783505154
DMA,Dominica,pigs,5000,5058,1.0116
DMA,Dominica,sheep,7600,7979,1.0498684210526317
DNK,Denmark,layer chicken,3899999.9999434636,6147999.999910875,1.5764102564102564
DNK,Denmark,backyard chicken,2.621549790582378e-4,3.005562475566492e-4,1.1464830789648308
DNK,Denmark,broiler chicken,14183999.99979438,14584999.999788567,1.0282712915961647
DNK,Denmark,meat cow,1002848,975379,0.9726090095408277
DNK,Denmark,dairy cow,568202,570038,1.0032312452261696
DNK,Denmark,pigs,13173060,12307667,0.9343058484513089
DNK,Denmark,sheep,159626,154129,0.9655632541064739
