iso3c,country,animal,counts_2010,counts_2017,prop_change
AFG,Afghanistan,layer chicken,319581.8938553557,416547.71725927334,1.3034146341463415
AFG,Afghanistan,backyard chicken,12385710.799023436,13044014.018866006,1.0531502172563625
AFG,Afghanistan,broiler chicken,182707.30712120823,112438.26387471965,0.615401023890785
AFG,Afghanistan,meat cow,1773000,1588112,0.8957202481669487
AFG,Afghanistan,dairy cow,3900000,3388888,0.868945641025641
AFG,Afghanistan,goats,6789000,7598000,1.1191633524819562
AFG,Afghanistan,sheep,13286000,13866000,1.0436549751618245
AGO,Angola,layer chicken,663093.3393780016,717701.0261503076,1.0823529411764705
AGO,Angola,backyard chicken,3764300.144927047,8025991.897297578,2.132133886325136
AGO,Angola,broiler chicken,12691606.515694952,27756307.076552115,2.186981375622349
AGO,Angola,meat cow,4090438,4563657,1.1156890777955808
AGO,Angola,dairy cow,397400,432736,1.0889179667840967
AGO,Angola,goats,3844786,4512098,1.1735628458905125
AGO,Angola,pigs,1934764,2727646,1.4098081213005824
AGO,Angola,sheep,983210,1149221,1.1688459230479755
ALB,Albania,buffaloes,120,95,0.7916666666666666
ALB,Albania,layer chicken,3574636.615754785,3828832.9973195693,1.071111111111111
ALB,Albania,backyard chicken,1078562.4334147007,1611160.4701247246,1.4938036224976168
ALB,Albania,broiler chicken,591800.9508305144,2395006.532555706,4.046979865771812
ALB,Albania,meat cow,138000,126008,0.9131014492753623
ALB,Albania,dairy cow,355000,349207,0.98368169014084506
ALB,Albania,goats,775000,933121,1.2040270967741935
ALB,Albania,pigs,164000,180087,1.0980914634146342
ALB,Albania,sheep,1806000,1925511,1.0661744186046511
ARE,United Arab Emirates,layer chicken,2471787.725145153,4745832.432278693,1.9199999999999997
ARE,United Arab Emirates,backyard chicken,225698.19883877962,265895.0480519663,1.1781000000000001
ARE,United Arab Emirates,broiler chicken,17302514.07601607,18550272.51966934,1.0721142857142856
ARE,United Arab Emirates,meat cow,65788,64177,0.975512251474433
ARE,United Arab Emirates,dairy cow,35072,42000,1.197536496350365
ARE,United Arab Emirates,goats,1883630,2329732,1.2368310124599842
ARE,United Arab Emirates,sheep,1350665,2128755,1.5760791906209164
ARG,Argentina,layer chicken,36327695.88753328,42063647.86977537,1.157894736842105
ARG,Argentina,backyard chicken,4312784.290045767,5206146.750126676,1.207142857142857
ARG,Argentina,broiler chicken,57359519.82242096,71030205.38009796,1.2383333333333333
ARG,Argentina,meat cow,46849744,51633720,1.1021131726995135
ARG,Argentina,dairy cow,2100000,1720067,0.8190795238095238
ARG,Argentina,goats,4037036,4863894,1.2048180893110687
ARG,Argentina,pigs,3179039,5400000,1.69862653462257
ARG,Argentina,sheep,15024744,14746566,0.9814853417801994
ARM,Armenia,buffaloes,455,715,1.5714285714285714
ARM,Armenia,layer chicken,2243441.612205601,2276690.264751828,1.014820377925298
ARM,Armenia,backyard chicken,599528.1014579223,584808.2299131753,0.9754475703324809
ARM,Armenia,broiler chicken,1067030.286336477,952501.5053349967,0.8926658573162892
ARM,Armenia,meat cow,296779,359797,1.2123398218876673
ARM,Armenia,dairy cow,273854,295974,1.0807729666172485
ARM,Armenia,goats,29687,27521,0.9270387711793041
ARM,Armenia,pigs,112608,175549,1.5589389741403807
ARM,Armenia,sheep,481342,699561,1.453355410498149
ASM,American Samoa,layer chicken,8710,9000,1.0332950631458093
ASM,American Samoa,backyard chicken,0,0,1.0429205129433197
ASM,American Samoa,broiler chicken,31290,31000,0.9907318632150847
ASM,American Samoa,meat cow,86,87,1.0116279069767442
ASM,American Samoa,dairy cow,24,24,1
ASM,American Samoa,pigs,10500,10500,1
ATG,Antigua and Barbuda,layer chicken,62680.19543767689,57858.641942470975,0.923076923076923
ATG,Antigua and Barbuda,backyard chicken,5353.3951438225595,5638.909551493096,1.0533333333333332
ATG,Antigua and Barbuda,broiler chicken,81966.40941850055,94502.44850603593,1.1529411764705881
ATG,Antigua and Barbuda,meat cow,1780,1500,0.8426966292134831
ATG,Antigua and Barbuda,dairy cow,3220,3500,1.0869565217391304
ATG,Antigua and Barbuda,goats,27000,27000,1
ATG,Antigua and Barbuda,pigs,5000,5000,1
ATG,Antigua and Barbuda,sheep,14000,14000,1
AUS,Australia,layer chicken,11594201.814313907,15838031.43698974,1.3660303391852735
AUS,Australia,backyard chicken,989143.0516790733,1131967.3784222887,1.1443919830410483
AUS,Australia,broiler chicken,70440655.13400702,78042001.18458797,1.1079113480151495
AUS,Australia,meat cow,25180000,24655145,0.979155877680699
AUS,Australia,dairy cow,1553000,1520376,0.9789929169349646
AUS,Australia,goats,3500000,3600000,1.0285714285714285
AUS,Australia,pigs,2289292,2485699,1.0857937737955665
AUS,Australia,sheep,68085496,72125334,1.0593347810817153
AUT,Austria,layer chicken,5706392.989208715,7325397.568956261,1.283717679944095
AUT,Austria,backyard chicken,48139.363886026484,51479.897379970556,1.0693929712460064
AUT,Austria,broiler chicken,9895467.646905258,9359122.533663768,0.9457989119484183
AUT,Austria,meat cow,1492201,1413571,0.9473060264669438
AUT,Austria,dairy cow,534059,540820,1.0126596499637681
AUT,Austria,goats,68188,82735,1.2133366574763889
AUT,Austria,pigs,3136967,2792803,0.8902876568354082
AUT,Austria,sheep,344709,378381,1.0976823929749442
AZE,Azerbaijan,buffaloes,277400,196651,0.7089077144917088
AZE,Azerbaijan,layer chicken,10659616.85809273,12874815.91490805,1.2078122587617726
AZE,Azerbaijan,backyard chicken,3746040.099686486,5397308.7450471055,1.44080378250591
AZE,Azerbaijan,broiler chicken,6744343.042220783,12200875.340044845,1.809053196681308
AZE,Azerbaijan,meat cow,1022343,1177306,1.1515763300575248
AZE,Azerbaijan,dairy cow,1277357,1299033,1.016969414188829
AZE,Azerbaijan,goats,620644,633327,1.0204352253465756
AZE,Azerbaijan,pigs,5347,4856,0.9081728071815972
AZE,Azerbaijan,sheep,7871193,7820981,0.993620789123072
BDI,Burundi,layer chicken,79982.83505702113,69984.9806748935,0.875
BDI,Burundi,backyard chicken,1548036.9046274046,2070049.3492110642,1.3372093023255813
BDI,Burundi,broiler chicken,91980.26031557431,159965.67011404227,1.7391304347826084
BDI,Burundi,meat cow,516412,945539,1.8309779788231102
BDI,Burundi,dairy cow,80000,132000,1.65
BDI,Burundi,goats,2145013,3619962,1.6876177440416444
BDI,Burundi,pigs,244362,618176,2.529755035561994
BDI,Burundi,sheep,315295,527464,1.6729221839864254
BEL,Belgium,layer chicken,8939942.510516793,9748937.308168704,1.0904921700223713
BEL,Belgium,backyard chicken,221.05156434748528,173.01504985510087,0.7826909090909092
BEL,Belgium,broiler chicken,25434836.43791886,17155889.676781442,0.6745036367210536
BEL,Belgium,meat cow,2093000,1866829,0.8919393215480172
BEL,Belgium,dairy cow,500000,519159,1.038318
BEL,Belgium,goats,22000,64000,2.909090909090909
BEL,Belgium,pigs,6430000,6108077,0.9499342146189735
BEL,Belgium,sheep,120000,86602,0.7216833333333333
BEN,Benin,layer chicken,790815.8453309101,998100.8332920702,1.262115370076359
BEN,Benin,backyard chicken,15560508.638374042,19408796.36386437,1.247311178247734
BEN,Benin,broiler chicken,198675.51629504908,236102.80284355968,1.1883839903701474
BEN,Benin,meat cow,1522798,1822800,1.1970070882677808
BEN,Benin,dairy cow,482202,577200,1.1970087224855974
BEN,Benin,goats,1605000,1878000,1.1700934579439253
BEN,Benin,pigs,368000,485000,1.3179347826086956
BEN,Benin,sheep,808000,934000,1.1559405940594059
BES,"Bonaire, Sint Eustatius and Saba",layer chicken,72810,72000,0.9888751545117429
BES,"Bonaire, Sint Eustatius and Saba",backyard chicken,0,0,1.022376389699084
BES,"Bonaire, Sint Eustatius and Saba",broiler chicken,92190,90000,0.9762447120078099
BES,"Bonaire, Sint Eustatius and Saba",meat cow,295,220,0.7457627118644068
BES,"Bonaire, Sint Eustatius and Saba",dairy cow,365,302,0.8273972602739726
BES,"Bonaire, Sint Eustatius and Saba",goats,13680,14086,1.0296783625730994
BES,"Bonaire, Sint Eustatius and Saba",pigs,2710,2886,1.0649446494464945
BES,"Bonaire, Sint Eustatius and Saba",sheep,9320,9929,1.065343347639485
BFA,Burkina Faso,layer chicken,332949.6204918993,312770.8556136024,0.9393939393939393
BFA,Burkina Faso,backyard chicken,38213028.169746414,42195021.66928102,1.1042051282051284
BFA,Burkina Faso,broiler chicken,454022.20976168086,556207.4751053764,1.2250666666666665
BFA,Burkina Faso,meat cow,7252330,8017073,1.1054479043286778
BFA,Burkina Faso,dairy cow,1146169,1630000,1.4221288483635486
BFA,Burkina Faso,goats,12342454,15179490,1.2298599613982761
BFA,Burkina Faso,pigs,2167246,2489317,1.1486084182413994
BFA,Burkina Faso,sheep,8243238,10137973,1.2298532445623915
BGD,Bangladesh,buffaloes,1349000,1478000,1.0956263899184582
BGD,Bangladesh,layer chicken,22581786.729837272,36838931.74147182,1.6313559322033897
BGD,Bangladesh,backyard chicken,184395697.14458945,222520933.7485016,1.2067577345582916
BGD,Bangladesh,broiler chicken,21057516.125573255,15823134.51002657,0.7514245467351298
BGD,Bangladesh,meat cow,19004000,19903199,1.0473163018311935
BGD,Bangladesh,dairy cow,4047000,4031801,0.9962443785520139
BGD,Bangladesh,goats,51400000,59499229,1.1575725486381323
BGD,Bangladesh,sheep,1820000,2207149,1.2127192307692307
BGR,Bulgaria,buffaloes,8311,12273,1.476717603176513
BGR,Bulgaria,layer chicken,6632889.373083515,5836018.740333493,0.8798607080673244
BGR,Bulgaria,backyard chicken,601608.8583745789,467993.1926663391,0.7779027621547308
BGR,Bulgaria,broiler chicken,8767501.768541906,6143988.067000168,0.7007683863885841
BGR,Bulgaria,meat cow,242798,286537,1.1801456354665194
BGR,Bulgaria,dairy cow,296757,271329,0.9143137314368321
BGR,Bulgaria,goats,360822,237543,0.6583384605151571
BGR,Bulgaria,pigs,729798,616426,0.8446529039542449
BGR,Bulgaria,sheep,1400252,1360087,0.9713158774277773
BHR,Bahrain,layer chicken,261293.59666399987,265449.7255790885,1.0159059730821993
BHR,Bahrain,backyard chicken,16538.85198205508,16882.11117413547,1.0207547169811322
BHR,Bahrain,broiler chicken,252167.55135394508,258668.16324677604,1.0257789388758691
BHR,Bahrain,meat cow,3762,3632,0.9654439128123339
BHR,Bahrain,dairy cow,6238,6190,0.9923052260339853
BHR,Bahrain,goats,19000,17598,0.9262105263157895
BHR,Bahrain,sheep,40000,38901,0.972525
BHS,Bahamas,layer chicken,111138.22422956309,107033.6317460892,0.9630676798020852
BHS,Bahamas,backyard chicken,54120.22717185683,57060.75951486105,1.0543333333333333
BHS,Bahamas,broiler chicken,2834741.54859858,2998905.6087390496,1.057911473524501
BHS,Bahamas,meat cow,30,69,2.3
BHS,Bahamas,dairy cow,720,672,0.9333333333333333
BHS,Bahamas,goats,14500,14947,1.0308275862068965
BHS,Bahamas,pigs,5000,5012,1.0024
BHS,Bahamas,sheep,6500,6702,1.031076923076923
BIH,Bosnia and Herzegovina,layer chicken,3341945.50384961,3322571.9067258444,0.9942028985507246
BIH,Bosnia and Herzegovina,backyard chicken,2510602.3857820034,1943776.8923111067,0.7742272943414169
BIH,Bosnia and Herzegovina,broiler chicken,15177452.110368388,11015651.200963048,0.7257905425007252
BIH,Bosnia and Herzegovina,meat cow,184982,212168,1.1469656507119612
BIH,Bosnia and Herzegovina,dairy cow,277386,232354,0.837655829782325
BIH,Bosnia and Herzegovina,goats,64250,73287,1.1406536964980545
BIH,Bosnia and Herzegovina,pigs,590431,548011,0.9281541788964333
BIH,Bosnia and Herzegovina,sheep,1046035,1016735,0.9719894649796613
BLR,Belarus,layer chicken,14086758.360760467,18218874.146583535,1.2933333333333332
BLR,Belarus,backyard chicken,1948248.8303776719,2800607.6936679035,1.4375000000000002
BLR,Belarus,broiler chicken,15964992.808861861,24980518.15974856,1.5647058823529414
BLR,Belarus,meat cow,2706400,2862000,1.0574933490984333
BLR,Belarus,dairy cow,1444600,1500200,1.0384881628132354
BLR,Belarus,goats,75000,64700,0.8626666666666667
BLR,Belarus,pigs,3781500,3155700,0.8345101150337167
BLR,Belarus,sheep,52400,89900,1.715648854961832
BLZ,Belize,layer chicken,509475.6560669574,621346.5343921494,1.2195804195804196
BLZ,Belize,backyard chicken,76391.13513763208,80934.66016869385,1.0594771241830065
BLZ,Belize,broiler chicken,944133.2087954106,918718.8054391567,0.9730817610062893
BLZ,Belize,meat cow,88770,107187,1.2074687394389996
BLZ,Belize,dairy cow,3900,6500,1.6666666666666667
BLZ,Belize,goats,180,189,1.05
BLZ,Belize,pigs,17400,22926,1.3175862068965518
BLZ,Belize,sheep,13100,15284,1.1667175572519084
BMU,Bermuda,layer chicken,0,0,1.1516090659677598
BMU,Bermuda,backyard chicken,50000,51000,1.02
BMU,Bermuda,broiler chicken,0,0,0.9931059433316323
BMU,Bermuda,meat cow,260,224,0.8615384615384616
BMU,Bermuda,dairy cow,390,418,1.0717948717948718
BMU,Bermuda,goats,350,367,1.0485714285714285
BMU,Bermuda,pigs,800,812,1.015
BOL,Bolivia,layer chicken,12169278.085900031,18070644.868520226,1.4849397590361446
BOL,Bolivia,backyard chicken,52156536.61388233,59433330.08039483,1.1395183411119298
BOL,Bolivia,broiler chicken,131082185.30021764,145167025.05108494,1.1074504496443112
BOL,Bolivia,meat cow,8012786,9104000,1.1361840937721286
BOL,Bolivia,dairy cow,177000,200000,1.1299435028248588
BOL,Bolivia,goats,2199018,2210000,1.0049940473429504
BOL,Bolivia,pigs,2640616,2951000,1.1175422704399276
BOL,Bolivia,sheep,8701465,7442000,0.8552582812204611
BRA,Brazil,buffaloes,1184511,1375168,1.1609584039320868
BRA,Brazil,layer chicken,270763206.539556,342966728.28343767,1.2666666666666668
BRA,Brazil,backyard chicken,61888240.33845269,71266840.426258,1.151540907230774
BRA,Brazil,broiler chicken,906261553.1219913,1012425431.2903043,1.1171448549291183
BRA,Brazil,meat cow,186616195,198151796,1.0618145761679472
BRA,Brazil,dairy cow,22924914,16851782,0.735085941870927
BRA,Brazil,goats,9312784,10257806,1.101475777812521
BRA,Brazil,pigs,38956760,41383029,1.0622810777898368
BRA,Brazil,sheep,17380581,18606767,1.0705491951045825
BRB,Barbados,layer chicken,840614.8438456472,851849.0921945431,1.0133643230679836
BRB,Barbados,backyard chicken,83191.82121518889,84717.00460413401,1.0183333333333333
BRB,Barbados,broiler chicken,2676193.334939164,2729433.903201323,1.0198941412666545
BRB,Barbados,meat cow,7320,7930,1.0833333333333333
BRB,Barbados,dairy cow,3680,2850,0.7744565217391305
BRB,Barbados,goats,5200,5484,1.0546153846153845
BRB,Barbados,pigs,21500,23223,1.0801395348837208
BRB,Barbados,sheep,12000,13648,1.1373333333333333
BRN,Brunei,buffaloes,4124,2942,0.7133850630455868
BRN,Brunei,layer chicken,1710431.963891867,1968665.1524786064,1.1509754226056224
BRN,Brunei,backyard chicken,85354.83663837299,97611.35610468799,1.1435949027498324
BRN,Brunei,broiler chicken,13114213.19946976,14984723.491416706,1.1426322924216739
BRN,Brunei,meat cow,725,648,0.8937931034482759
BRN,Brunei,dairy cow,127,122,0.9606299212598425
BRN,Brunei,goats,6806,8689,1.2766676461945343
BRN,Brunei,pigs,1200,1300,1.0833333333333333
BRN,Brunei,sheep,3800,4538,1.1942105263157894
BTN,Bhutan,buffaloes,928,550,0.5926724137931034
BTN,Bhutan,layer chicken,170608.31557544888,752227.5732190247,4.409090909090909
BTN,Bhutan,backyard chicken,78353.17210985607,239774.1771155481,3.060171919770774
BTN,Bhutan,broiler chicken,100038.51231469504,75998.24966542724,0.7596899224806202
BTN,Bhutan,meat cow,201841,165875,0.8218102367705273
BTN,Bhutan,dairy cow,151000,137375,0.9097682119205298
BTN,Bhutan,goats,43134,42689,0.9896833124681226
BTN,Bhutan,pigs,19711,18816,0.9545938815889605
BTN,Bhutan,sheep,12699,10444,0.8224269627529727
BWA,Botswana,layer chicken,752332.3045580513,526632.6131906359,0.7000000000000001
BWA,Botswana,backyard chicken,104928.51459158954,42305.07970472946,0.40318001135718345
BWA,Botswana,broiler chicken,903739.1808503591,141062.30710463462,0.15608740894901144
BWA,Botswana,meat cow,2302534,935375,0.4062372151725013
BWA,Botswana,dairy cow,346308,165000,0.4764544856024117
BWA,Botswana,goats,1937971,1199661,0.6190293869206506
BWA,Botswana,pigs,3000,1437,0.479
BWA,Botswana,sheep,279237,234621,0.8402217471180395
CAF,Central African Republic,layer chicken,229158.74023447803,215678.81433833225,0.9411764705882353
CAF,Central African Republic,backyard chicken,4466044.277470546,5200812.227135949,1.1645232120451696
CAF,Central African Republic,broiler chicken,1680796.9822949753,2008508.9585257191,1.1949741579041169
CAF,Central African Republic,meat cow,3613000,4272796,1.182617215610296
CAF,Central African Republic,dairy cow,280000,323033,1.1536892857142858
CAF,Central African Republic,goats,4862000,6845717,1.4080043192102016
CAF,Central African Republic,pigs,1087000,1096376,1.008625574977001
CAF,Central African Republic,sheep,388000,437539,1.1276778350515464
CAN,Canada,layer chicken,26252898.931653783,31347232.679988954,1.1940484272459833
CAN,Canada,backyard chicken,1624865.2137408787,1673798.2758443842,1.0301151515151514
CAN,Canada,broiler chicken,137122235.85460535,136947969.04416665,0.998729113412186
CAN,Canada,meat cow,11703800,10610000,0.9065431740118594
CAN,Canada,dairy cow,966200,925000,0.9573587249016766
CAN,Canada,goats,30000,30011,1.0003666666666666
CAN,Canada,pigs,12465000,13935000,1.117930204572804
CAN,Canada,sheep,855300,813900,0.9515959312521922
CHE,Switzerland,layer chicken,2435472.838238063,3170709.9214797425,1.3018867924528303
CHE,Switzerland,backyard chicken,9271.097128287332,11826.246325651853,1.2756037567084078
CHE,Switzerland,broiler chicken,6499256.06463365,8226463.832194606,1.2657546879803259
