iso3c,days_on_lot,kg_female_end,kg_female_start,kg_male_end,kg_male_start
ARG,118,500,270,500,270
AUS,120,678,380,678,380
BRA,95,513,370,513,370
CAN,200,600,350,600,350
CHN,120,500,320,500,320
ESP,216,524,240,524,240
IDN,150,495,300,495,300
JPN,300,550,200,550,200
MEX,105,450,245,450,265
URY,100,535,400,535,400
USA,160,600,350,600,350
ZAF,130,441,220,441,220
