iso3c,year,animal,product,fao_headcount
AFG,2010,cows,milk,3900000
AFG,2017,cows,milk,3388888
AFG,2010,cows,meat,1773000
AFG,2017,cows,meat,1588112
AFG,2010,chickens,meat,4688000
AFG,2017,chickens,meat,2885000
AFG,2010,chickens,eggs,8200000
AFG,2017,chickens,eggs,10688000
AFG,2010,goats,meat and milk,6789000
AFG,2017,goats,meat and milk,7598000
AFG,2010,sheep,meat and milk,13286000
AFG,2017,sheep,meat and milk,13866000
ALB,2010,buffaloes,meat and milk,120
ALB,2017,buffaloes,meat and milk,95
ALB,2010,cows,milk,355000
ALB,2017,cows,milk,349207
ALB,2010,cows,meat,138000
ALB,2017,cows,meat,126008
ALB,2010,chickens,meat,745000
ALB,2017,chickens,meat,3015000
ALB,2010,chickens,eggs,4500000
ALB,2017,chickens,eggs,4820000
ALB,2010,goats,meat and milk,775000
ALB,2017,goats,meat and milk,933121
ALB,2010,sheep,meat and milk,1806000
ALB,2017,sheep,meat and milk,1925511
ALB,2010,pigs,meat,164000
ALB,2017,pigs,meat,180087
DZA,2010,cows,milk,915400
DZA,2017,cows,milk,1073709
DZA,2010,cows,meat,832300
DZA,2017,cows,meat,821417
DZA,2010,chickens,meat,106331000
DZA,2017,chickens,meat,112018000
DZA,2010,chickens,eggs,19669000
DZA,2017,chickens,eggs,23000000
DZA,2010,goats,meat and milk,4287300
DZA,2017,goats,meat and milk,5007894
DZA,2010,sheep,meat and milk,22868770
DZA,2017,sheep,meat and milk,28393602
DZA,2010,pigs,meat,5500
DZA,2017,pigs,meat,4789
ASM,2010,cows,milk,24
ASM,2017,cows,milk,24
ASM,2010,cows,meat,86
ASM,2017,cows,meat,87
ASM,2010,chickens,meat,31290
ASM,2017,chickens,meat,31000
ASM,2010,chickens,eggs,8710
ASM,2017,chickens,eggs,9000
ASM,2010,pigs,meat,10500
ASM,2017,pigs,meat,10500
AGO,2010,cows,milk,397400
AGO,2017,cows,milk,432736
AGO,2010,cows,meat,4090438
AGO,2017,cows,meat,4563657
AGO,2010,chickens,meat,16269000
AGO,2017,chickens,meat,35580000
AGO,2010,chickens,eggs,850000
AGO,2017,chickens,eggs,920000
AGO,2010,goats,meat and milk,3844786
AGO,2017,goats,meat and milk,4512098
AGO,2010,sheep,meat and milk,983210
AGO,2017,sheep,meat and milk,1149221
AGO,2010,pigs,meat,1934764
AGO,2017,pigs,meat,2727646
ATG,2010,cows,milk,3220
ATG,2017,cows,milk,3500
ATG,2010,cows,meat,1780
ATG,2017,cows,meat,1500
ATG,2010,chickens,meat,85000
ATG,2017,chickens,meat,98000
ATG,2010,chickens,eggs,65000
ATG,2017,chickens,eggs,60000
ATG,2010,goats,meat and milk,27000
ATG,2017,goats,meat and milk,27000
ATG,2010,sheep,meat and milk,14000
ATG,2017,sheep,meat and milk,14000
ATG,2010,pigs,meat,5000
ATG,2017,pigs,meat,5000
ARG,2010,cows,milk,2100000
ARG,2017,cows,milk,1720067
ARG,2010,cows,meat,46849744
ARG,2017,cows,meat,51633720
ARG,2010,chickens,meat,60000000
ARG,2017,chickens,meat,74300000
ARG,2010,chickens,eggs,38000000
ARG,2017,chickens,eggs,44000000
ARG,2010,goats,meat and milk,4037036
ARG,2017,goats,meat and milk,4863894
