iso3c,system,prop,gapfilled
ABW,backyard,0.25,gf with continental medians
ABW,intermediate,0.125,gf with continental medians
ABW,industrial,0.625,gf with continental medians
AFG,backyard,0.10500010501938183,NA
AFG,intermediate,0.1969644310502641,NA
AFG,industrial,0.6980354639303541,NA
AGO,backyard,0.5460458193163689,NA
AGO,intermediate,0.19985061918846872,NA
AGO,industrial,0.2541035614951625,NA
AIA,backyard,0.25,gf with continental medians
AIA,intermediate,0.125,gf with continental medians
AIA,industrial,0.625,gf with continental medians
ALA,backyard,7.151172951650962e-4,NA
ALA,intermediate,0.006895755280497466,NA
ALA,industrial,0.9923891274243375,NA
ALB,backyard,0.3263128430942954,NA
ALB,intermediate,0.12754171560559346,NA
ALB,industrial,0.5461454413001111,NA
AND,backyard,0.0625,gf with continental medians
AND,intermediate,0.0625,gf with continental medians
AND,industrial,0.875,gf with continental medians
ARE,backyard,0.4375,gf with continental medians
ARE,intermediate,0.125,gf with continental medians
ARE,industrial,0.4375,gf with continental medians
ARG,backyard,0.11063157139461378,NA
ARG,intermediate,2.6273184179250367e-5,NA
ARG,industrial,0.8893421554212071,NA
ARM,backyard,0.39463990275018107,NA
ARM,intermediate,0.17070577452285618,NA
ARM,industrial,0.43465432272696275,NA
ASM,backyard,0,NA
ASM,intermediate,0.33711816930590704,NA
ASM,industrial,0.6628818306940929,NA
ATG,backyard,0.07464333572171207,NA
ATG,intermediate,0,NA
ATG,industrial,0.9253566642782879,NA
AUS,backyard,0.022452766847654463,NA
AUS,intermediate,0,NA
AUS,industrial,0.9775472331523456,NA
AUT,backyard,0.018115634259119905,NA
AUT,intermediate,0.006400904228252297,NA
AUT,industrial,0.9754834615126279,NA
AZE,backyard,0.2714808776096095,NA
AZE,intermediate,0.09119380960517845,NA
AZE,industrial,0.6373253127852121,NA
BDI,backyard,0.9000559489742833,NA
BDI,intermediate,0.08990975278890963,NA
BDI,industrial,0.010034298236807071,NA
BEL,backyard,1.0218950146590085e-4,NA
BEL,intermediate,0.002902565769520082,NA
BEL,industrial,0.996995244729014,NA
BEN,backyard,0.8338560393937073,NA
BEN,intermediate,0.14122236658248127,NA
BEN,industrial,0.02492159402381135,NA
BES,backyard,0.25,gf with continental medians
BES,intermediate,0.125,gf with continental medians
BES,industrial,0.625,gf with continental medians
BFA,backyard,0.9300823715050862,NA
BFA,intermediate,2.3520458923065326e-5,NA
BFA,industrial,0.06989410803599068,NA
BGD,backyard,0.8001281175793558,NA
BGD,intermediate,0.18249171872199804,NA
BGD,industrial,0.01738016369864623,NA
BGR,backyard,0.20065604662641154,NA
BGR,intermediate,0.08987357809720611,NA
BGR,industrial,0.7094703752763823,NA
BHR,backyard,0.4375,gf with continental medians
BHR,intermediate,0.125,gf with continental medians
BHR,industrial,0.4375,gf with continental medians
BHS,backyard,0.029834414270452487,NA
BHS,intermediate,0,NA
BHS,industrial,0.9701655857295475,NA
BIH,backyard,0.30102002044692605,NA
BIH,intermediate,0.12038081438719143,NA
BIH,industrial,0.5785991651658825,NA
BLM,backyard,0.25,gf with continental medians
BLM,intermediate,0.125,gf with continental medians
BLM,industrial,0.625,gf with continental medians
BLR,backyard,0.1456783532970784,NA
BLR,intermediate,0.022736200051521657,NA
BLR,industrial,0.8315854466514,NA
