Company Name,Address,"City, State Zip",,
Flint Rock Feeders Ltd.,146 Cedar Glade Rd,"Mount Vernon, AR 72111-9535",,
Bales Cattle Company Inc.,20600 West Beloat Rd,"Buckeye, AZ 85326",,
Heiden Land & Cattle Company,PO Box 428,"Buckeye, AZ 85326",,
JBS Five Rivers-McElhaney Cattle Company,34673 E County 9th St -- Suite A,"Wellton, AZ 85356",,
OK Cattle Company,PO Box 213,"Maricopa, AZ 85239",,
Pacific Livestock Auction,5025 W Pecos Rd,"Chandler, AZ 85226",,
Suarez Brokerage Co,217 3rd St,"Douglas, AZ 85607",,
Suarez Brokerage Co,PO Box 2787,"San Luis, AZ 85349",,
Westlake Cattle Growers LLC,PO Box 1059,"Cochise, AZ 85606",,
3 Brand Cattle Company,34377 Lerdo Hwy,"Bakersfield, CA 93308",,
Brandt Company,PO Box 118,"Brawly, CA 92227",,
Clay Station Feedlots,12901 Twin Cities Rd,"Herald, CA 95638",,
Coalinga Feed Yard Inc.,35244 Oil City Road,"Coalinga, CA 93210",,
Eade Feed Lot,PO Box 454,"San Ardo, CA 93450",,
El Toro Land & Cattle Co,PO Box G,"Heber, CA 92249",,
Foster Feed Yard,3403 Casey Rd,"Brawley, CA 92227",,
Harris Feeding Company,Rt 1 Box 400,"Coalinga, CA 93210",,
Hillview Cattle Feeders,12250 W Lincoln Ave,"Fresno, CA 93706",,
Joe Weiss,2000 Carlton St,"Bakersfield, CA 93309-4702",,
"Mesquite Cattle Feeders, Inc.",PO Box 1025,"Brawley, CA 92227",,
Moiola Bros Cattle Feeders,1594 Gonder Rd,"Brawley, CA 92227",,
Phillips Cattle Co Inc.,PO Box 728,"Imperial, CA 92251-0728",,
Phillips Cattle Co Inc./Tamarack Yard,1024 E Hwy 98,"Calexico, CA 92231",,
Reata Feedlot,180 Marjorie Ave,"Brawley, CA 92227",,
Richard Stober Livestock,7757 Rd 34,"Madera, CA 93636",,
Sundance Feedyard Inc.,7437 Bear Mountain Blvd,"Bakersfield, CA 93313",,
Superior Cattle Feeders LLC,PO Box 1828,"Calipatria, CA 92233",,
Urrutia Feedlot,43335 Hwy 145 E,"Friant, CA 93626",,
W. P. Roduner Cattle & Farming Co.,3257 West Roduner Rd,"Merced, CA 95340",,
Western Stockman's Market,31911 Hwy 46,"McFarland, CA 93250",,
4 M Feeders Inc.,2955 Road 30,"Stratton, CO 80836",,
