iso3c,year,animal,product,fao_headcount
AFG,2010,chickens,eggs,319581.8938553557
AFG,2010,chickens,eggs&meat,12385710.799023436
AFG,2010,chickens,meat,182707.30712120823
AFG,2010,cows,meat,1773000
AFG,2010,cows,milk,3900000
AFG,2010,goats,meat and milk,6789000
AFG,2010,sheep,meat and milk,13286000
AFG,2017,chickens,eggs,416547.71725927334
AFG,2017,chickens,eggs&meat,13044014.018866006
AFG,2017,chickens,meat,112438.26387471965
AFG,2017,cows,meat,1588112
AFG,2017,cows,milk,3388888
AFG,2017,goats,meat and milk,7598000
AFG,2017,sheep,meat and milk,13866000
AGO,2010,chickens,eggs,663093.3393780016
AGO,2010,chickens,eggs&meat,3764300.144927047
AGO,2010,chickens,meat,12691606.515694952
AGO,2010,cows,meat,4090438
AGO,2010,cows,milk,397400
AGO,2010,goats,meat and milk,3844786
AGO,2010,pigs,meat,1934764
AGO,2010,sheep,meat and milk,983210
AGO,2017,chickens,eggs,717701.0261503076
AGO,2017,chickens,eggs&meat,8025991.897297578
AGO,2017,chickens,meat,27756307.076552115
AGO,2017,cows,meat,4563657
AGO,2017,cows,milk,432736
AGO,2017,goats,meat and milk,4512098
AGO,2017,pigs,meat,2727646
AGO,2017,sheep,meat and milk,1149221
ALB,2010,buffaloes,meat and milk,120
ALB,2010,chickens,eggs,3574636.615754785
ALB,2010,chickens,eggs&meat,1078562.4334147007
ALB,2010,chickens,meat,591800.9508305144
ALB,2010,cows,meat,138000
ALB,2010,cows,milk,355000
ALB,2010,goats,meat and milk,775000
ALB,2010,pigs,meat,164000
ALB,2010,sheep,meat and milk,1806000
ALB,2017,buffaloes,meat and milk,95
ALB,2017,chickens,eggs,3828832.9973195693
ALB,2017,chickens,eggs&meat,1611160.4701247246
ALB,2017,chickens,meat,2395006.532555706
ALB,2017,cows,meat,126008
ALB,2017,cows,milk,349207
ALB,2017,goats,meat and milk,933121
ALB,2017,pigs,meat,180087
ALB,2017,sheep,meat and milk,1925511
ARE,2010,chickens,eggs,2471787.725145153
