iso3c,ID_0,Country,gleam_country,Species,Variable,Unit,Broilers,Layers,prop_broilers,prop_layers,Global_Name,Region_Name,Sub_region_Name,Intermediate_Region_Name,gapfilled
AFG,1,Afghanistan,Afghanistan,Chickens,HERD: total number of animals,heads/year,280950.15749143437,18867.294442762846,0.9370707264669044,0.06292927353309562,World,Asia,Southern Asia,Southern Asia,NA
CYP,61,Cyprus,Cyprus,Chickens,HERD: total number of animals,heads/year,2287204.1183000077,138081.48350210526,0.9430658874156909,0.05693411258430906,World,Asia,Western Asia,Western Asia,NA
ALA,3,Åland,NA,NA,NA,NA,NA,NA,0.8976887051993764,0.10231129480062362,World,Europe,Northern Europe,Northern Europe,prop gf with regional average
ALB,4,Albania,Albania,Chickens,HERD: total number of animals,heads/year,1290709.1327228677,252825.98107113785,0.8362032850359379,0.1637967149640621,World,Europe,Southern Europe,Southern Europe,NA
DZA,5,Algeria,Algeria,Chickens,HERD: total number of animals,heads/year,63397511.4673179,8325896.762721064,0.8839166045202793,0.11608339547972063,World,Africa,Northern Africa,Northern Africa,NA
ASM,6,American Samoa,American Samoa,Chickens,HERD: total number of animals,heads/year,0,0,0,0,World,Oceania,Polynesia,Polynesia,NA
AND,7,Andorra,Andorra,Chickens,HERD: total number of animals,heads/year,19227.39592954937,0,1,0,World,Europe,Southern Europe,Southern Europe,NA
AGO,8,Angola,Angola,Chickens,HERD: total number of animals,heads/year,11949969.068597168,377106.8412502476,0.9694082486383492,0.030591751361650814,World,Africa,Sub-Saharan Africa,Middle Africa,NA
AIA,9,Anguilla,Anguilla,Chickens,HERD: total number of animals,heads/year,344277.09065676905,0,1,0,World,Americas,Latin America and the Caribbean,Caribbean,NA
ATG,11,Antigua and Barbuda,Antigua & Barbuda,Chickens,HERD: total number of animals,heads/year,63487.50329101062,16960.679398681317,0.7891726222815653,0.21082737771843463,World,Americas,Latin America and the Caribbean,Caribbean,NA
ARG,12,Argentina,Argentina,Chickens,HERD: total number of animals,heads/year,65635988.55301412,5905536.761482808,0.9174530213673522,0.08254697863264777,World,Americas,Latin America and the Caribbean,South America,NA
ARM,13,Armenia,Armenia,Chickens,HERD: total number of animals,heads/year,161268.32471342786,683011.4001605562,0.19101290717066377,0.8089870928293363,World,Asia,Western Asia,Western Asia,NA
ABW,14,Aruba,Aruba,Chickens,HERD: total number of animals,heads/year,0,0,0,0,World,Americas,Latin America and the Caribbean,Caribbean,NA
AUS,15,Australia,Australia,Chickens,HERD: total number of animals,heads/year,70433651.60349375,2905641.039102848,0.9603808417779147,0.03961915822208526,World,Oceania,Australia and New Zealand,Australia and New Zealand,NA
AUT,16,Austria,Austria,Chickens,HERD: total number of animals,heads/year,8406742.276069576,1897285.925581481,0.8158694940996501,0.18413050590034982,World,Europe,Western Europe,Western Europe,NA
AZE,17,Azerbaijan,Azerbaijan,Chickens,HERD: total number of animals,heads/year,9050633.902239092,1814689.7730679812,0.8329833673347339,0.16701663266526617,World,Asia,Western Asia,Western Asia,NA
BHS,18,Bahamas,Bahamas,Chickens,HERD: total number of animals,heads/year,2309183.9279606845,134120.50419220357,0.9451069206001378,0.05489307939986214,World,Americas,Latin America and the Caribbean,Caribbean,NA
