iso3c,Species,mixed_count,feedlot_count,factor
ARG,Cattle,24211495.50437467,1032445.0135604932,0.04264276088909688
AUS,Cattle,8276317.978969196,718010.9041238959,0.08675487166496268
BRA,Cattle,103142447.10319713,1014422.8007100136,0.0098351632058434
CAN,Cattle,969095.4209368903,862397.7516251357,0.8898997281314127
CHN,Cattle,46949243.86766193,3683506.8972029034,0.07845721450990308
IDN,Cattle,8811543.323956037,174270.13094831764,0.019777481031560906
JPN,Cattle,434018.95331820904,383390.05102674617,0.8833486374168933
MEX,Cattle,10643841.282140194,717442.5574973525,0.06740447724461876
ZAF,Cattle,4412763.990723763,371892.5956398709,0.0842765659848658
ESP,Cattle,1879766.5728227526,121639.4061465185,0.06470984637409452
USA,Cattle,19904126.009104278,11595354.177843815,0.5825603280716783
URY,Cattle,4439592.946733551,94641.09984611807,0.021317517389910858
