Country,Species,Production_system,Variable,Unit,Value,iso3c
Afghanistan,Pigs,All systems,EMSS: Total GHG emissions,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Total CO2,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Total CH4,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Total N2O,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - N2O fertilizer and crop residues,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - N2O manure applied and deposited,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - CO2 feed production,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - CO2 LUC soy,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - CO2 LUC palm kernel cake,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - CO2 LUC pasture expansion,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Feed - CH4 rice,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Enteric - CH4 from enteric fermentation,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Manure - CH4 from manure management,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Manure - N2O from manure management,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Energy - CO2 direct energy use,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,EMSS: Energy - CO2 indirect energy use,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,All systems,PROD: Meat - carcass weight,kg CW/year,0,AFG
Afghanistan,Pigs,All systems,PROD: Meat - protein amount,kg protein/year,0,AFG
Afghanistan,Pigs,All systems,HERD: total number of animals,heads/year,0,AFG
Afghanistan,Pigs,All systems,HERD: adult females,heads/year,0,AFG
Afghanistan,Pigs,All systems,HERD: adult males,heads/year,0,AFG
Afghanistan,Pigs,All systems,HERD: replacement females,heads/year,0,AFG
Afghanistan,Pigs,All systems,HERD: replacement males,heads/year,0,AFG
Afghanistan,Pigs,All systems,HERD: fattening animals,heads/year,0,AFG
Afghanistan,Pigs,All systems,INTAKE: Total intake,kg DM/year,0,AFG
Afghanistan,Pigs,All systems,INTAKE: Total intake - Swill & Roughages,kg DM/year,0,AFG
Afghanistan,Pigs,All systems,INTAKE: Total intake - Grains & Food crops,kg DM/year,0,AFG
Afghanistan,Pigs,All systems,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0,AFG
Afghanistan,Pigs,All systems,INTAKE: Total intake - Additives,kg DM/year,0,AFG
Afghanistan,Pigs,All systems,EI: Emission intensity of meat,kg CO2-eq/kg protein,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Total GHG emissions,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Total CO2,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Total CH4,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Total N2O,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - N2O fertilizer and crop residues,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - N2O manure applied and deposited,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - CO2 feed production,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - CO2 LUC soy,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - CO2 LUC palm kernel cake,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - CO2 LUC pasture expansion,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Feed - CH4 rice,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Enteric - CH4 from enteric fermentation,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Manure - CH4 from manure management,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Manure - N2O from manure management,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Energy - CO2 direct energy use,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,EMSS: Energy - CO2 indirect energy use,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Backyard,PROD: Meat - carcass weight,kg CW/year,0,AFG
Afghanistan,Pigs,Backyard,PROD: Meat - protein amount,kg protein/year,0,AFG
Afghanistan,Pigs,Backyard,HERD: total number of animals,heads/year,0,AFG
Afghanistan,Pigs,Backyard,HERD: adult females,heads/year,0,AFG
Afghanistan,Pigs,Backyard,HERD: adult males,heads/year,0,AFG
Afghanistan,Pigs,Backyard,HERD: replacement females,heads/year,0,AFG
Afghanistan,Pigs,Backyard,HERD: replacement males,heads/year,0,AFG
Afghanistan,Pigs,Backyard,HERD: fattening animals,heads/year,0,AFG
Afghanistan,Pigs,Backyard,INTAKE: Total intake,kg DM/year,0,AFG
Afghanistan,Pigs,Backyard,INTAKE: Total intake - Swill & Roughages,kg DM/year,0,AFG
Afghanistan,Pigs,Backyard,INTAKE: Total intake - Grains & Food crops,kg DM/year,0,AFG
Afghanistan,Pigs,Backyard,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0,AFG
Afghanistan,Pigs,Backyard,INTAKE: Total intake - Additives,kg DM/year,0,AFG
Afghanistan,Pigs,Backyard,EI: Emission intensity of meat,kg CO2-eq/kg protein,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Total GHG emissions,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Total CO2,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Total CH4,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Total N2O,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - N2O fertilizer and crop residues,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - N2O manure applied and deposited,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - CO2 feed production,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - CO2 LUC soy,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - CO2 LUC palm kernel cake,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - CO2 LUC pasture expansion,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Feed - CH4 rice,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Enteric - CH4 from enteric fermentation,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Manure - CH4 from manure management,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Manure - N2O from manure management,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Energy - CO2 direct energy use,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,EMSS: Energy - CO2 indirect energy use,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Intermediate,PROD: Meat - carcass weight,kg CW/year,0,AFG
Afghanistan,Pigs,Intermediate,PROD: Meat - protein amount,kg protein/year,0,AFG
Afghanistan,Pigs,Intermediate,HERD: total number of animals,heads/year,0,AFG
Afghanistan,Pigs,Intermediate,HERD: adult females,heads/year,0,AFG
Afghanistan,Pigs,Intermediate,HERD: adult males,heads/year,0,AFG
Afghanistan,Pigs,Intermediate,HERD: replacement females,heads/year,0,AFG
Afghanistan,Pigs,Intermediate,HERD: replacement males,heads/year,0,AFG
Afghanistan,Pigs,Intermediate,HERD: fattening animals,heads/year,0,AFG
Afghanistan,Pigs,Intermediate,INTAKE: Total intake,kg DM/year,0,AFG
Afghanistan,Pigs,Intermediate,INTAKE: Total intake - Swill & Roughages,kg DM/year,0,AFG
Afghanistan,Pigs,Intermediate,INTAKE: Total intake - Grains & Food crops,kg DM/year,0,AFG
Afghanistan,Pigs,Intermediate,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0,AFG
Afghanistan,Pigs,Intermediate,INTAKE: Total intake - Additives,kg DM/year,0,AFG
Afghanistan,Pigs,Intermediate,EI: Emission intensity of meat,kg CO2-eq/kg protein,0,AFG
Afghanistan,Pigs,Industrial,EMSS: Total GHG emissions,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Industrial,EMSS: Total CO2,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Industrial,EMSS: Total CH4,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Industrial,EMSS: Total N2O,kg CO2-eq/year,0,AFG
Afghanistan,Pigs,Industrial,EMSS: Feed - N2O fertilizer and crop residues,kg CO2-eq/year,0,AFG
