iso3c,animal,product,fao_product_tonnes
BRN,pigs,meat,53
BRN,sheep,meat,27
BRN,buffaloes,milk,210
BRN,cows,milk,55
BGR,chickens,eggs,79391
BGR,buffaloes,meat,260
BGR,cows,meat,17113
BGR,chickens,meat,87029
BGR,goats,meat,1633
BGR,pigs,meat,75133
BGR,sheep,meat,8878
BGR,buffaloes,milk,10375
BGR,cows,milk,968177
BGR,goats,milk,43543
BGR,sheep,milk,69375
BFA,chickens,eggs,48000
BFA,cows,meat,105000
BFA,chickens,meat,48073
BFA,goats,meat,26900
BFA,pigs,meat,43859
BFA,sheep,meat,14419
BFA,cows,milk,212236
BFA,goats,milk,180332
BFA,sheep,milk,74489
BDI,chickens,eggs,2800
BDI,cows,meat,10287
BDI,chickens,meat,6300
BDI,goats,meat,3780
BDI,pigs,meat,8850
BDI,sheep,meat,1080
BDI,cows,milk,66000
BDI,goats,milk,56435
BDI,sheep,milk,1227
CPV,chickens,eggs,2690
CPV,cows,meat,691
CPV,chickens,meat,988
CPV,goats,meat,944
CPV,pigs,meat,2938
CPV,sheep,meat,57
CPV,cows,milk,4649
CPV,goats,milk,5433
KHM,chickens,eggs,19500
KHM,buffaloes,meat,9287
KHM,cows,meat,58255
KHM,chickens,meat,17550
KHM,pigs,meat,96269
KHM,cows,milk,24495
CMR,chickens,eggs,15650
CMR,cows,meat,86561
CMR,chickens,meat,76471
CMR,goats,meat,16350
CMR,pigs,meat,32618
CMR,sheep,meat,17404
CMR,cows,milk,172348
CMR,goats,milk,54037
CMR,sheep,milk,18377
CAN,chickens,eggs,553000
CAN,cows,meat,1167695
CAN,chickens,meat,1237223
CAN,pigs,meat,2141784
CAN,sheep,meat,16222
CAN,cows,milk,8100000
CYM,chickens,eggs,7
CAF,chickens,eggs,2750
CAF,cows,meat,97745
CAF,chickens,meat,6645
CAF,goats,meat,25637
CAF,pigs,meat,18466
CAF,sheep,meat,2500
CAF,cows,milk,80563
TCD,chickens,eggs,7500
TCD,cows,meat,420468
TCD,chickens,meat,6383
TCD,goats,meat,113463
TCD,pigs,meat,2500
TCD,sheep,meat,152208
TCD,cows,milk,280792
TCD,goats,milk,214957
TCD,sheep,milk,120489
