"country","aq_group","year","total_tonnes"
"Australia","bivalves",2017,16616.71
"Brazil","bivalves",2017,20900
"Bulgaria","bivalves",2017,3291.58
"Cambodia","bivalves",2017,8300
"Canada","bivalves",2017,39611
"Chile","bivalves",2017,347147.98
"China","bivalves",2017,14646278.16
"China, Hong Kong SAR","bivalves",2017,625
"Croatia","bivalves",2017,919.76
"Cuba","bivalves",2017,1089
"Denmark","bivalves",2017,2414
"France","bivalves",2017,137048
"French Polynesia","bivalves",2017,1200
"Germany","bivalves",2017,16856
"Greece","bivalves",2017,19155.8
"Guernsey","bivalves",2017,656.1
"India","bivalves",2017,13000
"Indonesia","bivalves",2017,62231
"Ireland","bivalves",2017,26161.9
"Italy","bivalves",2017,100200
"Japan","bivalves",2017,308990
"Jersey","bivalves",2017,656.1
"Korea, Dem. People's Rep","bivalves",2017,62000
"Korea, Republic of","bivalves",2017,453634
"Malaysia","bivalves",2017,16110.88
"Mexico","bivalves",2017,15400.28
"Netherlands","bivalves",2017,46250
"New Zealand","bivalves",2017,101550
"Norway","bivalves",2017,2382.87
"Peru","bivalves",2017,11926.98
"Philippines","bivalves",2017,42153
"Portugal","bivalves",2017,6379.33
"Russian Federation","bivalves",2017,8087
"Slovenia","bivalves",2017,641.4
"South Africa","bivalves",2017,3359.52
"Spain","bivalves",2017,242482.57
"Sweden","bivalves",2017,2014
"Taiwan Province of China","bivalves",2017,75240.97
"Thailand","bivalves",2017,97728
"United Kingdom","bivalves",2017,18472.08
"United States of America","bivalves",2017,171497
"Viet Nam","bivalves",2017,284965.52
"Bangladesh","crustaceans",2017,14421
"China","crustaceans",2017,286031
"Indonesia","crustaceans",2017,13189
"Myanmar","crustaceans",2017,3037.63
"Philippines","crustaceans",2017,18097.5
"Viet Nam","crustaceans",2017,66942.96
"Albania","marine_fish_general",2017,3400
"Australia","marine_fish_general",2017,6364.27
"Bangladesh","marine_fish_general",2017,116110
"Cambodia","marine_fish_general",2017,850
"China","marine_fish_general",2017,1419359
"China, Hong Kong SAR","marine_fish_general",2017,750
