"species","total"
"Peled",0.86
"Jaguar guapote",5.03
"Unicell. chlorella green alga",13.73
"Banded jewelfish",28.9
"Knifefishes",48.11
"Sampa",60
"Amazon sailfin catfish",74.58
"Natantian decapods nei",107.49
"Gouramis nei",132.53
"Sawtooth caridina",147
"Yabby crayfish",371.75
"[Prochilodus mariae]",562.15
"[Labeo dussumieri]",574
"Smooth marron crayfish",625.82
"American yellow perch",674
"Algerian barb",781
"Pacific fat sleeper",1124.9
"Black bullhead",1442.07
"Clown knifefish",1549.5
"Bronze featherback",5280.5
"Spotted snakehead",7355
"Great snakehead",7590
"Wallago",8891
"Chinook(=Spring=King) salmon",10927
"Longfin tilapia",14146.9
"Freshwater mussel shells",15959.23
"East Asian bullfrog",19115
"Kafue pike",25045
"Parachanna snakeheads nei",30868.6
"Citharinus nei",38042
"Grass-eaters nei",42477
"Upsidedown catfishes",44160
"Characins nei",44264
"Kissing gourami",44312.68
"Isok barb",44400
"Olive barb",46030
"Obscure pufferfish",47566
"Asian barbs nei",48529
"Asian redtail catfish",51188.74
"Manipur osteobrama",52165
"Small scale mud carp",53500
"Aba",56698
"Ayu sweetfish",58744.03
"Hoven's carp",71797.53
"Reticulate knifefish",78634
"Tambatinga, hybrid",90504.16
"Pond smelt",118102
"Pacu",148894.06
"Pangas catfish",161969.57
"Clearhead icefish",169137
"Chinese longsnout catfish",184036
"Indonesian snakehead",244945
"Nilem carp",253237.69
"Asian clam",278323.91
"Tambacu, hybrid",294842
"Orangefin labeo",297301
"Snakeheads(=Murrels) nei",301609.22
"Freshwater prawns, shrimps nei",370259
"Swan mussel",745040
"Chinese mystery snail",905397
"Africa-bighead catfish, hybrid",1014580
"Silver barb",1506132.63
"Oriental river prawn",2067639
"Japanese eel",2145236.87
"Mandarin fish",2521942
"Pond loach",2753526.22
"Chinese softshell turtle",2769020.93
"Yellow catfish",2935347
"Blue-Nile tilapia, hybrid",3374626
"Amur catfish",3502530.89
"Snakehead",4022444
"Black carp",4883776.27
"Chinese mitten crab",6227076.48
"Wuchang bream",6485993
"Catla",21892609.15
"[Anostomoides laticeps]",NA
"[Brycon amazonicus]",NA
"[Brycon cephalus]",NA
"[Brycon hilarii]",NA
"[Brycon orbignyanus]",NA
"[Brycon spp]",NA
"[Carassius spp]",NA
"[Cichla spp]",NA
"[Haematococcus pluvialis]",NA
"[Hoplias spp]",NA
"[Hypsibarbus spp]",NA
"[Leporinus obtusidens]",NA
"[Leporinus spp]",NA
"[Oreochromis tanganicae]",NA
"[Pimelodus spp]",NA
"[Spirulina maxima]",NA
"[Spirulina platensis]",NA
"[Wallago spp]",NA
"Adriatic sturgeon",NA
"African bonytongue",NA
"American bull frog",NA
"Aquatic invertebrates nei",NA
"Aquatic plants nei",NA
"Arapaima",NA
"Arctic char",NA
"Asian swamp eel",NA
"Asp",NA
"Atipa",NA
"Atlantic salmon",NA
"Bagrid catsfih nei",NA
"Banded astyanax",NA
"Barbel",NA
"Barcoo grunter",NA
"Barramundi(=Giant seaperch)",NA
"Barred sorubim",NA
"Bayad",NA
"Beluga",NA
"Bighead carp",NA
"Black prochilodus",NA
"Blackbelt cichlid",NA
"Bleak",NA
"Blue tilapia",NA
"Bluegill",NA
"Brook trout",NA
"Buffalofishes nei",NA
"Burbot",NA
"Cachama",NA
"Catfishes nei",NA
"Channel catfish",NA
"Chars nei",NA
"Chub",NA
"Chubs nei",NA
"Climbing perch",NA
"Coho(=Silver) salmon",NA
"Common carp",NA
"Common nase",NA
"Crucian carp",NA
"Cyprinids nei",NA
"Danube bleak",NA
"Danube crayfish",NA
"Danube sturgeon(=Osetr)",NA
"Diadromous fishes nei",NA
"Dorado",NA
"Euro-American crayfishes nei",NA
"European eel",NA
"European green frog",NA
"European perch",NA
"European seabass",NA
"European whitefish",NA
"Flathead grey mullet",NA
"Freshwater bream",NA
"Freshwater crustaceans nei",NA
"Freshwater drum",NA
"Freshwater fishes nei",NA
"Freshwater molluscs nei",NA
"Freshwater siluroids nei",NA
"Frogs",NA
"Giant gourami",NA
"Giant river prawn",NA
"Giant tiger prawn",NA
"Gilthead seabream",NA
"Golden perch",NA
"Goldfish",NA
"Grass carp(=White amur)",NA
"Grayling",NA
"Green terror",NA
"Groupers nei",NA
"Hetero-Clarias catfish, hybrid",NA
"Huchen",NA
"Japanese seabass",NA
"Kelee shad",NA
"Kutum",NA
"Largemouth black bass",NA
"Magdalena River prochilodus",NA
"Mango tilapia",NA
"Marble goby",NA
"Marine fishes nei",NA
"Masu(=Cherry) salmon",NA
"Milkfish",NA
"Mississippi paddlefish",NA
"Monkey river prawn",NA
"Monsoon river prawn",NA
"Mozambique tilapia",NA
"Mrigal carp",NA
"Mud carp",NA
"Mullets nei",NA
"Murray cod",NA
"Netted prochilod",NA
"Nile perch",NA
"Nile tilapia",NA
"Ningu",NA
"Noble crayfish",NA
"North African catfish",NA
"Northern pike",NA
"Orfe(=Ide)",NA
"Pangas catfishes nei",NA
"Peacock cichlid",NA
"Penguin wing oyster",NA
"Philippine catfish",NA
"Pike-perch",NA
"Pirapatinga",NA
"Porgies, seabreams nei",NA
"Prochilods nei",NA
"Rainbow trout",NA
"Red claw crayfish",NA
"Red swamp crawfish",NA
"Redbelly tilapia",NA
"Redbreast tilapia",NA
"Ripon barbel",NA
"River and lake turtles nei",NA
"River eels nei",NA
"River prawns nei",NA
"Roach",NA
"Roaches nei",NA
"Roho labeo",NA
"Rudd",NA
"Salmonids nei",NA
"Salmonoids nei",NA
"Sea trout",NA
"Sevan trout",NA
"Siberian sturgeon",NA
"Signal crayfish",NA
"Silver carp",NA
"Silver perch",NA
"Silver, bighead carps nei",NA
"Snakeskin gourami",NA
"Sorubims nei",NA
"South American catfish",NA
"Speckled longfin eel",NA
"Spirulina nei",NA
"Spotted sorubim",NA
"Starry sturgeon",NA
"Sterlet sturgeon",NA
"Stinging catfish",NA
"Streaked prochilod",NA
"Striped bass",NA
"Striped bass, hybrid",NA
"Striped catfish",NA
"Striped snakehead",NA
"Sturgeons nei",NA
"Suckermouth catfish",NA
"Tench",NA
"Thai mahseer",NA
"Three spotted tilapia",NA
"Tilapia shiranus",NA
"Tilapias nei",NA
"Tinfoil barb",NA
"Torpedo-shaped catfishes nei",NA
"Trahira",NA
"Trouts nei",NA
"Vatani rohtee",NA
"Waigieu seaperch",NA
"Wels(=Som) catfish",NA
"White bream",NA
"White crappie",NA
"Whitefishes nei",NA
"Whiteleg shrimp",NA
