iso3c,product,tonnes,million_kcal,tonnes_protein
ABW,bana,0,0,0
AFG,bana,493.7077705769984,303.2552221076094,4.026680759365879
AGO,bana,4386480.854715816,2694353.43161195,35776.139472887364
AIA,bana,0,0,0
ALA,bana,0,0,0
ALB,bana,0,0,0
AND,bana,8.976504919581789,5.513731311047444,0.07321237744301598
ARE,bana,1303.742120512664,800.8109855452486,10.633321216937311
ARG,bana,173489.7482873057,106564.39960175763,1414.982451176089
ARM,bana,0,0,0
ASM,bana,857.8546291310382,526.9289073354805,6.9966626723696095
ATG,bana,268.3123930795557,164.80829188179626,2.188355977160707
AUS,bana,349077.60563488706,214417.54239736105,2847.0770806235255
AUT,bana,0,0,0
AZE,bana,0,0,0
BDI,bana,810396.0905937285,497777.9591374922,6609.59081451234
BEL,bana,0,0,0
BEN,bana,18789.940534962272,11541.53920579234,153.2507619504067
BES,bana,0,0,0
BFA,bana,0,0,0
BGD,bana,794674.8835864764,488121.3598151601,6481.3686443485485
BGR,bana,7.181204221020837,4.410985224114753,0.058569904281771584
BHR,bana,960.642383085466,590.0652908664968,7.8349996316259105
BHS,bana,9467.61667071039,5815.391953321927,77.21788506680089
BIH,bana,0,0,0
BLM,bana,0,0,0
BLR,bana,0,0,0
BLZ,bana,87510.28521850887,53752.34614926991,713.7339185975676
BMU,bana,330.4045123107583,202.94777546048107,2.6947793245678793
BOL,bana,271518.97129831975,166777.9015332714,2214.5088302985237
BRA,bana,6551245.153700929,4024038.961033793,53431.95789579398
BRB,bana,991.5800493211298,609.068453070775,8.08732724888265
BRN,bana,1672.838102279048,1027.5246218300847,13.643668180690772
BTN,bana,0,0,0
BWA,bana,0,0,0
CAF,bana,77627.22906481224,47681.7745123509,633.1277089539294
CAN,bana,0,0,0
CCK,bana,0,0,0
CHE,bana,0,0,0
CHL,bana,0,0,0
CHN,bana,9567744.178240191,5876894.30622098,78034.52505523436
CIV,bana,347534.4930484569,213469.70041871845,2834.491453798062
CMR,bana,1141576.6176397682,701202.3941422043,9310.699315548092
COD,bana,311132.5154769995,191110.1378364097,2537.596911266256
COG,bana,80200.60824613106,49262.44778043799,654.116190508228
COK,bana,0,0,0
COL,bana,3669347.29938243,2253861.082566518,29927.197930440583
COM,bana,0,0,0
CPV,bana,10671.50796460897,6554.870534544081,87.03682290495564
CRI,bana,2477999.5941522247,1522087.2793412933,20210.56560610289
CUB,bana,286830.73171472637,176183.00224803056,2339.3915539159934
CUW,bana,0,0,0
CXR,bana,0,0,0
CYM,bana,216.4810838612014,132.97141159374573,1.7656198000120824
CYP,bana,5999.465467136124,3685.1136262996088,48.93164256816047
CZE,bana,0,0,0
DEU,bana,0,0,0
DJI,bana,0,0,0
DMA,bana,28113.61743004991,17268.517544364833,229.29467415400921
DNK,bana,0,0,0
DOM,bana,906405.0008874184,556750.5035262415,7392.6395223653035
DZA,bana,366.3560823696845,225.03067958531415,2.9880003432609503
ECU,bana,5999612.660510849,3685204.0384061327,48932.84307737915
EGY,bana,1401208.7700255786,860678.9321477088,11428.259246401245
ERI,bana,0.8976504681785616,0.5513731164983445,0.007321237550355031
ESH,bana,0,0,0
ESP,bana,383217.142164,235387.42245553274,3125.519153177472
EST,bana,0,0,0
ETH,bana,489458.081102015,300644.8914577225,3992.0202904366656
FIN,bana,0,0,0
FJI,bana,2721.196234716588,1671.4684632023002,22.194077496463574
FLK,bana,0,0,0
FRA,bana,0,0,0
FRO,bana,0,0,0
FSM,bana,2029.113031366246,1246.3630505334484,16.549446634052433
GAB,bana,20144.327692137525,12373.458415183877,164.29714410508922
GBR,bana,0,0,0
GEO,bana,0,0,0
GGY,bana,0,0,0
GHA,bana,87825.15278984145,53945.7505090339,716.3019786257729
GIB,bana,0,0,0
GIN,bana,275464.56579261814,169201.444782989,2246.689100452836
GLP,bana,70501.24080618785,43304.7051589968,575.0081460818784
GMB,bana,121.58268195079734,74.68098623673083,0.9916283989437897
GNB,bana,5328.186191162236,3272.786824771278,43.456688545123576
GNQ,bana,34691.0552688623,21308.645108848774,282.94025959925654
GRC,bana,2075.3249154617174,1274.7482533002694,16.92635077782114
GRD,bana,9899.72432238375,6080.809898292607,80.74215523361313
GRL,bana,0,0,0
GTM,bana,4115622.517259008,2527981.3180250693,33567.01877244447
GUF,bana,8052.346839131016,4946.0761501369625,65.67494379716807
GUM,bana,291.28758768422006,178.92058291310872,2.375741672851029
GUY,bana,15484.89223558444,9511.445259867933,126.29478679869688
HKG,bana,0,0,0
HND,bana,628494.8270667976,386046.86767007306,5126.004041931857
HRV,bana,0,0,0
HTI,bana,370939.0120675969,227845.69981847703,3025.3787195715827
HUN,bana,0,0,0
IDN,bana,7122823.208047501,4375125.25165492,58093.74871837568
IMN,bana,0,0,0
IND,bana,28578560.324317165,17554104.219461292,233086.74857155752
IOT,bana,0,0,0
IRL,bana,0,0,0
IRN,bana,131671.52622498033,80877.96123593087,1073.9130165742013
IRQ,bana,499.592374524321,306.86978315649674,4.074675591335972
ISL,bana,0,0,0
ISR,bana,131469.28625370184,80753.73728997713,1072.2635472936793
ITA,bana,323.8021268386144,198.89232405355858,2.640930266215956
JAM,bana,59675.02385324612,36654.80612497404,486.7095166108798
JEY,bana,0,0,0
JOR,bana,29929.721999003836,18384.042207436494,244.10682368987057
JPN,bana,54.45284479605118,33.44713315676345,0.4441174222895878
KAZ,bana,0,0,0
KEN,bana,1346465.4505754174,827053.3777446162,10981.772712725337
KGZ,bana,0,0,0
KHM,bana,139024.08145983767,85394.1971627004,1133.8804597881774
KIR,bana,6249.388948797521,3838.6267072311834,50.97001857699569
KNA,bana,0,0,0
KOR,bana,0,0,0
KWT,bana,0,0,0
LAO,bana,995239.402650598,611316.1754540001,8117.172935990774
LBN,bana,70677.60750515922,43413.036697725554,576.4465929438974
LBR,bana,133196.8079580797,81814.85078540494,1086.3532149533062
