iso3c,global_prop_product,global_prop_kcal,global_prop_protein
ABW,2.7315489576627307e-7,1.5405118789701236e-7,5.701641529430358e-7
AFG,0.0010460530473798439,0.001241958816005696,0.001180092377295368
AGO,0.0021087503968551737,0.0014804150370756662,0.0010147295352075083
AIA,2.1537390805270458e-7,9.625921037666201e-8,4.352501946587859e-7
ALA,6.638703107711658e-6,8.084666999497849e-6,7.107368800973117e-6
ALB,3.793757841541843e-4,2.5665070162993425e-4,2.697449374299401e-4
AND,1.0808568969421231e-8,3.2947246128987817e-9,1.3907437712407556e-9
ARE,1.108938979252164e-4,6.95445242883402e-5,1.163762583430092e-4
ARG,0.01706658409454879,0.02454806875904864,0.04133199116388475
ARM,3.509154999109595e-4,2.0163669246981477e-4,1.9471812671579788e-4
ASM,2.3702451423145692e-6,1.7466770599569974e-6,1.8135469409570823e-6
ATG,2.0082621537193624e-6,7.745957689295603e-7,1.2700934053070836e-6
AUS,0.011341973290504691,0.016133445848623744,0.015536870718205148
AUT,0.001523535108320767,0.0015151272403817555,0.0014720592159850243
AZE,9.988062285799168e-4,0.001071219697439881,0.001034436596000989
BDI,5.34920702496061e-4,4.056880728250834e-4,2.950251720551376e-4
BEL,0.0021540241504083625,0.0016036243876506884,0.001449032867988213
BEN,0.001251190087525901,0.0013167621242535204,9.998888510267948e-4
BES,4.1204073109540495e-7,2.9742426267874426e-7,8.106949436114708e-7
BFA,7.157740881552538e-4,0.0011867450703101138,0.001149803687992256
BGD,0.008413424098638007,0.011818915551340754,0.007438772980151909
BGR,0.0013640056696439555,0.002449423392812634,0.0023299564260422317
BHR,1.7109517216630315e-5,1.0066293270916242e-5,2.888988816613584e-5
BHS,1.5804110055675856e-5,5.056726083653195e-6,6.057065312862471e-6
BIH,3.498302255411436e-4,3.016139130398265e-4,3.00484064191502e-4
BLM,8.68597169580357e-9,3.9097154408014805e-9,1.7735198094264043e-8
BLR,0.0030244560255861153,0.0031127386226033125,0.0029680468808634458
BLZ,1.767339049924302e-4,5.5990550567170614e-5,3.2091405173039435e-5
BMU,8.442934088804576e-7,3.4846210358430015e-7,7.103001364721909e-7
BOL,0.0019302939712053755,0.001622228525362839,0.002587163132754086
BRA,0.10599290141701626,0.06325139387685474,0.09211140237671503
BRB,2.09068603512189e-5,7.040270165381925e-6,6.684714044612995e-6
BRN,1.513377412193775e-5,1.3146932427753585e-5,2.8193866056331406e-5
BTN,6.931997051049202e-5,6.521462247238327e-5,5.190361633489956e-5
