GENuS_foodID,GENuS_FoodName,FCT_FoodName,general,Calories,Protein,Region
212,Freshwater Fish,"Catfish,  gunther's walking, raw",catfish,209,17.8,ASEAN
212,Freshwater Fish,"Catfish,  striped,  , w/ skin, raw",catfish,215,15,ASEAN
212,Freshwater Fish,"Catfish,  truncated estuarine, raw",catfish,92,18.7,ASEAN
212,Freshwater Fish,"Carp, common, raw",carp,105,17,ASEAN
212,Freshwater Fish,"Gourami, giant, raw",gourami,97,17.3,ASEAN
212,Freshwater Fish,"Gourami, snake skin, raw",gourami,83,17.6,ASEAN
212,Freshwater Fish,"Sheat-fish, raw",sheat-fish,106,16.3,ASEAN
212,Freshwater Fish,"Silver- barb, common, raw",silver-barb,124,21.1,ASEAN
212,Freshwater Fish,"Tilapia,  all species,  raw",tilapia,94,18.4,ASEAN
213,Demersal Fish,"Giant seaperch, raw",seaperch,111,20.5,ASEAN
213,Demersal Fish,"Eel, silver pike (daggertooth pike conger),  sea water , raw",eel,88,18.8,ASEAN
213,Demersal Fish,"Eel, swamp,  raw",eel,86,19.7,ASEAN
213,Demersal Fish,"Featherback, grey (knifefish), raw",knifefish,94,19.6,ASEAN
213,Demersal Fish,"Featherback, spotted(knifefish), raw",knifefish,78,16.7,ASEAN
213,Demersal Fish,"Flatfish/Turbot, Indian(halibut), raw",turbot,87,21.2,ASEAN
213,Demersal Fish,"Goby, all species,  raw",goby,80,18.5,ASEAN
213,Demersal Fish,"Grouper, raw",grouper,82,18.9,ASEAN
213,Demersal Fish,"Mullet, bluespot gray, raw",mullet,117,24.7,ASEAN
213,Demersal Fish,"Perch, climbing",snapper,145,17.9,ASEAN
213,Demersal Fish,"Snapper, red, Malabar, raw",snapper,72,16.9,ASEAN
213,Demersal Fish,"Snapper, russell,  raw",snapper,82,19.5,ASEAN
213,Demersal Fish,"ray, blue spotted,  raw",ray,88,21.3,ASEAN
213,Demersal Fish,"Threadfin, all species,  raw",threadfin,108,20.2,ASEAN
213,Demersal Fish,"Whiting,  common/silver, raw",whiting,89,20.8,ASEAN
214,Pelagic Fish,"Anchovy, fresh, whole",anchovy,81,18.5,ASEAN
214,Pelagic Fish,"Cobia/Black kingfish,  raw",kingfish,92,18.7,ASEAN
214,Pelagic Fish,"Mackerel, Indian, raw",mackerel,119,21.5,ASEAN
214,Pelagic Fish,"Mackerel, short-bodied, raw",mackerel,122,21.4,ASEAN
214,Pelagic Fish,"Mackerel, Spanish, sliced, raw",mackerel,103,19.4,ASEAN
214,Pelagic Fish,"Pomfret, black, raw",pomfret,102,19.8,ASEAN
214,Pelagic Fish,"Pomfret, silver/white, raw",pomfret,126,19.4,ASEAN
214,Pelagic Fish,"Scad, big-eyed/caranx, raw",scad,102,21.2,ASEAN
214,Pelagic Fish,"Scad, hardtail  (torpedo), raw",scad,93,21.3,ASEAN
214,Pelagic Fish,"Slipmouth, ponyfish, raw",ponyfish,84,18.8,ASEAN
214,Pelagic Fish,"Trevally, black-banded, raw",trevally,134,18.6,ASEAN
214,Pelagic Fish,"Tuna, Skipjackkk or Yellow  Fin, canned  in water, drained",tuna,113,26.1,ASEAN
215,Marine Fish; Other,"Giant seaperch, raw",seaperch,111,20.5,ASEAN
215,Marine Fish; Other,"Eel, silver pike (daggertooth pike conger),  sea water , raw",eel,88,18.8,ASEAN
215,Marine Fish; Other,"Eel, swamp,  raw",eel,86,19.7,ASEAN
215,Marine Fish; Other,"Featherback, grey (knifefish), raw",knifefish,94,19.6,ASEAN
215,Marine Fish; Other,"Featherback, spotted(knifefish), raw",knifefish,78,16.7,ASEAN
215,Marine Fish; Other,"Flatfish/Turbot, Indian(halibut), raw",turbot,87,21.2,ASEAN
215,Marine Fish; Other,"Goby, all species,  raw",goby,80,18.5,ASEAN
215,Marine Fish; Other,"Grouper, raw",grouper,82,18.9,ASEAN
215,Marine Fish; Other,"Mullet, bluespot gray, raw",mullet,117,24.7,ASEAN
215,Marine Fish; Other,"Perch, climbing",perch,145,17.9,ASEAN
215,Marine Fish; Other,"Snapper, red, Malabar, raw",snapper,72,16.9,ASEAN
215,Marine Fish; Other,"Snapper, russell,  raw",snapper,82,19.5,ASEAN
215,Marine Fish; Other,"ray, blue spotted,  raw",ray,88,21.3,ASEAN
215,Marine Fish; Other,"Threadfin, all species,  raw",threadfin,108,20.2,ASEAN
215,Marine Fish; Other,"Whiting,  common/silver, raw",whiting,89,20.8,ASEAN
215,Marine Fish; Other,"Anchovy, fresh, whole",anchovy,81,18.5,ASEAN
215,Marine Fish; Other,"Cobia/Black kingfish,  raw",kingfish,92,18.7,ASEAN
215,Marine Fish; Other,"Mackerel, Indian, raw",mackerel,119,21.5,ASEAN
215,Marine Fish; Other,"Mackerel, short-bodied, raw",mackerel,122,21.4,ASEAN
215,Marine Fish; Other,"Mackerel, Spanish, sliced, raw",mackerel,103,19.4,ASEAN
215,Marine Fish; Other,"Pomfret, black, raw",pomfret,102,19.8,ASEAN
215,Marine Fish; Other,"Pomfret, silver/white, raw",pomfret,126,19.4,ASEAN
215,Marine Fish; Other,"Scad, big-eyed/caranx, raw",scad,102,21.2,ASEAN
215,Marine Fish; Other,"Scad, hardtail  (torpedo), raw",scad,93,21.3,ASEAN
215,Marine Fish; Other,"Slipmouth, ponyfish, raw",ponyfish,84,18.8,ASEAN
215,Marine Fish; Other,"Trevally, black-banded, raw",trevally,134,18.6,ASEAN
215,Marine Fish; Other,"Tuna, Skipjackkk or Yellow  Fin, canned  in water, drained",tuna,113,26.1,ASEAN
216,Crustaceans,"Crab, shore, raw",crab,104,13.1,ASEAN
216,Crustaceans,"Crabmeat, mud, fresh",crab,98,17.9,ASEAN
216,Crustaceans,"Prawn,  fresh water, giant, raw",prawn,108,17.9,ASEAN
216,Crustaceans,"Prawn,  fresh water, raw",prawn,98,17.5,ASEAN
216,Crustaceans,"Prawn,  green tiger, raw",prawn,79.6,NA,ASEAN
216,Crustaceans,Radiated scallop,scallop,106,22.3,ASEAN
217,Cephalopods,"Cuttlefish, raw",cuttlefish,72,15.9,ASEAN
217,Cephalopods,"Squid, splendid, raw",squid,68,15.4,ASEAN
218,Molluscs; Other,"Clam, undulated surf",clam,64,10.3,ASEAN
218,Molluscs; Other,"Cockle/ark shell, fresh",cockle,71,11.7,ASEAN
218,Molluscs; Other,"Mussel, green, raw",mussel,53,9.3,ASEAN
218,Molluscs; Other,"Oyster, raw",oyster,58,7.5,ASEAN
218,Molluscs; Other,"Snail, fresh water, all species",snail,84,11.5,ASEAN
218,Molluscs; Other,"Snail, pond,  river",snail,74,12.1,ASEAN
218,Molluscs; Other,"Wedge  shell, bean clam(Donax), fermented",clam,149,10.6,ASEAN
219,Aquatic Animals; Others,"Sea cucumber/sea slug, cleaned, raw",sea cucumber,21,4.8,ASEAN
219,Aquatic Animals; Others,Sea horse,sea horse,194,28.5,ASEAN
212,Freshwater Fish,AIR,,89,15.9,India
212,Freshwater Fish,BACHA,,147,18,India
212,Freshwater Fish,BAM,,100,16,India
212,Freshwater Fish,BATA - small varieties,,89,14,India
212,Freshwater Fish,"BHAGON, FRESH",,154,14.8,India
212,Freshwater Fish,BHANGAN BATA,,144,19.4,India
212,Freshwater Fish,BOAL,,116,15.4,India
212,Freshwater Fish,CAT FISH,,86,21,India
212,Freshwater Fish,CHELA,,103,14.6,India
212,Freshwater Fish,CHITAL,,108,18.6,India
212,Freshwater Fish,KHORSULA,,117,16.3,India
212,Freshwater Fish,KHOYRA fresh,,120,18,India
212,Freshwater Fish,KOI,,156,15,India
212,Freshwater Fish,LATA,,97,19.4,India
212,Freshwater Fish,MAGUR,,86,15,India
212,Freshwater Fish,MAHASOLE,,126,25.2,India
212,Freshwater Fish,MRIGAL,,98,19,India
212,Freshwater Fish,PABDA,,114,19,India
212,Freshwater Fish,PANGAS,,161,14.2,India
212,Freshwater Fish,SARPUTI,,161,16,India
212,Freshwater Fish,SINGHALA,,167,21,India
212,Freshwater Fish,SINGHI,,124,23,India
212,Freshwater Fish,TENGRA fresh,,144,19,India
213,Demersal Fish,BHEKTI fresh,bass,79,15,India
213,Demersal Fish,GHOL,croaker,82,18.4,India
213,Demersal Fish,GOGGLER,,93,18.7,India
213,Demersal Fish,INDIAN WHITING,whiting,89,19.2,India
213,Demersal Fish,KATLA,carp,111,19,India
213,Demersal Fish,RAVAS,perch,112,22.2,India
213,Demersal Fish,RAY,ray,97,20.9,India
213,Demersal Fish,SHARK,shark,93,22,India
213,Demersal Fish,SILVER BELLY,silver belly,91,19,India
213,Demersal Fish,SOLE,sole,94,16.2,India
213,Demersal Fish,"SOLE, MALAHAR",sole,120,19.5,India
214,Pelagic Fish,ANCHOVY,anchovy,164,19,India
214,Pelagic Fish,BHOLA,jewfish,86,15.2,India
214,Pelagic Fish,BIG JAWED JUMPER,jumper,130,19,India
214,Pelagic Fish,HILSA,hilsa,273,22,India
214,Pelagic Fish,"HERRING, INDIAN",herring,119,20.3,India
214,Pelagic Fish,"HERRING, OX-EYED",herring,106,20.7,India
214,Pelagic Fish,HORSE MACKEREL,mackerel,99,21.2,India
214,Pelagic Fish,JEW FISH - kora,jewfish,83,19,India
214,Pelagic Fish,JEW FISH - pallikora,jewfish,100,20,India
214,Pelagic Fish,MULLET,mullet,155,19,India
214,Pelagic Fish,OIL sardines,sardines,97,20,India
214,Pelagic Fish,POMFRETS - black,pomfret,111,20,India
214,Pelagic Fish,"POMFRETS, WHITE",pomfret,87,17,India
214,Pelagic Fish,PUTI,barb,106,18.1,India
214,Pelagic Fish,RIBBON FISH fresh,ribbonfish,104,18,India
214,Pelagic Fish,ROHU,rohu,97,17,India
214,Pelagic Fish,sardines,sardines,101,21,India
