iso3c,product,tonnes,million_kcal,tonnes_protein,grouping,global_tonnes,global_kcal,global_protein,percent_tonnes,percent_kcal,percent_protein
ABW,chickens_eggs,0,0,0,livestock,8096533158.171552,10692449562.723593,368645858.3690638,0,0,0
ABW,chickens_meat,0,0,0,livestock,8096533158.171552,10692449562.723593,368645858.3690638,0,0,0
AFG,chickens_eggs,43180.98595317032,58193.51021155266,4580.3724692855785,livestock,8096533158.171552,10692449562.723593,368645858.3690638,5.333268586640597e-6,5.442486295603301e-6,1.2424858072595008e-5
AFG,chickens_meat,50698.98595317032,65804.12961875417,6276.107840038917,livestock,8096533158.171552,10692449562.723593,368645858.3690638,6.261814157087911e-6,6.154261400321487e-6,1.7024761563320464e-5
AFG,cows_meat,150879.96,314568.89933815016,21670.12355342784,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.8635131488064377e-5,2.941972253344189e-5,5.878303814207821e-5
AFG,cows_milk,1781535,1187913.6034490503,60177.15733786696,livestock,8096533158.171552,10692449562.723593,368645858.3690638,2.200367694661953e-4,1.1109835931238788e-4,1.632383925431805e-4
AFG,goats_meat,55705.09,78462.28555999439,8505.430443104588,livestock,8096533158.171552,10692449562.723593,368645858.3690638,6.8801163302565825e-6,7.338102003635581e-6,2.3072090056114274e-5
AFG,goats_milk,114579,85964.66008612138,4068.405979450793,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.415161251879261e-5,8.039753620705822e-6,1.1036082156056056e-5
AFG,sheep_meat,134382.59,296363.3588477589,18011.931339617062,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.6597547045721944e-5,2.7717068676288325e-5,4.88597143592068e-5
AFG,sheep_milk,206763,196944.2752827998,12107.879722688744,livestock,8096533158.171552,10692449562.723593,368645858.3690638,2.5537226361053216e-5,1.8419004375703963e-5,3.2844203855308576e-5
AGO,chickens_eggs,70223.69336340105,94638.02473773736,7448.895959024743,livestock,8096533158.171552,10692449562.723593,368645858.3690638,8.673303992157025e-6,8.850920846769096e-6,2.020610238774852e-5
AGO,chickens_meat,91844.69336340103,119208.69802923632,11369.6001852275,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.1343706197350079e-5,1.1148866995344642e-5,3.084152426268413e-5
AGO,cows_meat,121265.32,252825.47954207152,17416.722983926855,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.4977437581122125e-5,2.364523471062056e-5,4.724513401827069e-5
AGO,cows_milk,215953,143995.77129028214,7294.517176807856,livestock,8096533158.171552,10692449562.723593,368645858.3690638,2.6672280071137124e-5,1.3467051721458237e-5,1.978732979418168e-5
AGO,goats_meat,22639.74,31888.751007924548,3456.7888467637817,livestock,8096533158.171552,10692449562.723593,368645858.3690638,2.7962264289809634e-6,2.982361602068835e-6,9.37699086613113e-6
AGO,pigs_meat,101674.94,328446.4115357348,11253.171714748025,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.2557836547286043e-5,3.07176021368178e-5,3.0525696842312264e-5
AGO,sheep_meat,4853.36,10703.45549447558,650.518695066406,livestock,8096533158.171552,10692449562.723593,368645858.3690638,5.994368089633118e-7,1.0010293180891268e-6,1.764616854626778e-6
AIA,chickens_eggs,0,0,0,livestock,8096533158.171552,10692449562.723593,368645858.3690638,0,0,0
AIA,chickens_meat,0,0,0,livestock,8096533158.171552,10692449562.723593,368645858.3690638,0,0,0
ALA,chickens_eggs,2.27132050082353,3.060979499211243,0.24092765973844588,livestock,8096533158.171552,10692449562.723593,368645858.3690638,2.805300066647865e-10,2.862748597741851e-10,6.535477186813939e-10
ALA,chickens_meat,2.27132050082353,2.9480327038489618,0.2811703653328844,livestock,8096533158.171552,10692449562.723593,368645858.3690638,2.805300066647865e-10,2.757116305814994e-10,7.627113093764783e-10
ALB,buffaloes_milk,12,12.87999931693377,0.5039451920516693,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.4821158347123934e-9,1.20458826963622e-9,1.3670170995035372e-9
ALB,chickens_eggs,63284.077175719955,85285.74579903873,6712.7843063650535,livestock,8096533158.171552,10692449562.723593,368645858.3690638,7.816194405607975e-6,7.976258882376683e-6,1.8209303465562495e-5
ALB,chickens_meat,25097.07717571995,32574.444803460243,3106.806967896528,livestock,8096533158.171552,10692449562.723593,368645858.3690638,3.099731290594461e-6,3.046490386732565e-6,8.427619346224145e-6
ALB,cows_meat,43875.72,91476.276558324,6301.647172995042,livestock,8096533158.171552,10692449562.723593,368645858.3690638,5.419074947617271e-6,8.555221703100843e-6,1.709404033690852e-5
ALB,cows_milk,982510,655129.9831464026,33187.48093976692,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.2134946906360613e-4,6.127033654012647e-5,9.002537309544875e-5
ALB,goats_meat,12793.42,18019.914756962848,1953.3860180357503,livestock,8096533158.171552,10692449562.723593,368645858.3690638,1.580110863510519e-6,1.6852934073951147e-6,5.298814495510078e-6
