fao_name,SPAM_super
"Almonds, with shell",tnut
"Anise, badian, fennel, coriander",spis
"Broad beans, horse beans, dry",xpul
Cabbages and other brassicas,vege
Carrots and turnips,vege
"Cashew nuts, with shell",tnut
"Cherries, sour",xfru
Chestnut,tnut
Chick peas,xpul
"Chillies and peppers, dry",vege
"Chillies and peppers, green",vege
Cinnamon (cannella),spis
Eggplants (aubergines),vege
"Fruit, citrus nes",xfru
Grapefruit (inc. pomelos),xfru
"Hazelnuts, with shell",tnut
Kola nuts,tnut
"Leeks, other alliaceous vegetables",vege
Lentils,xpul
"Mangoes, mangosteens, guavas",xfru
"Melons, other (inc.cantaloupes)",xfru
Mushrooms and truffles,vege
"Nutmeg, mace and cardamoms",spis
"Onions, shallots, green",vege
Pepper (piper spp.),vege
Plantains and others,plnt
Plums and sloes,xfru
Sweet corn frozen,vege
Sweet corn prep or preserved,vege
Tomatoes,vege
"Vegetables, fresh nes",vege
"Vegetables, leguminous nes",vege
"Walnuts, with shell",tnut
"Brazil nuts, with shell",tnut
"Coffee, green",xcof
"Fruit, stone nes",xfru
"Fruit, tropical fresh nes",xfru
Taro (cocoyam),orts
"Maize, green",maiz
"Grain, mixed",ocer
"Groundnuts, with shell",xoil
Yautia (cocoyam),orts
Matí©,teas
String beans,vege
"Cocoa, beans",coco
Cereals nes,ocer
Rapeseed,xoil
"Fruit, pome nes",xfru
Karite nuts (sheanuts),xoil
