iso3c,organism,tonnes_product,million_kcals,tonnes_protein
PRK,bivalve,61716.894977169,6182.110488805469,917.6964923872036
MNP,bivalve,0,0,0
NOR,bivalve,2382.87,238.6893512045511,35.43197436655948
OMN,bivalve,0,0,0
PAK,bivalve,0,0,0
PLW,bivalve,0,0,0
PSE,bivalve,0,0,0
PAN,bivalve,0,0,0
PNG,bivalve,0,0,0
PRY,bivalve,0,0,0
PER,bivalve,11926.98,1194.7118886173635,177.34767302893889
PHL,bivalve,42153,4222.417597823399,626.7920681672025
PCN,bivalve,0,0,0
POL,bivalve,0,0,0
PRT,bivalve,6166.68566666667,617.7098208710806,91.69524500621655
PRI,bivalve,0,0,0
QAT,bivalve,0,0,0
COG,bivalve,0,0,0
REU,bivalve,0,0,0
ROU,bivalve,0,0,0
RUS,bivalve,8370.10502283105,838.4238071793668,124.45888639093218
RWA,bivalve,0,0,0
BLM,bivalve,0,0,0
MAF,bivalve,0,0,0
SHN,bivalve,0,0,0
KNA,bivalve,0,0,0
LCA,bivalve,0,0,0
SPM,bivalve,0,0,0
VCT,bivalve,0,0,0
WSM,bivalve,0,0,0
SMR,bivalve,0,0,0
STP,bivalve,0,0,0
SAU,bivalve,0,0,0
SEN,bivalve,0,0,0
SRB,bivalve,0,0,0
SYC,bivalve,0,0,0
SLE,bivalve,0,0,0
SGP,bivalve,0,0,0
SXM,bivalve,0,0,0
SVK,bivalve,0,0,0
SVN,bivalve,641.4,64.24830136037596,9.537267395498391
SLB,bivalve,0,0,0
SOM,bivalve,0,0,0
ZAF,bivalve,3359.52,336.5192600346278,49.954226006430865
KOR,bivalve,453634,45439.996787204225,6745.289612861736
SSD,bivalve,0,0,0
ESP,bivalve,241349.473878505,24175.69961165322,3588.7347492082267
LKA,bivalve,0,0,0
SDN,bivalve,0,0,0
SUR,bivalve,0,0,0
SJM,bivalve,0,0,0
SWZ,bivalve,0,0,0
SWE,bivalve,2014,201.7400669469866,29.947079099678458
CHE,bivalve,0,0,0
SYR,bivalve,0,0,0
TWN,bivalve,69300.8934210526,6941.7909028049335,1030.466403653748
TJK,bivalve,0,0,0
TZA,bivalve,0,0,0
THA,bivalve,96878.1913043478,9704.177159603822,1440.5257487711444
TLS,bivalve,0,0,0
TGO,bivalve,0,0,0
TKL,bivalve,0,0,0
TON,bivalve,0,0,0
TTO,bivalve,0,0,0
TUN,bivalve,0,0,0
TUR,bivalve,0,0,0
TKM,bivalve,0,0,0
TCA,bivalve,0,0,0
TUV,bivalve,0,0,0
UGA,bivalve,0,0,0
UKR,bivalve,0,0,0
ARE,bivalve,0,0,0
GBR,bivalve,19045.1774808324,1907.7335551143844,283.1913785928018
USA,bivalve,171211.884455528,17150.097831270083,2545.827133363806
URY,bivalve,0,0,0
UZB,bivalve,0,0,0
VUT,bivalve,0,0,0
VEN,bivalve,0,0,0
VNM,bivalve,284965.52,28544.66885917718,4237.281513466238
VIR,bivalve,0,0,0
WLF,bivalve,0,0,0
ESH,bivalve,0,0,0
YEM,bivalve,0,0,0
ZMB,bivalve,0,0,0
ZWE,bivalve,0,0,0
XMI,bivalve,212.644333333333,21.30033865072688,3.1619050002143574
COD,bivalve,0,0,0
HSX,bivalve,1352,135.4282872454448,20.103500964630225
AFG,crustaceans,0,0,0
ALA,crustaceans,0,0,0
ALB,crustaceans,0,0,0
DZA,crustaceans,0,0,0
ASM,crustaceans,0,0,0
AND,crustaceans,0,0,0
AGO,crustaceans,0,0,0
AIA,crustaceans,0,0,0
ATG,crustaceans,0,0,0
ARG,crustaceans,0,0,0
ARM,crustaceans,0,0,0
ABW,crustaceans,0,0,0
AUS,crustaceans,0,0,0
AUT,crustaceans,0,0,0
AZE,crustaceans,0,0,0
BHS,crustaceans,0,0,0
BHR,crustaceans,0,0,0
BGD,crustaceans,14421,2767.5876852863166,482.9635105766446
BRB,crustaceans,0,0,0
BLR,crustaceans,0,0,0
BEL,crustaceans,0,0,0
BLZ,crustaceans,0,0,0
BEN,crustaceans,0,0,0
BMU,crustaceans,0,0,0
BTN,crustaceans,0,0,0
BOL,crustaceans,0,0,0
BES,crustaceans,0,0,0
BIH,crustaceans,0,0,0
BWA,crustaceans,0,0,0
BRA,crustaceans,0,0,0
IOT,crustaceans,0,0,0
VGB,crustaceans,0,0,0
BRN,crustaceans,0,0,0
BGR,crustaceans,0,0,0
BFA,crustaceans,0,0,0
BDI,crustaceans,0,0,0
KHM,crustaceans,0,0,0
CMR,crustaceans,0,0,0
CAN,crustaceans,0,0,0
CPV,crustaceans,0,0,0
CYM,crustaceans,0,0,0
CAF,crustaceans,0,0,0
TCD,crustaceans,0,0,0
CHL,crustaceans,0,0,0
CHN,crustaceans,286031,54893.27184038072,9579.261902347147
CXR,crustaceans,0,0,0
CCK,crustaceans,0,0,0
COL,crustaceans,0,0,0
COM,crustaceans,0,0,0
COK,crustaceans,0,0,0
CRI,crustaceans,0,0,0
CIV,crustaceans,0,0,0
HRV,crustaceans,0,0,0
CUB,crustaceans,0,0,0
CUW,crustaceans,0,0,0
CYP,crustaceans,0,0,0
CZE,crustaceans,0,0,0
DNK,crustaceans,0,0,0
DJI,crustaceans,0,0,0
DMA,crustaceans,0,0,0
DOM,crustaceans,0,0,0
ECU,crustaceans,0,0,0
EGY,crustaceans,0,0,0
SLV,crustaceans,0,0,0
GNQ,crustaceans,0,0,0
ERI,crustaceans,0,0,0
EST,crustaceans,0,0,0
ETH,crustaceans,0,0,0
FLK,crustaceans,0,0,0
FRO,crustaceans,0,0,0
FJI,crustaceans,0,0,0
FIN,crustaceans,0,0,0
FRA,crustaceans,0,0,0
GUF,crustaceans,0,0,0
PYF,crustaceans,0,0,0
GAB,crustaceans,0,0,0
GMB,crustaceans,0,0,0
GEO,crustaceans,0,0,0
DEU,crustaceans,0,0,0
GHA,crustaceans,0,0,0
GIB,crustaceans,0,0,0
GRC,crustaceans,0,0,0
GRL,crustaceans,0,0,0
GRD,crustaceans,0,0,0
GLP,crustaceans,0,0,0
GUM,crustaceans,0,0,0
GTM,crustaceans,0,0,0
GGY,crustaceans,0,0,0
GIN,crustaceans,0,0,0
GNB,crustaceans,0,0,0
GUY,crustaceans,0,0,0
HTI,crustaceans,0,0,0
HND,crustaceans,0,0,0
HKG,crustaceans,0,0,0
HUN,crustaceans,0,0,0
ISL,crustaceans,0,0,0
IND,crustaceans,0,0,0
IDN,crustaceans,13189,2531.149988297707,441.7034700086932
IRN,crustaceans,0,0,0
IRQ,crustaceans,0,0,0
IRL,crustaceans,0,0,0
IMN,crustaceans,0,0,0
ISR,crustaceans,0,0,0
ITA,crustaceans,0,0,0
JAM,crustaceans,0,0,0
JPN,crustaceans,0,0,0
JEY,crustaceans,0,0,0
JOR,crustaceans,0,0,0
KAZ,crustaceans,0,0,0
KEN,crustaceans,0,0,0
KIR,crustaceans,0,0,0
XKO,crustaceans,0,0,0
KWT,crustaceans,0,0,0
KGZ,crustaceans,0,0,0
LAO,crustaceans,0,0,0
LVA,crustaceans,0,0,0
LBN,crustaceans,0,0,0
LSO,crustaceans,0,0,0
LBR,crustaceans,0,0,0
LBY,crustaceans,0,0,0
LIE,crustaceans,0,0,0
LTU,crustaceans,0,0,0
LUX,crustaceans,0,0,0
MAC,crustaceans,0,0,0
MKD,crustaceans,0,0,0
MDG,crustaceans,0,0,0
MWI,crustaceans,0,0,0
MYS,crustaceans,0,0,0
MDV,crustaceans,0,0,0
MLI,crustaceans,0,0,0
MLT,crustaceans,0,0,0
MHL,crustaceans,0,0,0
MTQ,crustaceans,0,0,0
MRT,crustaceans,0,0,0
MUS,crustaceans,0,0,0
MYT,crustaceans,0,0,0
MEX,crustaceans,0,0,0
FSM,crustaceans,0,0,0
MDA,crustaceans,0,0,0
MCO,crustaceans,0,0,0
MNG,crustaceans,0,0,0
MNE,crustaceans,0,0,0
MSR,crustaceans,0,0,0
MAR,crustaceans,0,0,0
MOZ,crustaceans,0,0,0
MMR,crustaceans,2733.867,524.6665725269154,91.55800594755146
"NAM",crustaceans,0,0,0
NRU,crustaceans,0,0,0
NPL,crustaceans,0,0,0
NLD,crustaceans,0,0,0
NCL,crustaceans,0,0,0
NZL,crustaceans,0,0,0
NIC,crustaceans,0,0,0
NER,crustaceans,0,0,0
NGA,crustaceans,0,0,0
NIU,crustaceans,0,0,0
NFK,crustaceans,0,0,0
PRK,crustaceans,0,0,0
MNP,crustaceans,0,0,0
NOR,crustaceans,0,0,0
OMN,crustaceans,0,0,0
PAK,crustaceans,0,0,0
PLW,crustaceans,0,0,0
PSE,crustaceans,0,0,0
PAN,crustaceans,0,0,0
PNG,crustaceans,0,0,0
PRY,crustaceans,0,0,0
PER,crustaceans,0,0,0
PHL,crustaceans,18097.5,3473.158458807927,606.0905715734572
PCN,crustaceans,0,0,0
POL,crustaceans,0,0,0
PRT,crustaceans,0,0,0
PRI,crustaceans,0,0,0
QAT,crustaceans,0,0,0
COG,crustaceans,0,0,0
REU,crustaceans,0,0,0
ROU,crustaceans,0,0,0
RUS,crustaceans,0,0,0
RWA,crustaceans,0,0,0
BLM,crustaceans,0,0,0
MAF,crustaceans,0,0,0
SHN,crustaceans,0,0,0
KNA,crustaceans,0,0,0
LCA,crustaceans,0,0,0
SPM,crustaceans,0,0,0
VCT,crustaceans,0,0,0
WSM,crustaceans,0,0,0
SMR,crustaceans,0,0,0
STP,crustaceans,0,0,0
SAU,crustaceans,0,0,0
SEN,crustaceans,0,0,0
SRB,crustaceans,0,0,0
SYC,crustaceans,0,0,0
SLE,crustaceans,0,0,0
SGP,crustaceans,0,0,0
SXM,crustaceans,0,0,0
SVK,crustaceans,0,0,0
SVN,crustaceans,0,0,0
SLB,crustaceans,0,0,0
SOM,crustaceans,0,0,0
ZAF,crustaceans,0,0,0
KOR,crustaceans,0,0,0
SSD,crustaceans,0,0,0
ESP,crustaceans,0,0,0
LKA,crustaceans,0,0,0
SDN,crustaceans,0,0,0
SUR,crustaceans,0,0,0
SJM,crustaceans,0,0,0
SWZ,crustaceans,0,0,0
