iso3c,species_class_final,million_kcal,tonnes_protein,tonnes_product
ABW,Benthic,29.403760452243375,5.076123079292403,133.39620552707535
ABW,Demersal,641.0200870208315,109.67778278308938,964.9821100440237
ABW,forage_fish,1558.1539631446751,194.78524170027492,1561.3278565008256
ABW,Large pelagic,59.48179956985425,10.909693614672932,77.65844673873306
ABW,Medium pelagic,71.20403984053885,12.13780397488509,96.49483292925586
ABW,Reef-associated,63.80310025025714,11.15814116622826,88.2839027076091
ABW,Small pelagic,0.0913077395562666,0.012331463397284047,0.0976985420315062
AFG,Benthic,0,0,0
AFG,Demersal,0,0,0
AFG,forage_fish,0,0,0
AFG,Large pelagic,0,0,0
AFG,Medium pelagic,0,0,0
AFG,Reef-associated,0,0,0
AFG,Small pelagic,0,0,0
AGO,Benthic,2272.3536397193334,392.2881487770165,10308.999546045172
AGO,Demersal,247045.26868973213,44266.97342988843,379110.6868959306
AGO,forage_fish,453247.2632333947,63762.37323040083,495018.1332225594
AGO,Large pelagic,75950.02286978647,12485.978017575788,84117.27837790272
AGO,Medium pelagic,5834.880965879579,1088.4805766357254,8717.429037086724
AGO,Reef-associated,10705.792165979125,1890.3972940227957,15348.833237085692
AGO,Small pelagic,9.731375539596101,1.7107882624324442,14.51548301664125
AIA,Benthic,50.50508370013686,8.718953530050928,229.1266974633369
AIA,Demersal,1044.1804836044314,180.69916246903244,1532.3930479430653
AIA,forage_fish,27.4423525402498,4.058635839003842,31.60361535446917
AIA,Large pelagic,315.4853620198078,55.717773811247355,406.94049719981393
AIA,Medium pelagic,1.5940514113503603,0.26505717537788936,2.072306434328589
AIA,Reef-associated,74.90810112488928,12.956690905561002,101.95754071265377
AIA,Small pelagic,0,0,0
ALA,Benthic,0.02310389205155892,0.003988544249463532,0.104815557098241
ALA,Demersal,125.18551150195412,22.087254528021212,229.2083830585824
ALA,forage_fish,1228.9102269893588,196.65338105416424,1679.2476415774593
ALA,Large pelagic,0,0,0
ALA,Medium pelagic,13.050208334730222,2.592650146586765,20.54368614433151
ALA,Reef-associated,0,0,0
ALA,Small pelagic,0,0,0
ALB,Benthic,85.46005901417105,14.753411510888128,387.7071306959508
ALB,Demersal,2684.727585599656,450.63827369781353,4362.007123570322
ALB,forage_fish,2586.016868948721,359.25350221930677,2802.0427475261345
ALB,Large pelagic,300.03313076201954,48.74906801568089,346.4382978845579
