iso3c,product,tonnes,million_kcal,tonnes_protein
ABW,bana,0,0,0
ABW,barl,0,0,0
ABW,cass,0,0,0
ABW,cnut,0,0,0
ABW,coco,0,0,0
ABW,maiz,0,0,0
ABW,ocer,0,0,0
ABW,oilp,0,0,0
ABW,orts,0,0,0
ABW,plnt,0,0,0
ABW,pota,0,0,0
ABW,rice,0,0,0
ABW,sorg,0,0,0
ABW,soyb,0,0,0
ABW,spis,0,0,0
ABW,sugb,0,0,0
ABW,sugc,0,0,0
ABW,swpo,0,0,0
ABW,tnut,0,0,0
ABW,vege,0,0,0
ABW,whea,0,0,0
ABW,xfru,0,0,0
ABW,xmil,0,0,0
ABW,xoil,0,0,0
ABW,xpul,0,0,0
ABW,yams,0,0,0
AFG,bana,495,304.0489615300786,4.037220183017659
AFG,barl,89223.49950434268,296435.21632743813,9640.62714104438
AFG,cass,0,0,0
AFG,cnut,0,0,0
AFG,coco,0,0,0
AFG,maiz,174405.6559126228,229716.48020630144,7234.343355554392
AFG,ocer,20.600000739097595,70.96437886080331,2.4214219423171284
AFG,oilp,0,0,0
AFG,orts,0,0,0
AFG,plnt,0,0,0
AFG,pota,547134.0653067231,387718.73607461975,9152.00552392563
AFG,rice,333931.45344668627,951038.4190475846,19712.652552645555
AFG,sorg,2.000000067055226,6.90149517589202,0.21514348123040963
AFG,soyb,0.20000000298023224,0.7048069135748113,0.07292673203531053
AFG,spis,18847.993294386193,64503.065078296764,2038.5793417916482
AFG,sugb,2474.1646463302895,1827.623531616539,32.292598865273405
AFG,sugc,37485.994535148144,11822.984222321753,64.35413969563763
AFG,swpo,0,0,0
AFG,tnut,37805.99623676017,99138.20567372782,2503.2724267284257
AFG,vege,609325.5545635521,176640.11845646868,8100.325752044229
AFG,whea,4092846.151596278,13401334.405076595,480641.97249640874
AFG,xfru,2563057.4210582227,1054501.161877511,12715.355797958578
AFG,xmil,13021.647285014393,43886.34826618784,1157.5772549209432
AFG,xoil,92444.44836840034,396512.4746903281,14242.206565377986
AFG,xpul,39602.8882906884,135350.81282150737,8781.115162575483
AFG,yams,0,0,0
AGO,bana,4413958.762603492,2711231.47071956,36000.24929977873
AGO,barl,0,0,0
AGO,cass,8271136.202451028,8618421.226258405,64405.00049032203
AGO,cnut,0,0,0
AGO,coco,484.9333431571722,2097.057632967239,26.901249740817846
AGO,maiz,2750496.0328606367,3622785.420483668,114090.52416151555
AGO,ocer,0,0,0
AGO,oilp,280448.19191503525,1202897.5434173935,43206.49347727174
AGO,orts,501.9999876022339,445.6220123414967,7.6279216959444
AGO,plnt,54.5,41.982972271823755,0.4352569443671944
AGO,pota,802756.1244341135,568861.6550813221,13427.839630251332
AGO,rice,65380.52197396755,186204.0476057018,3859.545125446522
AGO,sorg,79829.8673248291,275472.71288126154,8587.437493296451
AGO,soyb,15075.83331477642,53127.756949114155,5497.156199864526
AGO,spis,0,0,0
AGO,sugb,0,0,0
AGO,sugc,567045.8270800114,178844.7645590489,973.476809732753
AGO,swpo,1319752.43290174,1232255.2851317963,13239.991528882745
AGO,tnut,2343.9931594356894,6146.624849737341,155.2043069493318
AGO,vege,813913.196296975,235948.94770195568,10820.097687541473
AGO,whea,2824.03163780272,9246.815283772616,331.6391788282525
AGO,xfru,942841.8627352118,387906.9706173597,4677.4487560791595
AGO,xmil,74637.50211149454,251547.85256339854,6635.0034613369935
AGO,xoil,201328.56118105352,863537.9130785118,31017.146042390526
AGO,xpul,320769.37366625667,1096293.6626059646,71123.92384403147
AGO,yams,49.700000286102295,48.86100701470745,0.7525586264858147
AIA,bana,0,0,0
AIA,barl,0,0,0
AIA,cass,0,0,0
AIA,cnut,0,0,0
AIA,coco,0,0,0
AIA,maiz,0,0,0
AIA,ocer,0,0,0
AIA,oilp,0,0,0
AIA,orts,0,0,0
AIA,plnt,0,0,0
AIA,pota,0,0,0
AIA,rice,0,0,0
AIA,sorg,0,0,0
AIA,soyb,0,0,0
AIA,spis,0,0,0
AIA,sugb,0,0,0
AIA,sugc,0,0,0
AIA,swpo,0,0,0
AIA,tnut,0,0,0
AIA,vege,0,0,0
AIA,whea,0,0,0
AIA,xfru,0,0,0
AIA,xmil,0,0,0
AIA,xoil,0,0,0
AIA,xpul,0,0,0
AIA,yams,0,0,0
ALA,bana,0,0,0
ALA,barl,2604.199998855591,8652.16668600964,281.3846276950053
ALA,cass,0,0,0
ALA,cnut,0,0,0
ALA,coco,0,0,0
ALA,maiz,0,0,0
ALA,ocer,20859.79995727539,71859.35407852348,2451.959976536641
ALA,oilp,0,0,0
ALA,orts,0,0,0
ALA,plnt,0,0,0
ALA,pota,23574.499706864357,16705.732304956935,394.33470738118666
ALA,rice,0,0,0
ALA,sorg,0,0,0
ALA,soyb,0,0,0
ALA,spis,0,0,0
