iso3c,product,tonnes,product_tonnes_to_mill_kcal,product_tonnes_to_tonnes_protein,million_kcal,tonnes_protein
ABW,chickens_eggs,0,1.347665156943461,0.10607382782442676,0,0
ABW,chickens_meat,0,1.2979377867544766,0.12379158521703051,0,0
AFG,chickens_eggs,43180.98595317032,1.347665156943461,0.10607382782442676,58193.51021155266,4580.3724692855785
AFG,chickens_meat,50698.98595317032,1.2979377867544766,0.12379158521703051,65804.12961875417,6276.107840038917
AFG,cows_meat,150879.96,2.0848951665824287,0.143624929072276,314568.89933815016,21670.12355342784
AFG,cows_milk,1781535,0.6667921783456684,0.03377826275535814,1187913.6034490503,60177.157337866964
AFG,goats_meat,55705.09,1.4085299127960191,0.15268677320339286,78462.28555999439,8505.430443104588
AFG,goats_milk,114579,0.7502654071524572,0.035507431374429806,85964.66008612138,4068.4059794507925
AFG,sheep_meat,134382.59,2.205370196003507,0.1340347089575894,296363.3588477589,18011.931339617062
AFG,sheep_milk,206763,0.9525121771438787,0.058559218635291344,196944.2752827998,12107.879722688744
AGO,chickens_eggs,70223.69336340105,1.347665156943461,0.10607382782442676,94638.02473773736,7448.895959024743
AGO,chickens_meat,91844.69336340105,1.2979377867544766,0.12379158521703051,119208.69802923632,11369.600185227499
AGO,cows_meat,121265.32,2.0848951665824287,0.143624929072276,252825.47954207152,17416.722983926855
AGO,cows_milk,215953,0.6667921783456684,0.03377826275535814,143995.77129028214,7294.517176807856
AGO,goats_meat,22639.74,1.4085299127960191,0.15268677320339286,31888.751007924548,3456.7888467637817
AGO,pigs_meat,101674.94,3.2303575643687106,0.11067792825595003,328446.4115357348,11253.171714748025
AGO,sheep_meat,4853.36,2.205370196003507,0.1340347089575894,10703.45549447558,650.518695066406
AIA,chickens_eggs,0,1.347665156943461,0.10607382782442676,0,0
AIA,chickens_meat,0,1.2979377867544766,0.12379158521703051,0,0
ALA,chickens_eggs,2.27132050082353,1.347665156943461,0.10607382782442676,3.060979499211243,0.24092765973844588
ALA,chickens_meat,2.27132050082353,1.2979377867544766,0.12379158521703051,2.9480327038489618,0.2811703653328844
ALB,buffaloes_milk,12,1.0733332764111474,0.041995432670972443,12.87999931693377,0.5039451920516693
ALB,chickens_eggs,63284.077175719955,1.347665156943461,0.10607382782442676,85285.74579903873,6712.7843063650535
ALB,chickens_meat,25097.07717571995,1.2979377867544766,0.12379158521703051,32574.444803460243,3106.806967896528
ALB,cows_meat,43875.72,2.0848951665824287,0.143624929072276,91476.276558324,6301.647172995042
ALB,cows_milk,982510,0.6667921783456684,0.03377826275535814,655129.9831464026,33187.48093976692
ALB,goats_meat,12793.42,1.4085299127960191,0.15268677320339286,18019.914756962848,1953.3860180357503
ALB,goats_milk,86849,0.7502654071524572,0.035507431374429806,65159.800345783755,3083.784907437854
ALB,pigs_meat,12331.73,3.2303575643687106,0.11067792825595003,39835.897287252556,1364.8503282117467
ALB,sheep_meat,21672,2.205370196003507,0.1340347089575894,47794.782887788,2904.8002125288776
ALB,sheep_milk,86927,0.9525121771438787,0.058559218635291344,82799.02602258594,5090.3771983099705
AND,chickens_eggs,0.40073556460123655,1.347665156943461,0.10607382782442676,0.5400573575611519,0.042507555282636014
AND,chickens_meat,0.40073556460123655,1.2979377867544766,0.12379158521703051,0.5201298317923345,0.04960769079482881
ARE,chickens_eggs,61775.02579700223,1.347665156943461,0.10607382782442676,83252.04983590337,6552.713450240736
ARE,chickens_meat,52866.02579700223,1.2979377867544766,0.12379158521703051,68616.81251746614,6544.369137535335
ARE,cows_meat,17978.02,2.0848951665824287,0.143624929072276,37482.28700272224,2582.0918473599595
ARE,cows_milk,43000,0.6667921783456684,0.03377826275535814,28672.063668863742,1452.4652984804
ARE,goats_meat,66000,1.4085299127960191,0.15268677320339286,92962.97424453727,10077.327031423929
ARE,goats_milk,42311,0.7502654071524572,0.035507431374429806,31744.479642027614,1502.3549288834995
ARE,sheep_meat,11126.26,2.205370196003507,0.1340347089575894,24537.52219698598,1491.3050208864686
ARE,sheep_milk,22523,0.9525121771438787,0.058559218635291344,21453.43176581158,1318.9292813226668
ARG,chickens_eggs,1223096.715755443,1.347665156943461,0.10607382782442676,1648324.827395591,129738.5504396647
ARG,chickens_meat,2526096.715755443,1.2979377867544766,0.12379158521703051,3278716.380375372,312709.51685490087
ARG,cows_meat,3325744.68,2.0848951665824287,0.143624929072276,6933829.0086192265,477659.8437774993
ARG,cows_milk,10097500,0.6667921783456684,0.03377826275535814,6732934.020845386,341076.0081722288
ARG,goats_meat,8235.74,1.4085299127960191,0.15268677320339286,11600.286144010686,1257.4885655421106
ARG,pigs_meat,617169.16,3.2303575643687106,0.11067792825595003,1993677.0645010832,68307.00401226495
ARG,sheep_meat,57536.96,2.205370196003507,0.1340347089575894,126890.29675264594,7711.949687904463
ARM,chickens_eggs,34851.23642398885,1.347665156943461,0.10607382782442676,46967.79700500859,3696.8040519065835
ARM,chickens_meat,11301.236423988848,1.2979377867544766,0.12379158521703051,14668.301791741162,1398.9979718380248
ARM,cows_meat,84158.49,2.0848951665824287,0.143624929072276,175461.62902787566,12087.25715707985
ARM,cows_milk,693800,0.6667921783456684,0.03377826275535814,462620.41333622474,23435.35869966748
ARM,goats_meat,54.38,1.4085299127960191,0.15268677320339286,76.59585665784752,8.303106726800504
ARM,goats_milk,4300,0.7502654071524572,0.035507431374429806,3226.1412507555656,152.68195491004818
ARM,pigs_meat,19221.05,3.2303575643687106,0.11067792825595003,62090.864262609204,2127.345992904028
ARM,sheep_meat,13444.44,2.205370196003507,0.1340347089575894,29649.967277957392,1802.0216024977733
ARM,sheep_milk,60100,0.9525121771438787,0.058559218635291344,57245.98184634711,3519.4090399810098
ASM,chickens_eggs,35.75739178629127,1.347665156943461,0.10607382782442676,48.18899101356105,3.792923419789632
ASM,chickens_meat,25.75739178629127,1.2979377867544766,0.12379158521703051,33.431492087666825,3.1885483602811173
ASM,cows_meat,4.63,2.0848951665824287,0.143624929072276,9.653064621276645,0.6649834216046379
ASM,cows_milk,33,0.6667921783456684,0.03377826275535814,22.00414188540706,1.1146826709268187
ASM,pigs_meat,334.09,3.2303575643687106,0.11067792825595003,1079.2301586799424,36.976389051030345
ATF,chickens_eggs,0,1.347665156943461,0.10607382782442676,0,0
ATF,chickens_meat,0,1.2979377867544766,0.12379158521703051,0,0
ATG,chickens_eggs,280.59799114169414,1.347665156943461,0.10607382782442676,378.1521357699911,29.764103000244088
ATG,chickens_meat,96.59799114169415,1.2979377867544766,0.12379158521703051,125.37818282737904,11.95801845221099
ATG,cows_meat,167.76,2.0848951665824287,0.143624929072276,349.7620131458682,24.094518101165022
ATG,cows_milk,3100,0.6667921783456684,0.03377826275535814,2067.055752871572,104.71261454161024
ATG,goats_meat,16.759999999999998,1.4085299127960191,0.15268677320339286,23.60696133846128,2.559030318888864
ATG,pigs_meat,92.43,3.2303575643687106,0.11067792825595003,298.58194967459997,10.229960908697462
ATG,sheep_meat,14.11,2.205370196003507,0.1340347089575894,31.11777346560948,1.8912297433915863
AUS,chickens_eggs,431886.8745546469,1.347665156943461,0.10607382782442676,582038.892578509,45811.89397113941
AUS,chickens_meat,1413812.874554647,1.2979377867544766,0.12379158521703051,1835041.1532844428,175018.13694136645
AUS,cows_meat,2335309.38,2.0848951665824287,0.143624929072276,4868875.238836608,335408.64406432083
