TaxonName,calories_mean,protein_mean,Species,Genus,Family,Order
Ablennes hians,101.95666666666666,19.104871794871794,Ablennes hians,Ablennes,Belonidae,Beloniformes
Abudefduf luridus,107.25982321161798,18.85700945291929,Abudefduf luridus,Abudefduf,Pomacentridae,Ovalentaria incertae sedis
Acanthistius brasilianus,90.125,17.439999999999998,Acanthistius brasilianus,Acanthistius,Serranidae,Perciformes/Serranoidei
Acanthocybium solandri,101.9466129032258,19.803295454545456,Acanthocybium solandri,Acanthocybium,Scombridae,Scombriformes
Acanthopagrus berda,100.25642857142857,19.510535714285716,Acanthopagrus berda,Acanthopagrus,Sparidae,Eupercaria/misc
Acanthopagrus bifasciatus,104.62,20.0275,Acanthopagrus bifasciatus,Acanthopagrus,Sparidae,Eupercaria/misc
Acanthopagrus latus,101.87333333333333,18.885,Acanthopagrus latus,Acanthopagrus,Sparidae,Eupercaria/misc
Acanthopagrus schlegelii schlegelii,102.24992063492064,19.47434523809524,Acanthopagrus schlegelii schlegelii,Acanthopagrus,Sparidae,Eupercaria incertae sedis
Acanthuridae,108.66916225749559,18.760118911952244,NA,NA,Acanthuridae,Acanthuriformes
Acanthurus sohal,108.66916225749559,18.760118911952244,Acanthurus sohal,Acanthurus,Acanthuridae,Acanthuriformes
Acetes japonicus,108.66916225749559,18.760118911952244,Acetes japonicus,Acetes,Sergestidae,Decapoda
Aequipecten opercularis,108.66916225749559,18.760118911952244,Aequipecten opercularis,Aequipecten,Pectinidae,Pectinida
Aethaloperca rogaa,95.90166666666667,18.518,Aethaloperca rogaa,Aethaloperca,Serranidae,Perciformes/Serranoidei
Albula vulpes,121.64555555555556,19.023760683760685,Albula vulpes,Albula,Albulidae,Albuliformes
Alectis alexandrinus,113.71350181518999,19.43349603989019,Alectis alexandrinus,Alectis,Carangidae,Carangiformes
Alepes djedaba,112.90386175115208,18.474564935064933,Alepes djedaba,Alepes,Carangidae,Carangiformes
Alepocephalus bairdii,89.25,19.775,Alepocephalus bairdii,Alepocephalus,Alepocephalidae,Alepocephaliformes
