TaxonName,calories_mean,protein_mean,Species,Genus,Family,Order
Alopias,95.13833333333332,20.32375,NA,Alopias,Alopiidae,Lamniformes
Alopias superciliosus,97.10111111111111,20.506666666666668,Alopias superciliosus,Alopias,Alopiidae,Lamniformes
Alopias vulpinus,93.17555555555555,20.140833333333333,Alopias vulpinus,Alopias,Alopiidae,Lamniformes
Alosa,142.72047619047618,17.606738095238097,NA,Alosa,Clupeidae,Clupeiformes
Alosa aestivalis,147.25,17.81475,Alosa aestivalis,Alosa,Clupeidae,Clupeiformes
Alosa alosa,150,16.792,Alosa alosa,Alosa,Clupeidae,Clupeiformes
Alosa fallax,150,16.792,Alosa fallax,Alosa,Clupeidae,Clupeiformes
Alosa immaculata,147.25,17.81475,Alosa immaculata,Alosa,Clupeidae,Clupeiformes
Alosa mediocris,147.25,17.81475,Alosa mediocris,Alosa,Clupeidae,Clupeiformes
Alosa pseudoharengus,110.04333333333334,18.404166666666665,Alosa pseudoharengus,Alosa,Clupeidae,Clupeiformes
Alosa sapidissima,147.25,17.81475,Alosa sapidissima,Alosa,Clupeidae,Clupeiformes
Ambassidae,108.66916225749559,18.760118911952244,NA,NA,Ambassidae,Ovalentaria/misc
Amblyraja georgiana,106,17.9,Amblyraja georgiana,Amblyraja,Rajidae,Rajiformes
Amblyraja hyperborea,101.19,17.25,Amblyraja hyperborea,Amblyraja,Rajidae,Rajiformes
Amblyraja taaf,106,17.9,Amblyraja taaf,Amblyraja,Rajidae,Rajiformes
Ammodytes personatus,125.87,17.814615384615387,Ammodytes personatus,Ammodytes,Ammodytidae,Perciformes/Uranoscopoidei
Ammodytidae,108.66916225749559,18.760118911952244,NA,NA,Ammodytidae,Perciformes/Uranoscopoidei
Anadara,108.66916225749559,18.760118911952244,NA,Anadara,Arcidae,Arcida
Anadara granosa,108.66916225749559,18.760118911952244,Anadara granosa,Anadara,Arcidae,Arcida
Anarhichas,111.83555555555556,17.371111111111112,NA,Anarhichas,Anarhichadidae,Perciformes/Zoarcoidei
Anarhichas denticulatus,96.19,17.05,Anarhichas denticulatus,Anarhichas,Anarhichadidae,Perciformes/Zoarcoidei
Anarhichas lupus,122.52666666666667,17.843333333333334,Anarhichas lupus,Anarhichas,Anarhichadidae,Perciformes/Zoarcoidei
Anarhichas minor,116.79,17.22,Anarhichas minor,Anarhichas,Anarhichadidae,Perciformes/Zoarcoidei
Anguilliformes,108.66916225749559,18.760118911952244,NA,NA,NA,Anguilliformes
Anodontostoma chacunda,130.105,18.186,Anodontostoma chacunda,Anodontostoma,Clupeidae,Clupeiformes
Anoplopoma fimbria,103.15,19.128,Anoplopoma fimbria,NA,Anoplopomatidae,Perciformes/Cottoidei
Anthias anthias,106.0952380952381,19.12904761904762,Anthias anthias,Anthias,Serranidae,Perciformes/Serranoidei
Antimora rostrata,89.71785714285714,18.123625,Antimora rostrata,Antimora,Moridae,Gadiformes
Aphanopus carbo,105.55638741916519,18.253372970650748,Aphanopus carbo,Aphanopus,Trichiuridae,Scombriformes
Aphareus rutilans,95.46181818181819,19.256363636363638,Aphareus rutilans,Aphareus,Lutjanidae,Eupercaria/misc
Apogonidae,108.66916225749559,18.760118911952244,NA,NA,Apogonidae,Kurtiformes
Apostichopus japonicus,107.25982321161798,18.85700945291929,Apostichopus japonicus,Apostichopus,Stichopodidae,Synallactida
Aprion virescens,92.3559090909091,19.515681818181818,Aprion virescens,Aprion,Lutjanidae,Eupercaria/misc
Arca,108.66916225749559,18.760118911952244,NA,Arca,Arcidae,Arcida
Archosargus probatocephalus,99.03,20.475,Archosargus probatocephalus,Archosargus,Sparidae,Eupercaria/misc
Arctica islandica,108.66916225749559,18.760118911952244,Arctica islandica,Arctica,Arcticidae,Venerida
Arctoscopus japonicus,100.87676513815403,17.787836668475556,Arctoscopus japonicus,Arctoscopus,Trichodontidae,Perciformes/Uranoscopoidei
Argentina,108.875,17.931874999999998,NA,Argentina,Argentinidae,Argentiniformes
Argentina silus,120.75,18.23375,Argentina silus,Argentina,Argentinidae,Argentiniformes
Argentina sphyraena,97,17.63,Argentina sphyraena,Argentina,Argentinidae,Argentiniformes
Argopecten irradians,108.66916225749559,18.760118911952244,Argopecten irradians,Argopecten,Pectinidae,Pectinida
Argopecten purpuratus,108.66916225749559,18.760118911952244,Argopecten purpuratus,Argopecten,Pectinidae,Pectinida
Argopecten ventricosus,108.66916225749559,18.760118911952244,Argopecten ventricosus,Argopecten,Pectinidae,Pectinida
Argyrops spinifer,101.56727272727272,19.770454545454545,Argyrops spinifer,Argyrops,Sparidae,Eupercaria/misc
Argyrosomus hololepidotus,105.51166666666667,18.071785714285717,Argyrosomus hololepidotus,Argyrosomus,Sciaenidae,Eupercaria/misc
Argyrosomus regius,121.58916666666667,18.29347619047619,Argyrosomus regius,Argyrosomus,Sciaenidae,Eupercaria/misc
Argyrozona argyrozona,119.25,18.05375,Argyrozona argyrozona,Argyrozona,Sparidae,Eupercaria/misc
Ariidae,108.66916225749559,18.760118911952244,NA,NA,Ariidae,Siluriformes
Ariomma indica,125.66666666666667,17.886666666666667,Ariomma indica,NA,Ariommatidae,Scombriformes
Aristaeomorpha foliacea,108.66916225749559,18.760118911952244,Aristaeomorpha foliacea,Aristaeomorpha,Aristeidae,Decapoda
Aristeidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Aristeus antennatus,108.66916225749559,18.760118911952244,Aristeus antennatus,Aristeus,Aristeidae,Decapoda
Aristeus varidens,108.66916225749559,18.760118911952244,Aristeus varidens,Aristeus,Aristeidae,Decapoda
Arius thalassinus,108.66916225749559,18.760118911952244,Arius thalassinus,Arius,Ariidae,Siluriformes
Arnoglossus laterna,106.8345811287478,18.68005945597612,Arnoglossus laterna,Arnoglossus,Bothidae,Pleuronectiformes
Arripis georgianus,139.68083333333334,20.72958333333333,Arripis georgianus,Arripis,Arripidae,Scombriformes
Arripis trutta,139.68083333333334,20.72958333333333,Arripis trutta,Arripis,Arripidae,Scombriformes
Artemesia longinaris,108.66916225749559,18.760118911952244,Artemesia longinaris,Artemesia,Penaeidae,Decapoda
Ascidiacea,108.66916225749559,18.760118911952244,NA,NA,NA,Ascidiacea
Aspitrigla cuculus,101.94546247305506,18.95112432355025,Aspitrigla cuculus,Aspitrigla,Triglidae,Perciformes
Asteroidea,108.66916225749559,18.760118911952244,NA,NA,NA,Asteroidea
Atheresthes evermanni,95.5,18.565,Atheresthes evermanni,Atheresthes,Pleuronectidae,Pleuronectiformes
Atheresthes stomias,102.3,18.61,Atheresthes stomias,Atheresthes,Pleuronectidae,Pleuronectiformes
Atherina boyeri,91.715,18.14,Atherina boyeri,Atherina,Atherinidae,Atheriniformes
Atherina presbyter,97,17.63,Atherina presbyter,Atherina,Atherinidae,Atheriniformes
Atherinidae,108.66916225749559,18.760118911952244,NA,NA,Atherinidae,Atheriniformes
Atractoscion aequidens,127.64833333333334,18.20070512820513,Atractoscion aequidens,Atractoscion,Sciaenidae,Eupercaria/misc
Atractoscion nobilis,104.29833333333333,18.743333333333332,Atractoscion nobilis,Atractoscion,Sciaenidae,Eupercaria/misc
Atrobucca nibe,96.845,17.912619047619046,Atrobucca nibe,Atrobucca,Sciaenidae,Eupercaria/misc
Atule mate,114.7291129032258,19.147045454545456,Atule mate,Atule,Carangidae,Carangiformes
Aulacomya ater,107.25982321161798,18.85700945291929,Aulacomya ater,Aulacomya,Mytilidae,Mytilida
Austroglossus microlepis,96.9625,18.15,Austroglossus microlepis,Austroglossus,Soleidae,Pleuronectiformes
Austroglossus pectoralis,96.9625,18.15,Austroglossus pectoralis,Austroglossus,Soleidae,Pleuronectiformes
Auxis,131.78664962452754,21.019861100694968,NA,Auxis,Scombridae,Scombriformes
Auxis rochei rochei,131.78664962452754,21.019861100694968,Auxis rochei rochei,Auxis,Scombridae,Scombriformes
Auxis thazard thazard,131.78664962452754,21.019861100694968,Auxis thazard thazard,Auxis,Scombridae,Scombriformes
Balistes capriscus,89.89,19.008333333333333,Balistes capriscus,Balistes,Balistidae,Tetraodontiformes
Balistidae,108.66916225749559,18.760118911952244,NA,NA,Balistidae,Tetraodontiformes
Bathylagidae,108.66916225749559,18.760118911952244,NA,NA,Bathylagidae,Argentiniformes
Bathyraja,100.41666666666667,18.525,NA,Bathyraja,Arhynchobatidae,Rajiformes
Bathyraja eatonii,106,17.9,Bathyraja eatonii,Bathyraja,Arhynchobatidae,Rajiformes
Bathyraja irrasa,106,17.9,Bathyraja irrasa,Bathyraja,Arhynchobatidae,Rajiformes
Bathyraja murrayi,89.25,19.775,Bathyraja murrayi,Bathyraja,Arhynchobatidae,Rajiformes
Batrachoididae,108.66916225749559,18.760118911952244,NA,NA,Batrachoididae,Batrachoidiformes
Belone,93.25,20.150000000000002,NA,Belone,Belonidae,Beloniformes
Belone belone,93.25,20.150000000000002,Belone belone,Belone,Belonidae,Beloniformes
Belonidae,108.66916225749559,18.760118911952244,NA,NA,Belonidae,Beloniformes
Benthodesmus,105.55638741916519,18.253372970650748,NA,Benthodesmus,Trichiuridae,Scombriformes
Benthosema pterotum,108.66916225749559,18.760118911952244,Benthosema pterotum,Benthosema,Myctophidae,Myctophiformes
Berycidae,108.66916225749559,18.760118911952244,NA,NA,Berycidae,Beryciformes
Beryx,105.74785714285714,19.183571428571426,NA,Beryx,Berycidae,Beryciformes
Beryx decadactylus,110.21,19.58,Beryx decadactylus,Beryx,Berycidae,Beryciformes
Beryx splendens,101.28571428571429,18.787142857142857,Beryx splendens,Beryx,Berycidae,Beryciformes
Bivalvia,108.66916225749559,18.760118911952244,NA,NA,NA,Bivalvia
Bolbometopon muricatum,100.47638741916519,17.320039637317414,Bolbometopon muricatum,Bolbometopon,Scaridae,Eupercaria/misc
Boops boops,110.21,19.58,Boops boops,Boops,Sparidae,Eupercaria/misc
Boreogadus saida,88.3,18.696,Boreogadus saida,Boreogadus,Gadidae,Gadiformes
Bothidae,108.66916225749559,18.760118911952244,NA,NA,Bothidae,Pleuronectiformes
Bothus pantherinus,105,18.6,Bothus pantherinus,Bothus,Bothidae,Pleuronectiformes
Brachydeuterus auritus,91.3,18.666666666666668,Brachydeuterus auritus,Brachydeuterus,Haemulidae,Eupercaria/misc
Brachyura,108.66916225749559,18.760118911952244,NA,NA,NA,Decapoda
Brama brama,97.34,19.17125,Brama brama,Brama,Bramidae,Scombriformes
Bramidae,108.66916225749559,18.760118911952244,NA,NA,Bramidae,Scombriformes
Bregmaceros mcclellandi,92.34,17.648000000000003,Bregmaceros mcclellandi,Bregmaceros,Bregmacerotidae,Gadiformes
Brevoortia aurea,142,17.941000000000003,Brevoortia aurea,Brevoortia,Clupeidae,Clupeiformes
Brevoortia patronus,150,16.792,Brevoortia patronus,Brevoortia,Clupeidae,Clupeiformes
Brevoortia pectinata,142,17.941000000000003,Brevoortia pectinata,Brevoortia,Clupeidae,Clupeiformes
Brevoortia tyrannus,134,19.09,Brevoortia tyrannus,Brevoortia,Clupeidae,Clupeiformes
Brosme brosme,87,18.99,Brosme brosme,Brosme,Lotidae,Gadiformes
Brotula barbata,86.85,14.549999999999999,Brotula barbata,Brotula,Ophidiidae,Ophidiiformes
Buccinidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Buccinum undatum,108.66916225749559,18.760118911952244,Buccinum undatum,Buccinum,Buccinidae,Neogastropoda
Busycon,108.66916225749559,18.760118911952244,NA,NA,Busyconidae,Neogastropoda
Caesionidae,108.66916225749559,18.760118911952244,NA,NA,Caesionidae,Eupercaria/misc
Calamus,91.3,18.666666666666668,NA,Calamus,Sparidae,Eupercaria/misc
Calamus bajonado,91.3,18.666666666666668,Calamus bajonado,Calamus,Sparidae,Eupercaria/misc
Callinectes danae,108.66916225749559,18.760118911952244,Callinectes danae,Callinectes,Portunidae,Decapoda
Callinectes sapidus,108.66916225749559,18.760118911952244,Callinectes sapidus,Callinectes,Portunidae,Decapoda
Callista chione,108.66916225749559,18.760118911952244,Callista chione,Callista,Veneridae,Venerida
Callorhinchus capensis,130.26,19.32,Callorhinchus capensis,Callorhinchus,Callorhinchidae,Chimaeriformes
Callorhinchus milii,103.40527777777777,19.784166666666668,Callorhinchus milii,Callorhinchus,Callorhinchidae,Chimaeriformes
Cancer borealis,108.66916225749559,18.760118911952244,Cancer borealis,Cancer,Cancridae,Decapoda
Cancer irroratus,108.66916225749559,18.760118911952244,Cancer irroratus,Cancer,Cancridae,Decapoda
Cancer magister,108.66916225749559,18.760118911952244,Cancer magister,Cancer,Cancridae,Decapoda
Cancer pagurus,108.66916225749559,18.760118911952244,Cancer pagurus,Cancer,Cancridae,Decapoda
Cancer productus,108.66916225749559,18.760118911952244,Cancer productus,Cancer,Cancridae,Decapoda
Cantherhines,108.66916225749559,18.760118911952244,NA,Cantherhines,Monacanthidae,Tetraodontiformes
Caproidae,108.66916225749559,18.760118911952244,NA,NA,Caproidae,Acanthuriformes
Capros aper,108.66916225749559,18.760118911952244,Capros aper,Capros,Caproidae,Acanthuriformes
Carangidae,108.66916225749559,18.760118911952244,NA,NA,Carangidae,Carangiformes
Carangoides bajad,134,18.6,Carangoides bajad,Carangoides,Carangidae,Carangiformes
Carangoides fulvoguttatus,116.095,19.475,Carangoides fulvoguttatus,Carangoides,Carangidae,Carangiformes
Caranx,110.1441129032258,18.385739898989897,NA,Caranx,Carangidae,Carangiformes
Caranx crysos,113.70822580645161,18.369090909090907,Caranx crysos,Caranx,Carangidae,Carangiformes
Caranx hippos,113.3541129032258,18.509545454545453,Caranx hippos,Caranx,Carangidae,Carangiformes
Caranx ignobilis,113.3541129032258,18.509545454545453,Caranx ignobilis,Caranx,Carangidae,Carangiformes
Caranx melampygus,107.46,17.96666666666667,Caranx melampygus,Caranx,Carangidae,Carangiformes
Caranx rhonchus,99.6341129032258,18.450045454545453,Caranx rhonchus,Caranx,Carangidae,Carangiformes
Caranx sexfasciatus,113.3541129032258,18.509545454545453,Caranx sexfasciatus,Caranx,Carangidae,Carangiformes
Carcharhinidae,108.66916225749559,18.760118911952244,NA,NA,Carcharhinidae,Carcharhiniformes
Carcharhiniformes,108.66916225749559,18.760118911952244,NA,NA,NA,Carcharhiniformes
Carcharhinus brachyurus,97.10111111111111,20.506666666666668,Carcharhinus brachyurus,Carcharhinus,Carcharhinidae,Carcharhiniformes
Carcharhinus falciformis,93.17555555555555,20.140833333333333,Carcharhinus falciformis,Carcharhinus,Carcharhinidae,Carcharhiniformes
Carcharhinus limbatus,97.10111111111111,20.506666666666668,Carcharhinus limbatus,Carcharhinus,Carcharhinidae,Carcharhiniformes
Carcharhinus longimanus,97.10111111111111,20.506666666666668,Carcharhinus longimanus,Carcharhinus,Carcharhinidae,Carcharhiniformes
Carcharhinus plumbeus,97.10111111111111,20.506666666666668,Carcharhinus plumbeus,Carcharhinus,Carcharhinidae,Carcharhiniformes
Carcharhinus sorrah,97.10111111111111,20.506666666666668,Carcharhinus sorrah,Carcharhinus,Carcharhinidae,Carcharhiniformes
Carcinus aestuarii,108.66916225749559,18.760118911952244,Carcinus aestuarii,Carcinus,Carcinidae,Decapoda
Carcinus maenas,108.66916225749559,18.760118911952244,Carcinus maenas,Carcinus,Carcinidae,Decapoda
Cardiidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Cardium edule,107.25982321161798,18.85700945291929,Cardium edule,Cardium,Cardiidae,Cardiida
Caulolatilus princeps,134,19.09,Caulolatilus princeps,Caulolatilus,Latilidae,Eupercaria/misc
Centriscops humerosus,121.19,19.87,Centriscops humerosus,Centriscops,Centriscidae,Syngnathiformes
Centroberyx affinis,95.46181818181819,19.256363636363638,Centroberyx affinis,Centroberyx,Berycidae,Beryciformes
Centrolophidae,108.66916225749559,18.760118911952244,NA,NA,Centrolophidae,Scombriformes
Centrolophus niger,111.49394154114752,18.428800217529385,Centrolophus niger,Centrolophus,Centrolophidae,Scombriformes
Centrophorus granulosus,105.31055555555555,20.811666666666667,Centrophorus granulosus,Centrophorus,Centrophoridae,Squaliformes
Centrophorus lusitanicus,97.10111111111111,20.506666666666668,Centrophorus lusitanicus,Centrophorus,Centrophoridae,Squaliformes
Centrophorus squamosus,105.31055555555555,20.811666666666667,Centrophorus squamosus,Centrophorus,Centrophoridae,Squaliformes
Centropomus,90.5,19.200000000000003,NA,Centropomus,Centropomidae,Carangaria/misc
Centropomus undecimalis,90.5,19.200000000000003,Centropomus undecimalis,Centropomus,Centropomidae,Carangaria/misc
Centropristis striata,90.125,17.439999999999998,Centropristis striata,Centropristis,Serranidae,Perciformes/Serranoidei
Centroscyllium fabricii,113.52,21.116666666666667,Centroscyllium fabricii,Centroscyllium,Etmopteridae,Squaliformes
Centroscymnus coelolepis,105.31055555555555,20.811666666666667,Centroscymnus coelolepis,Centroscymnus,Somniosidae,Squaliformes
Centroselachus crepidater,103.25819444444444,20.735416666666666,Centroselachus crepidater,Centroselachus,Somniosidae,Squaliformes
Cephalopholis argus,93.97611111111111,18.158666666666665,Cephalopholis argus,Cephalopholis,Serranidae,Perciformes/Serranoidei
Cephalopholis boenak,104.65583333333333,18.844625,Cephalopholis boenak,Cephalopholis,Serranidae,Perciformes/Serranoidei
Cephalopholis fulva,117.8875,18.991666666666667,Cephalopholis fulva,Cephalopholis,Serranidae,Perciformes/Serranoidei
Cephalopholis hemistiktos,96.38,16.6,Cephalopholis hemistiktos,Cephalopholis,Serranidae,Perciformes/Serranoidei
Cephalopholis miniata,103.98180952380952,18.83312857142857,Cephalopholis miniata,Cephalopholis,Serranidae,Perciformes/Serranoidei
Cephalopoda,108.66916225749559,18.760118911952244,NA,NA,NA,Cephalopoda
Cepola macrophthalma,101.1573880841942,18.8096467590656,Cepola macrophthalma,Cepola,Cepolidae,Eupercaria/misc
Cervimunida johni,108.66916225749559,18.760118911952244,Cervimunida johni,Cervimunida,Munididae,Decapoda
Cetengraulis edentulus,141.790125,19.149304812834224,Cetengraulis edentulus,Cetengraulis,Engraulidae,Clupeiformes
Cetengraulis mysticetus,126.464,19.905882352941177,Cetengraulis mysticetus,Cetengraulis,Engraulidae,Clupeiformes
Cetorhinus maximus,93.05055555555555,19.953333333333333,Cetorhinus maximus,Cetorhinus,Cetorhinidae,Lamniformes
Chaceon affinis,108.66916225749559,18.760118911952244,Chaceon affinis,Chaceon,Geryonidae,Decapoda
Chaceon quinquedens,108.66916225749559,18.760118911952244,Chaceon quinquedens,Chaceon,Geryonidae,Decapoda
Chaenocephalus aceratus,105.76912277407976,17.739660146026814,Chaenocephalus aceratus,Chaenocephalus,Channichthyidae,Perciformes/Notothenioidei
Chaenodraco wilsoni,105.76912277407976,17.739660146026814,Chaenodraco wilsoni,Chaenodraco,Channichthyidae,Perciformes/Notothenioidei
Chamelea gallina,108.66916225749559,18.760118911952244,Chamelea gallina,Chamelea,Veneridae,Venerida
Champsocephalus gunnari,131.03645161290322,20.138181818181817,Champsocephalus gunnari,Champsocephalus,Channichthyidae,Perciformes/Notothenioidei
Channichthyidae,108.66916225749559,18.760118911952244,NA,NA,Channichthyidae,Perciformes/Notothenioidei
Channichthys rhinoceratus,105.76912277407976,17.739660146026814,Channichthys rhinoceratus,Channichthys,Channichthyidae,Perciformes/Notothenioidei
Charybdis,108.66916225749559,18.760118911952244,NA,Charybdis,Portunidae,Decapoda
Cheilinus undulatus,97,18.5,Cheilinus undulatus,Cheilinus,Labridae,Eupercaria/misc
Cheilodactylus variegatus,87.7,18.8,Cheilodactylus variegatus,Cheilodactylus,Cheilodactylidae,Centrarchiformes
Cheimerius nufar,99.03,20.475,Cheimerius nufar,Cheimerius,Sparidae,Eupercaria/misc
Chelidonichthys capensis,133.725,19.025,Chelidonichthys capensis,Chelidonichthys,Triglidae,Perciformes/Scorpaenoidei
Chelidonichthys kumu,96.45,19.15,Chelidonichthys kumu,Chelidonichthys,Triglidae,Perciformes/Scorpaenoidei
Chelidonichthys lucerna,96.41499999999999,17.875,Chelidonichthys lucerna,Chelidonichthys,Triglidae,Perciformes/Scorpaenoidei
Chelon haematocheilus,121.99857142857142,20.439285714285713,Chelon haematocheilus,Chelon,Mugilidae,Mugiliformes
Chelon labrosus,121.99857142857142,20.439285714285713,Chelon labrosus,Chelon,Mugilidae,Mugiliformes
Chimaera monstrosa,108.86703703703704,19.41472222222222,Chimaera monstrosa,Chimaera,Chimaeridae,Chimaeriformes
Chimaeriformes,108.66916225749559,18.760118911952244,NA,NA,NA,Chimaeriformes
Chione stutchburyi,108.66916225749559,18.760118911952244,Chione stutchburyi,Chione,Veneridae,Venerida
Chionobathyscus dewitti,105.76912277407976,17.739660146026814,Chionobathyscus dewitti,Chionobathyscus,Channichthyidae,Perciformes/Notothenioidei
Chionodraco hamatus,96.38,16.6,Chionodraco hamatus,Chionodraco,Channichthyidae,Perciformes/Notothenioidei
Chionodraco myersi,96.38,16.6,Chionodraco myersi,Chionodraco,Channichthyidae,Perciformes/Notothenioidei
Chionodraco rastrospinosus,96.38,16.6,Chionodraco rastrospinosus,Chionodraco,Channichthyidae,Perciformes/Notothenioidei
Chionoecetes,108.66916225749559,18.760118911952244,NA,Chionoecetes,Oregoniidae,Decapoda
Chionoecetes opilio,108.66916225749559,18.760118911952244,Chionoecetes opilio,Chionoecetes,Oregoniidae,Decapoda
Chirocentrus,144.5,18.8375,NA,Chirocentrus,Chirocentridae,Clupeiformes
Chirocentrus dorab,144.5,18.8375,Chirocentrus dorab,Chirocentrus,Chirocentridae,Clupeiformes
Chirocentrus nudus,144.5,18.8375,Chirocentrus nudus,Chirocentrus,Chirocentridae,Clupeiformes
Chlamys delicatula,108.66916225749559,18.760118911952244,NA,NA,NA,Pectinida
Chlamys islandica,108.66916225749559,18.760118911952244,Chlamys islandica,Chlamys,Pectinidae,Pectinida
Chlamys varia,108.66916225749559,18.760118911952244,Chlamys varia,Chlamys,Pectinidae,Pectinida
Chlorophthalmidae,108.66916225749559,18.760118911952244,NA,NA,Chlorophthalmidae,Aulopiformes
Chloroscombrus chrysurus,113.70822580645161,18.369090909090907,Chloroscombrus chrysurus,Chloroscombrus,Carangidae,Carangiformes
Chloroscombrus orqueta,113.70822580645161,18.369090909090907,Chloroscombrus orqueta,Chloroscombrus,Carangidae,Carangiformes
Choromytilus chorus,107.25982321161798,18.85700945291929,Choromytilus chorus,Choromytilus,Mytilidae,Mytilida
Chromis chromis,108.66916225749559,18.760118911952244,Chromis chromis,Chromis,Pomacentridae,Ovalentaria/misc
Chrysoblephus,101.79942381426093,19.698698344024102,NA,Chrysoblephus,Sparidae,Eupercaria/misc
Cilus gilberti,97.06833333333333,18.938333333333333,Cilus gilberti,Cilus,Sciaenidae,Eupercaria/misc
Citharichthys sordidus,99.77334588144599,18.29656793280483,Citharichthys sordidus,Citharichthys,Cyclopsettidae,Pleuronectiformes
Citharus linguatula,105,18.6,Citharus linguatula,Citharus,Citharidae,Pleuronectiformes
Clams cockles arkshells,108.66916225749559,18.760118911952244,NA,NA,NA,Arcida
Clinocardium nuttallii,107.25982321161798,18.85700945291929,Clinocardium nuttallii,Clinocardium,Cardiidae,Cardiida
Clupanodon thrissa,150,16.792,Clupanodon thrissa,Clupanodon,Clupeidae,Clupeiformes
Clupea harengus,117.40406250000001,17.680056818181818,Clupea harengus,Clupea,Clupeidae,Clupeiformes
Clupea pallasii pallasii,117.40406250000001,17.680056818181818,Clupea pallasii pallasii,Clupea,Clupeidae,Clupeiformes
Clupeidae,108.66916225749559,18.760118911952244,NA,NA,Clupeidae,Clupeiformes
Clupeiformes,108.66916225749559,18.760118911952244,NA,NA,NA,Clupeiformes
Clupeoids,108.66916225749559,18.760118911952244,NA,NA,NA,Clupeoids
Clupeonella cultriventris,145.32369771043125,18.116888903534736,Clupeonella cultriventris,Clupeonella,Clupeidae,Clupeiformes
Cololabis saira,131.03645161290322,20.138181818181817,Cololabis saira,Cololabis,Scomberesocidae,Beloniformes
Concholepas concholepas,108.66916225749559,18.760118911952244,Concholepas concholepas,Concholepas,Muricidae,Neogastropoda
Conger conger,125.87,17.814615384615387,Conger conger,Conger,Congridae,Anguilliformes
Conger myriaster,125.87,17.814615384615387,Conger myriaster,Conger,Congridae,Anguilliformes
Conger oceanicus,125.87,17.814615384615387,Conger oceanicus,Conger,Congridae,Anguilliformes
Conger orbignianus,125.87,17.814615384615387,Conger orbignianus,Conger,Congridae,Anguilliformes
Conodon nobilis,93.84,17.633333333333333,Conodon nobilis,Conodon,Haemulidae,Eupercaria/misc
Coregonus,106.595,18.417499999999997,NA,Coregonus,Salmonidae,Salmoniformes
Coregonus albula,98,18.99,Coregonus albula,Coregonus,Salmonidae,Salmoniformes
Coregonus lavaretus,115.19,17.845,Coregonus lavaretus,Coregonus,Salmonidae,Salmoniformes
Coryphaena,85,18.5,NA,Coryphaena,Coryphaenidae,Carangiformes
Coryphaena hippurus,85,18.5,Coryphaena hippurus,Coryphaena,Coryphaenidae,Carangiformes
Coryphaenoides rupestris,84.1672905643739,16.99752972798806,Coryphaenoides rupestris,Coryphaenoides,Macrouridae,Gadiformes
Cottidae,108.66916225749559,18.760118911952244,NA,NA,Cottidae,Perciformes/Cottoidei
Crangon,108.66916225749559,18.760118911952244,NA,Crangon,Alpheidae,Decapoda
Crangon,108.66916225749559,18.760118911952244,NA,NA,Crangonidae,Decapoda
Crangon crangon,108.66916225749559,18.760118911952244,Crangon crangon,NA,Crangonidae,Decapoda
Crassostrea,107.25982321161798,18.85700945291929,NA,Crassostrea,Ostreidae,Ostreida
Crassostrea gigas,107.25982321161798,18.85700945291929,Crassostrea gigas,Crassostrea,Ostreidae,Ostreida
Crassostrea iredalei,107.25982321161798,18.85700945291929,Crassostrea iredalei,Crassostrea,Ostreidae,Ostreida
