common_name,family,paper_name,protein_mean,energy_mean
Perches,Serranidae,Serranidae,18,NA
Pikes,Escoidae,Escoidae,19,NA
Pomfrets,Bramidae,Bramidae,18.9,93.3
Scallop,Pectinidae,Pectinidae,17.2,NA
Shad,Clupeidae,Clupeidae,17.4,87
Skates,Rajidae,Rajidae,20.3,80
Smelts,Osmeridae,Osmeridae,16.6,NA
Snappers,Lutjanidae,Lutjanidae,19.2,99.5
Snooks,Centropomidae,Centropomidae,18.5,82.5
Squid,Loliginidae,Loliginidae,15.3,89
Surgeonfish,Acanthuridae,Acanthuridae,18.7,92.2
Trouts,Salmonidae,Salmonidae,16.1,NA
Amberjacks,Carangidae,Seriola,21.1,96
Bonita,Scombridae,Sarda,24.7,NA
Bream,Sparidae,Pagellus,17.9,82.3
Carp,Cyprinidae,Barbus,20.6,NA
"Carp, Indian",Cyprinidae,Labeo,16.8,NA
Clam,NA,miscellaneous,11.7,NA
Cods,Gadidae,Gadus,18.8,86
Crab,NA,miscellaneous,15.8,NA
"Crab, deep sea",NA,Neptunnis,166.5,NA
Crayfish,NA,miscellaneous,18.7,NA
Hakes,Merlucciidae,Merluccius,16.3,86
Jacks,Carangidae,Caranx,19.9,96.6
Kingfishes,Sciaenidae,Menticirrhus,17.2,NA
Lobster,Palinuridae,Panulirus,19.6,95
Mackerel,Scombridae,Scomber,22,114
Mackerel,Scombridae,Scombermorus,18.9,103.4
Mackerel,Scombridae,Auxis,24.8,NA
"Mackerel, Indian",Scombridae,Rastrelliger,19.1,97.7
Mullet,Mugilidae,Mugil,19.2,128.4
Parrotfishes,Scaridae,Scaridaw,19.7,105
Pilchards,Clupeidae,Sardinops,16.7,87.3
Pompano,Carangidae,Trachinotus,19.3,86.2
Porgies,Sparidae,Dentex,19.9,94.7
Porgies,Sparidae,Sparus,20.8,100.7
Porgies,Sparidae,Pagrus,20.3,102
Prawns,NA,miscellaneous,16.8,NA
Puffer,Tetraodontidae,Sphoeroides,23.2,NA
Rockfishes,Sebastidae,Sebastes,18.8,NA
Scad,Carangidae,Decapterus,21.8,109
Sharks,NA,Mixed,22.7,101
Shrimp,NA,miscellaneous,20.5,88.3
Soles,Pleuronectidae,Limanda,18,NA
