iso3c,product,cumulative_pressure,million_kcal,tonnes_protein,pressure_per_tonne_protein,pressure_per_mill_kcal,plot_names
AFG,chickens_eggs,3.7587499121722656e-5,58193.51021155266,4580.3724692855785,0.008206210166044716,6.459053421091057e-4,chickens eggs
AFG,chickens_meat,3.531627383055905e-5,65804.12961875417,6276.107840038917,0.005627097993003902,5.366878041723071e-4,chickens meat
AFG,cattle_meat,3.562724487535396e-4,314568.89933815016,21670.12355342784,0.01644072069433049,0.0011325736571642438,cattle meat
AFG,cows_milk,0.0016379837976572705,1187913.6034490503,60177.15733786696,0.027219361467354593,0.001378874518232187,cows milk
AFG,goats_meat,3.9979474191331694e-4,78462.28555999439,8505.430443104588,0.04700464539539364,0.005095374663890246,goats meat
AFG,goats_milk,2.30612058169449e-4,85964.66008612138,4068.405979450793,0.056683639571432354,0.002682637934453722,goats milk
AFG,sheep_meat,4.6760361679229305e-4,296363.3588477589,18011.931339617062,0.025960770556781084,0.001577805092405164,sheep meat
AFG,sheep_milk,5.5170876043928e-4,196944.2752827998,12107.879722688744,0.04556609192321614,0.0028013444901968357,sheep milk
AGO,chickens_eggs,2.317268826845056e-5,94638.02473773736,7448.895959024743,0.0031108889687706787,2.448560008798487e-4,chickens eggs
AGO,chickens_meat,5.304362985298052e-5,119208.69802923632,11369.6001852275,0.004665390953843743,4.4496442566608187e-4,chickens meat
AGO,cattle_meat,0.0015168598019565682,252825.47954207152,17416.722983926855,0.08709214720567197,0.005999631859510246,cattle meat
AGO,cows_milk,2.0341873499268862e-4,143995.77129028214,7294.517176807856,0.027886524914827387,0.00141267158868586,cows milk
AGO,goats_meat,3.3439554440285415e-4,31888.751007924548,3456.7888467637817,0.09673588964391405,0.010486316767933459,goats meat
AGO,pigs_meat,0.0014578853936451413,328446.4115357348,11253.171714748025,0.12955328778414413,0.004438731380344291,pigs meat
AGO,sheep_meat,7.530038533855706e-5,10703.45549447558,650.518695066406,0.11575437556159744,0.007035147236088586,sheep meat
ALB,buffaloes_milk,1.7546668016133614e-8,12.87999931693377,0.5039451920516693,0.034818603873761254,0.001362319017599979,buffaloes milk
ALB,chickens_eggs,5.365301029318074e-5,85285.74579903873,6712.7843063650535,0.007992661143946936,6.290970406661493e-4,chickens eggs
ALB,chickens_meat,2.2166094705038985e-5,32574.444803460243,3106.806967896528,0.0071346868132095755,6.80474980886992e-4,chickens meat
