"common_name","scientific_name","gear","ghg_low","ghg_high","FUI_l_kg","fuel_cost","fui_l_t","ei_direct_kgco2_kgcatch"
"European pilchard","Sardina pilchardus","Purse seine",0.4,0.5,0.107,3.7,107,0.3959
"European pilchard","Sardina pilchardus","Midwater trawl",0.4,1.6,0.323,3.7,323,1.1951
"European anchovy","Engraulis encrasicolus","Midwater trawl",0.4,1.6,0.07,3.7,70,0.259
"European sprat","Sprattus sprattus","Midwater trawl",0.4,1.6,0.323,3.7,323,1.1951
"South American pilchard","Sardinops sagax","Purse seine",0.4,0.5,0.101,3.7,101,0.3737
"Indian oil sardine","Sardinella longiceps","Purse seine",0.6,0.7,0.128,3.7,128,0.4736
"Gulf menhaden","Brevoortia patronus","Purse seine",0.2,0.2,0.037,3.7,37,0.1369
"Pacific herring","Clupea pallasii pallasii","Purse seine",0.6,2.6,0.152,3.7,152,0.5624
"Atlantic mackerel","Scomber scombrus","Purse seine",0.2,0.3,0.043,3.7,43,0.1591
"South American pilchard","Sardinops sagax","Midwater trawl",0.4,1.6,0.323,3.7,323,1.1951
"Antarctic krill","Euphausia superba","Midwater trawl",0.5,0.8,0.143,3.7,143,0.5291
"Anchoveta","Engraulis ringens","Purse seine",0.1,0.1,0.015,3.7,15,0.0555
"Bigeye tuna","Thunnus obesus","Longlines",7,12.4,1.936,3.7,1936,7.1632
"Bigeye tuna","Thunnus obesus","Purse seine",2,2.1,0.461,3.7,461,1.7057
"Atlantic herring","Clupea harengus","Purse seine",0.2,0.4,0.05,3.7,50,0.185
"Atlantic menhaden","Brevoortia tyrannus","Purse seine",0.1,0.2,0.03,3.7,30,0.111
"Albacore","Thunnus alalunga","Longlines",4,5.8,1.181,3.7,1181,4.3697
"Capelin","Mallotus villosus","Purse seine",0.1,0.1,0.026,3.7,26,0.0962
"Yellowfin tuna","Thunnus albacares","Longlines",5,8.7,1.533,3.7,1533,5.6721
"Yellowfin tuna","Thunnus albacares","Purse seine",1.8,2.1,0.417,3.7,417,1.5429
"Atlantic bluefin tuna","Thunnus thynnus","Troll lines",4.9,6.6,1.267,3.7,1267,4.6879
"Atlantic bluefin tuna","Thunnus thynnus","Purse seine",1.6,2.8,0.519,3.7,519,1.9203
"Pacific bluefin tuna","Thunnus orientalis","Longlines",5,10.2,1.568,3.7,1568,5.8016
"Skipjack tuna","Katsuwonus pelamis","Pole and line",5.5,6.3,1.366,3.7,1366,5.0542
"Skipjack tuna","Katsuwonus pelamis","Purse seine",1.6,3.1,0.569,3.7,569,2.1053
"Southern bluefin tuna","Thunnus maccoyii","Longlines",5,10.2,1.568,3.7,1568,5.8016
"Sockeye salmon","Oncorhynchus nerka","Gillnets",3.5,4.3,0.89,3.7,890,3.293
"Sockeye salmon","Oncorhynchus nerka","Purse seine",1.6,2,0.455,3.7,455,1.6835
"Sockeye salmon","Oncorhynchus nerka","Troll lines",3.8,4.8,0.935,3.7,935,3.4595
"Swordfish","Xiphias gladius","Longlines",6.8,11.9,1.925,3.7,1925,7.1225
"Chinook salmon","Oncorhynchus tshawytscha","Gillnets",2.9,4.3,0.897,3.7,897,3.3189
"Chinook salmon","Oncorhynchus tshawytscha","Purse seine",1.4,1.4,0.341,3.7,341,1.2617
"Chinook salmon","Oncorhynchus tshawytscha","Troll lines",5.9,8.5,0.902,3.7,902,3.3374
"Chum salmon","Oncorhynchus keta","Gillnets",3.6,4.3,0.918,3.7,918,3.3966
"Chum salmon","Oncorhynchus keta","Purse seine",1.4,1.8,0.417,3.7,417,1.5429
