"Gear","ParkerGearName"
100,"Other"
110,"Other"
120,"Other"
213,"Other"
214,"Other"
221,"Other"
225,"Other"
312,"Other"
400,"Troll lines"
420,"Troll lines"
421,"Pole and line"
422,"Longlines"
423,"Longlines"
424,"Troll lines"
432,"Troll lines"
433,"Troll lines"
440,"Pole and line"
450,"Longlines"
500,"Traps"
540,"Traps"
551,"Traps"
552,"Traps"
553,"Traps"
560,"Traps"
563,"Traps"
700,"Traps"
830,"Dredge"
831,"Dredge"
840,"Bottom trawl"
850,"Midwater trawl"
900,"Purse seine"
920,"Purse seine"
921,"Purse seine"
922,"Purse seine"
1000,"Bottom trawl"
1010,"Purse seine"
1020,"Purse seine"
1030,"Purse seine"
1050,"Purse seine"
1100,"Purse seine"
1200,"Purse seine"
1210,"Purse seine"
1320,"Other"
1400,"Gillnets"
1410,"Gillnets"
1420,"Gillnets"
1500,"Gillnets"
1540,"Gillnets"
