iso3c	SPAM_super	tonnes	prop
AFG	spis	19189	0.3326860729208204
AFG	tnut	38490	0.6673139270791796
AFG	othr	NA	0
CYP	spis	0	0
CYP	tnut	424	1
CYP	othr	NA	0
ALA	spis	NA	0.3333333333333333
ALA	tnut	NA	0.3333333333333333
ALA	othr	NA	0.3333333333333333
ALB	spis	362	0.02212713936430318
ALB	tnut	13946	0.8524449877750612
ALB	othr	2052	0.1254278728606357
DZA	spis	15000	0.19497231393142173
DZA	tnut	61934	0.8050276860685782
DZA	othr	NA	0
ASM	spis	NA	0.3333333333333333
ASM	tnut	NA	0.3333333333333333
ASM	othr	NA	0.3333333333333333
AND	spis	NA	0.3333333333333333
AND	tnut	NA	0.3333333333333333
AND	othr	NA	0.3333333333333333
AGO	spis	NA	0
AGO	tnut	2120	1
AGO	othr	NA	0
AIA	spis	NA	0.3333333333333333
AIA	tnut	NA	0.3333333333333333
AIA	othr	NA	0.3333333333333333
ATG	spis	NA	0.3333333333333333
ATG	tnut	NA	0.3333333333333333
ATG	othr	NA	0.3333333333333333
ARG	spis	14765	0.428841126924194
ARG	tnut	19189	0.5573337205925065
ARG	othr	476	0.013825152483299448
ARM	spis	NA	0
ARM	tnut	5710	1
ARM	othr	NA	0
ABW	spis	NA	0.3333333333333333
ABW	tnut	NA	0.3333333333333333
ABW	othr	NA	0.3333333333333333
AUS	spis	1324	0.01036350543223019
AUS	tnut	125683	0.9837737562227997
AUS	othr	749	0.0058627383449700995
AUT	spis	NA	0
AUT	tnut	2633	0.8568174422388546
AUT	othr	440	0.14318255776114547
AZE	spis	NA	0
AZE	tnut	61335	1
AZE	othr	NA	0
BHS	spis	NA	0.3333333333333333
BHS	tnut	NA	0.3333333333333333
BHS	othr	NA	0.3333333333333333
BHR	spis	NA	0
BHR	tnut	350	1
BHR	othr	NA	0
BGD	spis	382350	0.6339744652628089
BGD	tnut	214000	0.3548333609683303
BGD	othr	6750	0.011192173768860886
BRB	spis	NA	0.3333333333333333
BRB	tnut	NA	0.3333333333333333
BRB	othr	NA	0.3333333333333333
BLR	spis	NA	0
BLR	tnut	19935	1
BLR	othr	NA	0
BEL	spis	NA	0
BEL	tnut	371	0.5033921302578019
BEL	othr	366	0.4966078697421981
BLZ	spis	NA	0.3333333333333333
BLZ	tnut	0	0.3333333333333333
BLZ	othr	NA	0.3333333333333333
BEN	spis	69615	0.3071787562823494
BEN	tnut	157012	0.6928212437176506
BEN	othr	NA	0
BMU	spis	NA	0.3333333333333333
BMU	tnut	NA	0.3333333333333333
BMU	othr	NA	0.3333333333333333
BTN	spis	27221	0.7480146189992031
BTN	tnut	9170	0.2519853810007969
BTN	othr	NA	0
BOL	spis	3418	0.025839324458152842
BOL	tnut	109714	0.8294135879466884
BOL	othr	19147	0.14474708759515872
BES	spis	NA	0.3333333333333333
BES	tnut	NA	0.3333333333333333
BES	othr	NA	0.3333333333333333
BIH	spis	26896	0.8954289709358458
BIH	tnut	3141	0.1045710290641542
BIH	othr	NA	0
BWA	spis	NA	0.3333333333333333
BWA	tnut	NA	0.3333333333333333
BWA	othr	NA	0.3333333333333333
BRA	spis	79106	0.17553521976851524
BRA	tnut	181045	0.4017365795640134
BRA	othr	190505	0.4227282006674714
IOT	spis	NA	0.3333333333333333
IOT	tnut	NA	0.3333333333333333
IOT	othr	NA	0.3333333333333333
VGB	spis	NA	0.3333333333333333
VGB	tnut	NA	0.3333333333333333
VGB	othr	NA	0.3333333333333333
BRN	spis	29	0.10247349823321555
BRN	tnut	NA	0
BRN	othr	254	0.8975265017667845
BGR	spis	80752	0.9311163895486936
BGR	tnut	5849	0.06744228950948966
BGR	othr	125	0.0014413209418167562
BFA	spis	6284	0.05828178184212723
BFA	tnut	101537	0.9417182181578728
BFA	othr	NA	0
BDI	spis	NA	0.3333333333333333
BDI	tnut	NA	0.3333333333333333
BDI	othr	NA	0.3333333333333333
KHM	spis	15308	0.37634910878918254
KHM	tnut	3296	0.08103257529194838
KHM	othr	22071	0.5426183159188691
CMR	spis	97481	0.478518903953582
CMR	tnut	50900	0.24986009798050207
CMR	othr	55333	0.27162099806591594
CAN	spis	12252	1
CAN	tnut	NA	0
CAN	othr	0	0
CPV	spis	1496	1
CPV	tnut	NA	0
CPV	othr	NA	0
CYM	spis	NA	0.3333333333333333
CYM	tnut	NA	0.3333333333333333
CYM	othr	NA	0.3333333333333333
CAF	spis	116	0.09090909090909091
CAF	tnut	NA	0
CAF	othr	1160	0.9090909090909091
