SPAM_short_name	SPAM_full_name	item_code	SPAM_super	split_rest_names
whea	wheat	15	whea	whea
rice	rice	27	rice	rice
maiz	maize	56	maiz	maiz
barl	barley	44	barl	barl
pmil	pearl millet	79	xmil	pmil
smil	small millet	79	xmil	smil
sorg	sorghum	83	sorg	sorg
ocer	other cereals	68	ocer	ocer
ocer	other cereals	71	ocer	ocer
ocer	other cereals	75	ocer	ocer
ocer	other cereals	89	ocer	ocer
ocer	other cereals	92	ocer	ocer
ocer	other cereals	94	ocer	ocer
ocer	other cereals	97	ocer	ocer
ocer	other cereals	101	ocer	ocer
ocer	other cereals	103	ocer	ocer
ocer	other cereals	108	ocer	ocer
pota	potato	116	pota	pota
swpo	sweet potato	122	swpo	swpo
yams	yams	137	yams	yams
cass	cassava	125	cass	cass
orts	other roots	135	orts	orts
orts	other roots	136	orts	orts
orts	other roots	149	orts	orts
bean	bean	176	xpul	bean
chic	chickpea	191	xpul	chic
cowp	cowpea	195	xpul	cowp
pige	pigeonpea	197	xpul	pige
lent	lentil	201	xpul	lent
opul	other pulses	181	xpul	opul
opul	other pulses	187	xpul	opul
opul	other pulses	203	xpul	opul
opul	other pulses	205	xpul	opul
opul	other pulses	210	xpul	opul
opul	other pulses	211	xpul	opul
soyb	soybean	236	soyb	soyb
grou	groundnut	242	xoil	grou
cnut	coconut	249	cnut	cnut
oilp	oilpalm	254	oilp	oilp
sunf	sunflower	267	xoil	sunf
rape	rapeseed	270	xoil	rape
rape	rapeseed	292	xoil	rape
sesa	sesameseed	289	xoil	sesa
sugc	sugarcane	156	sugc	sugc
sugb	sugarbeet	157	sugb	sugb
cott	cotton	328	xoil	cott
acof	arabica coffee	656	xcof	acof
rcof	robusta coffee	656	xcof	rcof
coco	cocoa	661	coco	coco
teas	tea	667	teas	teas
toba	tobacco	826	toba	toba
bana	banana	486	bana	bana
plnt	plantain	489	plnt	plnt
temf	temperate fruit	592	xfru	temf
temf	temperate fruit	619	xfru	temf
ooil	other oil crops	260	xoil	ooil
ooil	other oil crops	261	xoil	ooil
ooil	other oil crops	262	xoil	ooil
ooil	other oil crops	263	xoil	ooil
ooil	other oil crops	264	xoil	ooil
ooil	other oil crops	265	xoil	ooil
ooil	other oil crops	266	xoil	ooil
ooil	other oil crops	268	xoil	ooil
ooil	other oil crops	269	xoil	ooil
ooil	other oil crops	271	xoil	ooil
ooil	other oil crops	272	xoil	ooil
ooil	other oil crops	273	xoil	ooil
ooil	other oil crops	274	xoil	ooil
ooil	other oil crops	275	xoil	ooil
ooil	other oil crops	276	xoil	ooil
ooil	other oil crops	277	xoil	ooil
ooil	other oil crops	278	xoil	ooil
ooil	other oil crops	279	xoil	ooil
ooil	other oil crops	280	xoil	ooil
ooil	other oil crops	281	xoil	ooil
ooil	other oil crops	282	xoil	ooil
ooil	other oil crops	283	xoil	ooil
ooil	other oil crops	284	xoil	ooil
ooil	other oil crops	285	xoil	ooil
ooil	other oil crops	286	xoil	ooil
ooil	other oil crops	287	xoil	ooil
ooil	other oil crops	288	xoil	ooil
ooil	other oil crops	290	xoil	ooil
ooil	other oil crops	291	xoil	ooil
ooil	other oil crops	293	xoil	ooil
ooil	other oil crops	294	xoil	ooil
ooil	other oil crops	295	xoil	ooil
ooil	other oil crops	296	xoil	ooil
ooil	other oil crops	297	xoil	ooil
ooil	other oil crops	298	xoil	ooil
ooil	other oil crops	299	xoil	ooil
ooil	other oil crops	300	xoil	ooil
ooil	other oil crops	301	xoil	ooil
ooil	other oil crops	302	xoil	ooil
ooil	other oil crops	303	xoil	ooil
ooil	other oil crops	304	xoil	ooil
ooil	other oil crops	305	xoil	ooil
ooil	other oil crops	306	xoil	ooil
ooil	other oil crops	307	xoil	ooil
ooil	other oil crops	308	xoil	ooil
ooil	other oil crops	309	xoil	ooil
ooil	other oil crops	310	xoil	ooil
ooil	other oil crops	312	xoil	ooil
ooil	other oil crops	313	xoil	ooil
ooil	other oil crops	314	xoil	ooil
ooil	other oil crops	315	xoil	ooil
ooil	other oil crops	316	xoil	ooil
ooil	other oil crops	317	xoil	ooil
ooil	other oil crops	318	xoil	ooil
ooil	other oil crops	319	xoil	ooil
ooil	other oil crops	320	xoil	ooil
ooil	other oil crops	321	xoil	ooil
ooil	other oil crops	322	xoil	ooil
ooil	other oil crops	323	xoil	ooil
ooil	other oil crops	324	xoil	ooil
ooil	other oil crops	325	xoil	ooil
ooil	other oil crops	326	xoil	ooil
ooil	other oil crops	327	xoil	ooil
ooil	other oil crops	329	xoil	ooil
ooil	other oil crops	330	xoil	ooil
ooil	other oil crops	331	xoil	ooil
ooil	other oil crops	332	xoil	ooil
ooil	other oil crops	333	xoil	ooil
ooil	other oil crops	334	xoil	ooil
ooil	other oil crops	335	xoil	ooil
ooil	other oil crops	336	xoil	ooil
ooil	other oil crops	337	xoil	ooil
ooil	other oil crops	338	xoil	ooil
