SPAM_short_name,iso3c,2017,2010,coef
acof,AGO,15114,9951,1.518842327404281
acof,BDI,16340,89960,0.18163628279235217
acof,BEN,54,60,0.9
acof,BLZ,92,90,1.0222222222222221
acof,BOL,21181,27327,0.7750942291506568
acof,BRA,2684508,2907265,0.9233791897195474
acof,CAF,9221,5270,1.7497153700189754
acof,CHN,98105,49596,1.9780829099120898
acof,CIV,33600,94372,0.3560378078243547
acof,CMR,31056,66584,0.4664183587648684
acof,COD,29735,31840,0.9338881909547738
acof,COG,3024,2827,1.069685178634595
acof,COK,0,0,0
acof,COL,760209,535380,1.419942844334865
acof,COM,136,126,1.0793650793650793
acof,CPV,47,0,0
acof,CRI,97152,91620,1.0603798297314997
acof,CUB,6221,8430,0.7379596678529063
acof,DMA,232,308,0.7532467532467533
acof,DOM,15241,21876,0.6966995794477967
acof,ECU,7564,31347,0.2412990078795419
acof,ETH,467679,370569,1.2620564591209735
acof,FJI,19,15,1.2666666666666666
acof,GAB,91,113,0.8053097345132744
acof,GHA,769,1200,0.6408333333333334
acof,GIN,40800,29018,1.4060238472672135
acof,GLP,30,30,1
acof,GNQ,4271,4251,1.004704775346977
acof,GTM,246319,248355,0.9918020575386041
acof,GUY,407,420,0.969047619047619
acof,HND,473718,244335,1.9388053287494629
acof,HTI,42871,38193,1.1224831775456234
acof,IDN,668677,684076,0.9774893432893421
acof,IND,312000,289600,1.0773480662983426
acof,JAM,6222,9121,0.6821620436355663
acof,KEN,38620,42000,0.9195238095238095
acof,KHM,376,362,1.0386740331491713
acof,LAO,150795,46290,3.257615035644848
acof,LBR,650,600,1.0833333333333333
acof,LKA,5431,5240,1.0364503816793893
acof,MDG,59602,58178,1.024476606277287
acof,MEX,153795,245271,0.6270411096297565
acof,MMR,8546,7300,1.1706849315068493
acof,MOZ,840,770,1.0909090909090908
acof,MTQ,27,30,0.9
acof,MWI,8420,4176,2.0162835249042144
acof,MYS,8109,15768,0.514269406392694
acof,NCL,5,13,0.38461538461538464
acof,NGA,1898,2400,0.7908333333333334
acof,NIC,128111,78712,1.6275917268015043
acof,NPL,466,307,1.517915309446254
acof,PAN,6588,12470,0.528307939053729
acof,PER,337330,264605,1.2748436348519492
acof,PHL,62078,94536,0.6566598967589067
acof,PNG,58332,52220,1.1170432784373803
acof,PRI,3830,6432,0.5954601990049752
acof,PRY,442,370,1.1945945945945946
acof,PYF,22,18,1.2222222222222223
acof,RWA,19231,19319,0.9954448988042859
acof,SAU,0,0,0
acof,SLE,29867,26130,1.1430156907768847
acof,SLV,41141,112636,0.36525622358748533
acof,STP,10,15,0.6666666666666666
acof,SUR,5,6,0.8333333333333334
acof,TGO,18476,11500,1.606608695652174
acof,THA,34314,48955,0.7009294249821264
acof,TLS,9174,12653,0.7250454437682763
acof,TON,16,16,1
acof,TTO,51,51,1
acof,TWN,0,0,0
acof,TZA,55747,40000,1.393675
acof,UGA,209421,166968,1.254258300991807
acof,USA,2200,3990,0.5513784461152882
acof,VCT,181,200,0.905
acof,VEN,46650,71687,0.6507456024104789
acof,VNM,1542398,1105700,1.3949516143619427
acof,VUT,29,24,1.2083333333333333
acof,WSM,12,10,1.2
acof,YEM,18767,19029,0.9862315413316517
acof,ZMB,6996,6422,1.089380255372158
acof,ZWE,638,600,1.0633333333333332
bana,AGO,4093281,2047955,1.9987162803870202
bana,ARE,201,187,1.0748663101604279
bana,ARG,174615,171039,1.0209075123217513
bana,ASM,842,902,0.9334811529933481
bana,ATG,266,225,1.1822222222222223
bana,AUS,412972,302173,1.366674057576289
bana,BDI,830957,1912661,0.4344507468913728
bana,BEN,21462,16194,1.3253056687662097
bana,BGD,807104,818254,0.9863734243890039
bana,BHR,991,948,1.0453586497890295
bana,BHS,9811,8226,1.1926817408217847
bana,BLZ,85165,77792,1.0947783833813245
bana,BMU,326,312,1.044871794871795
bana,BOL,289674,159681,1.814079320645537
bana,BRA,6584967,6969306,0.9448526151671343
bana,BRB,1024,846,1.210401891252955
bana,BRN,1822,843,2.1613285883748516
bana,BTN,3113,2208,1.4098731884057971
bana,CAF,83280,126000,0.660952380952381
bana,CHN,11170000,9560500,1.1683489357251189
bana,CIV,400000,314270,1.2727909122728864
