SPAM_short_name	SPAM_full_name	item_code	SPAM_super
whea	wheat	15	whea
rice	rice	27	rice
maiz	maize	56	maiz
barl	barley	44	barl
pmil	pearl millet	79	xmil
smil	small millet	79	xmil
sorg	sorghum	83	sorg
ocer	other cereals	68	ocer
ocer	other cereals	71	ocer
ocer	other cereals	75	ocer
ocer	other cereals	89	ocer
ocer	other cereals	92	ocer
ocer	other cereals	94	ocer
ocer	other cereals	97	ocer
ocer	other cereals	101	ocer
ocer	other cereals	103	ocer
ocer	other cereals	108	ocer
pota	potato	116	pota
swpo	sweet potato	122	swpo
yams	yams	137	yams
cass	cassava	125	cass
orts	other roots	135	orts
orts	other roots	136	orts
orts	other roots	149	orts
bean	bean	176	xpul
chic	chickpea	191	xpul
cowp	cowpea	195	xpul
pige	pigeonpea	197	xpul
lent	lentil	201	xpul
opul	other pulses	181	xpul
opul	other pulses	187	xpul
opul	other pulses	203	xpul
opul	other pulses	205	xpul
opul	other pulses	210	xpul
opul	other pulses	211	xpul
soyb	soybean	236	soyb
grou	groundnut	242	xoil
cnut	coconut	249	cnut
oilp	oilpalm	254	oilp
sunf	sunflower	267	xoil
rape	rapeseed	270	xoil
rape	rapeseed	292	xoil
sesa	sesameseed	289	xoil
sugc	sugarcane	156	sugc
sugb	sugarbeet	157	sugb
cott	cotton	328	xoil
acof	arabica coffee	656	xcof
rcof	robusta coffee	656	xcof
coco	cocoa	661	coco
teas	tea	667	teas
toba	tobacco	826	toba
bana	banana	486	bana
plnt	plantain	489	plnt
temf	temperate fruit	592	xfru
temf	temperate fruit	619	xfru
rest	rest of crops	161	rest
rest	rest of crops	671	rest
ooil	other oil crops	260	xoil
ooil	other oil crops	261	xoil
ooil	other oil crops	262	xoil
ooil	other oil crops	263	xoil
ooil	other oil crops	264	xoil
ooil	other oil crops	265	xoil
ooil	other oil crops	266	xoil
ooil	other oil crops	268	xoil
ooil	other oil crops	269	xoil
ooil	other oil crops	271	xoil
ooil	other oil crops	272	xoil
ooil	other oil crops	273	xoil
ooil	other oil crops	274	xoil
ooil	other oil crops	275	xoil
ooil	other oil crops	276	xoil
ooil	other oil crops	277	xoil
ooil	other oil crops	278	xoil
ooil	other oil crops	279	xoil
ooil	other oil crops	280	xoil
ooil	other oil crops	281	xoil
ooil	other oil crops	282	xoil
ooil	other oil crops	283	xoil
ooil	other oil crops	284	xoil
ooil	other oil crops	285	xoil
ooil	other oil crops	286	xoil
ooil	other oil crops	287	xoil
ooil	other oil crops	288	xoil
ooil	other oil crops	290	xoil
ooil	other oil crops	291	xoil
ooil	other oil crops	293	xoil
ooil	other oil crops	294	xoil
ooil	other oil crops	295	xoil
ooil	other oil crops	296	xoil
ooil	other oil crops	297	xoil
ooil	other oil crops	298	xoil
ooil	other oil crops	299	xoil
ooil	other oil crops	300	xoil
ooil	other oil crops	301	xoil
ooil	other oil crops	302	xoil
ooil	other oil crops	303	xoil
ooil	other oil crops	304	xoil
ooil	other oil crops	305	xoil
ooil	other oil crops	306	xoil
ooil	other oil crops	307	xoil
ooil	other oil crops	308	xoil
ooil	other oil crops	309	xoil
ooil	other oil crops	310	xoil
ooil	other oil crops	312	xoil
ooil	other oil crops	313	xoil
ooil	other oil crops	314	xoil
ooil	other oil crops	315	xoil
ooil	other oil crops	316	xoil
ooil	other oil crops	317	xoil
ooil	other oil crops	318	xoil
ooil	other oil crops	319	xoil
ooil	other oil crops	320	xoil
ooil	other oil crops	321	xoil
ooil	other oil crops	322	xoil
ooil	other oil crops	323	xoil
ooil	other oil crops	324	xoil
ooil	other oil crops	325	xoil
ooil	other oil crops	326	xoil
ooil	other oil crops	327	xoil
ooil	other oil crops	329	xoil
ooil	other oil crops	330	xoil
ooil	other oil crops	331	xoil
ooil	other oil crops	332	xoil
ooil	other oil crops	333	xoil
ooil	other oil crops	334	xoil
ooil	other oil crops	335	xoil
ooil	other oil crops	336	xoil
ooil	other oil crops	337	xoil
ooil	other oil crops	338	xoil
ooil	other oil crops	339	xoil
ofib	other fibre crops	773	ofib
ofib	other fibre crops	774	ofib
ofib	other fibre crops	775	ofib
ofib	other fibre crops	776	ofib
ofib	other fibre crops	777	ofib
ofib	other fibre crops	778	ofib
ofib	other fibre crops	779	ofib
ofib	other fibre crops	780	ofib
ofib	other fibre crops	781	ofib
ofib	other fibre crops	782	ofib
ofib	other fibre crops	783	ofib
ofib	other fibre crops	784	ofib
ofib	other fibre crops	785	ofib
ofib	other fibre crops	786	ofib
ofib	other fibre crops	787	ofib
ofib	other fibre crops	788	ofib
ofib	other fibre crops	789	ofib
ofib	other fibre crops	790	ofib
ofib	other fibre crops	791	ofib
ofib	other fibre crops	792	ofib
ofib	other fibre crops	793	ofib
ofib	other fibre crops	794	ofib
ofib	other fibre crops	795	ofib
ofib	other fibre crops	796	ofib
ofib	other fibre crops	797	ofib
ofib	other fibre crops	798	ofib
ofib	other fibre crops	799	ofib
ofib	other fibre crops	800	ofib
ofib	other fibre crops	801	ofib
ofib	other fibre crops	802	ofib
ofib	other fibre crops	803	ofib
ofib	other fibre crops	804	ofib
ofib	other fibre crops	805	ofib
ofib	other fibre crops	806	ofib
ofib	other fibre crops	807	ofib
ofib	other fibre crops	808	ofib
ofib	other fibre crops	809	ofib
ofib	other fibre crops	810	ofib
ofib	other fibre crops	811	ofib
ofib	other fibre crops	812	ofib
ofib	other fibre crops	813	ofib
ofib	other fibre crops	814	ofib
ofib	other fibre crops	815	ofib
ofib	other fibre crops	816	ofib
ofib	other fibre crops	817	ofib
ofib	other fibre crops	818	ofib
ofib	other fibre crops	819	ofib
ofib	other fibre crops	820	ofib
ofib	other fibre crops	821	ofib
trof	tropical fruit	490	xfru
trof	tropical fruit	491	xfru
trof	tropical fruit	492	xfru
trof	tropical fruit	493	xfru
trof	tropical fruit	494	xfru
trof	tropical fruit	495	xfru
trof	tropical fruit	496	xfru
trof	tropical fruit	497	xfru
trof	tropical fruit	498	xfru
trof	tropical fruit	499	xfru
trof	tropical fruit	500	xfru
trof	tropical fruit	501	xfru
trof	tropical fruit	502	xfru
trof	tropical fruit	503	xfru
