ID_0,production,iso3c,Country,split_rest_names,prod_system
1,204.72420573234558,AFG,Afghanistan,fodd,I
3,188.82524490356445,ALA,Åland,fodd,I
4,1106629.7816538513,ALB,Albania,fodd,I
5,0,DZA,Algeria,fodd,I
6,0,ASM,American Samoa,fodd,I
7,0,AND,Andorra,fodd,I
8,0,AGO,Angola,fodd,I
9,0,AIA,Anguilla,fodd,I
11,0,ATG,Antigua and Barbuda,fodd,I
12,73.66939282417297,ARG,Argentina,fodd,I
13,591835.5489754677,ARM,Armenia,fodd,I
14,0,ABW,Aruba,fodd,I
15,8743570.166129002,AUS,Australia,fodd,I
16,212144.57961444499,AUT,Austria,fodd,I
17,920945.1780039072,AZE,Azerbaijan,fodd,I
18,0,BHS,Bahamas,fodd,I
19,32608.271484375,BHR,Bahrain,fodd,I
20,0,BGD,Bangladesh,fodd,I
21,0,BRB,Barbados,fodd,I
22,254459.1154665947,BLR,Belarus,fodd,I
23,228287.19632971287,BEL,Belgium,fodd,I
24,0,BLZ,Belize,fodd,I
25,0,BEN,Benin,fodd,I
26,0,BMU,Bermuda,fodd,I
27,0,BTN,Bhutan,fodd,I
28,31.85228729248047,BOL,Bolivia,fodd,I
29,0,BES,"Bonaire, Sint Eustatius and Saba",fodd,I
30,1749.328144699335,BIH,Bosnia and Herzegovina,fodd,I
31,220.20111083984375,BWA,Botswana,fodd,I
33,0,BRA,Brazil,fodd,I
34,0,IOT,British Indian Ocean Territory,fodd,I
35,0,VGB,British Virgin Islands,fodd,I
36,0,BRN,Brunei,fodd,I
37,42062.55481413379,BGR,Bulgaria,fodd,I
38,0,BFA,Burkina Faso,fodd,I
39,0,BDI,Burundi,fodd,I
40,0,KHM,Cambodia,fodd,I
41,0,CMR,Cameroon,fodd,I
42,1022331.8580498951,CAN,Canada,fodd,I
43,0,CPV,Cape Verde,fodd,I
45,0,CYM,Cayman Islands,fodd,I
46,0,CAF,Central African Republic,fodd,I
47,0,TCD,Chad,fodd,I
48,1445024.0821592864,CHL,Chile,fodd,I
49,1371.1548737287521,CHN,China,fodd,I
50,0,CXR,Christmas Island,fodd,I
52,0,CCK,Cocos Islands,fodd,I
53,4.888715654516318e-9,COL,Colombia,fodd,I
54,0,COM,Comoros,fodd,I
55,0,COK,Cook Islands,fodd,I
56,0,CRI,Costa Rica,fodd,I
57,0,CIV,Côte d'Ivoire,fodd,I
58,15820.266900449991,HRV,Croatia,fodd,I
59,0,CUB,Cuba,fodd,I
60,0,CUW,Curaçao,fodd,I
61,133556.68588352203,CYP,Cyprus,fodd,I
62,61010.83922988176,CZE,Czech Republic,fodd,I
64,2004115.50832963,DNK,Denmark,fodd,I
65,0,DJI,Djibouti,fodd,I
66,0,DMA,Dominica,fodd,I
67,0,DOM,Dominican Republic,fodd,I
68,0,ECU,Ecuador,fodd,I
69,52471491.57588196,EGY,Egypt,fodd,I
70,0,SLV,El Salvador,fodd,I
71,0,GNQ,Equatorial Guinea,fodd,I
72,0,ERI,Eritrea,fodd,I
73,13223.095362663269,EST,Estonia,fodd,I
74,0,ETH,Ethiopia,fodd,I
75,0,FLK,Falkland Islands,fodd,I
76,0,FRO,Faroe Islands,fodd,I
77,0,FJI,Fiji,fodd,I
78,175354.460025616,FIN,Finland,fodd,I
79,8264590.952208274,FRA,France,fodd,I
80,0,GUF,French Guiana,fodd,I
81,0,PYF,French Polynesia,fodd,I
83,0,GAB,Gabon,fodd,I
84,0,GMB,Gambia,fodd,I
85,19353.92505952716,GEO,Georgia,fodd,I
86,8335377.259508312,DEU,Germany,fodd,I
87,0,GHA,Ghana,fodd,I
88,0,GIB,Gibraltar,fodd,I
89,2099396.791112202,GRC,Greece,fodd,I
90,0,GRL,Greenland,fodd,I
91,0,GRD,Grenada,fodd,I
92,0,GLP,Guadeloupe,fodd,I
93,0,GUM,Guam,fodd,I
94,0,GTM,Guatemala,fodd,I
95,0,GGY,Guernsey,fodd,I
96,0,GIN,Guinea,fodd,I
97,0,GNB,Guinea-Bissau,fodd,I
98,0,GUY,Guyana,fodd,I
99,0,HTI,Haiti,fodd,I
101,0,HND,Honduras,fodd,I
102,0,HKG,Hong Kong,fodd,I
103,124324.34597998857,HUN,Hungary,fodd,I
104,0,ISL,Iceland,fodd,I
105,0,IND,India,fodd,I
106,0,IDN,Indonesia,fodd,I
107,131.99464416503906,IRN,Iran,fodd,I
108,184649.31631116383,IRQ,Iraq,fodd,I
109,4268.277058967826,IRL,Ireland,fodd,I
110,0,IMN,Isle of Man,fodd,I
111,580574.9505195618,ISR,Israel,fodd,I
112,12173895.625751888,ITA,Italy,fodd,I
113,0,JAM,Jamaica,fodd,I
114,8224427.21887507,JPN,Japan,fodd,I
115,0,JEY,Jersey,fodd,I
116,32229.527256429195,JOR,Jordan,fodd,I
117,1837929.8030410912,KAZ,Kazakhstan,fodd,I
118,0,KEN,Kenya,fodd,I
119,0,KIR,Kiribati,fodd,I
120,34245.157707333565,XKO,Kosovo,fodd,I
121,21863.983430862427,KWT,Kuwait,fodd,I
