SPAM_short_name	iso3c	tonnes
acof	CPV	47
bana	LKA	62549
bana	SLV	13811
chic	COL	104
chic	RUS	418646
cowp	CHN	15626
cowp	GHA	211470
cowp	HUN	5
grou	BTN	100
ooil	BOL	65
plnt	FJI	5137
plnt	GRD	186
plnt	STP	41679
pmil	JOR	7
rcof	CPV	47
sesa	MWI	2721
smil	JOR	7
sorg	AZE	202
sorg	NCL	286
soyb	UZB	6138
sugb	TUN	76917
sugc	FRA	2860410
sunf	BTN	20
toba	AUT	108
whea	NCL	14
smil	SDN	879000
smil	SSD	5000
