Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
QC,Crops,2,Afghanistan,5510,Production,221,"Almonds, with shell",2010,2010,56000
QC,Crops,2,Afghanistan,5510,Production,221,"Almonds, with shell",2017,2017,27291
QC,Crops,2,Afghanistan,5510,Production,711,"Anise, badian, fennel, coriander",2010,2010,10200
QC,Crops,2,Afghanistan,5510,Production,711,"Anise, badian, fennel, coriander",2017,2017,19180
QC,Crops,2,Afghanistan,5510,Production,515,Apples,2010,2010,59850
QC,Crops,2,Afghanistan,5510,Production,515,Apples,2017,2017,175000
QC,Crops,2,Afghanistan,5510,Production,526,Apricots,2010,2010,66560
QC,Crops,2,Afghanistan,5510,Production,526,Apricots,2017,2017,131816
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2010,2010,437000
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2017,2017,94995
QC,Crops,2,Afghanistan,5510,Production,558,Berries nes,2010,2010,29765
QC,Crops,2,Afghanistan,5510,Production,558,Berries nes,2017,2017,23343
QC,Crops,2,Afghanistan,5510,Production,569,Figs,2010,2010,8658
QC,Crops,2,Afghanistan,5510,Production,569,Figs,2017,2017,6378
QC,Crops,2,Afghanistan,5510,Production,512,"Fruit, citrus nes",2010,2010,2000
QC,Crops,2,Afghanistan,5510,Production,512,"Fruit, citrus nes",2017,2017,18129
QC,Crops,2,Afghanistan,5510,Production,619,"Fruit, fresh nes",2010,2010,100956
QC,Crops,2,Afghanistan,5510,Production,619,"Fruit, fresh nes",2017,2017,81895
QC,Crops,2,Afghanistan,5510,Production,541,"Fruit, stone nes",2010,2010,45000
QC,Crops,2,Afghanistan,5510,Production,541,"Fruit, stone nes",2017,2017,51190
QC,Crops,2,Afghanistan,5510,Production,560,Grapes,2010,2010,397000
QC,Crops,2,Afghanistan,5510,Production,560,Grapes,2017,2017,859903
QC,Crops,2,Afghanistan,5510,Production,333,Linseed,2010,2010,1200
QC,Crops,2,Afghanistan,5510,Production,333,Linseed,2017,2017,1740
QC,Crops,2,Afghanistan,5510,Production,56,Maize,2010,2010,301000
QC,Crops,2,Afghanistan,5510,Production,56,Maize,2017,2017,173912
QC,Crops,2,Afghanistan,5510,Production,568,"Melons, other (inc.cantaloupes)",2010,2010,350000
QC,Crops,2,Afghanistan,5510,Production,568,"Melons, other (inc.cantaloupes)",2017,2017,327630
QC,Crops,2,Afghanistan,5510,Production,79,Millet,2010,2010,15000
QC,Crops,2,Afghanistan,5510,Production,79,Millet,2017,2017,11948
QC,Crops,2,Afghanistan,5510,Production,234,Nuts nes,2010,2010,1003
QC,Crops,2,Afghanistan,5510,Production,234,Nuts nes,2017,2017,1328
QC,Crops,2,Afghanistan,5510,Production,260,Olives,2010,2010,7300
QC,Crops,2,Afghanistan,5510,Production,260,Olives,2017,2017,7878
QC,Crops,2,Afghanistan,5510,Production,403,"Onions, dry",2010,2010,309763
QC,Crops,2,Afghanistan,5510,Production,403,"Onions, dry",2017,2017,212000
QC,Crops,2,Afghanistan,5510,Production,490,Oranges,2010,2010,2000
QC,Crops,2,Afghanistan,5510,Production,490,Oranges,2017,2017,3914
QC,Crops,2,Afghanistan,5510,Production,534,Peaches and nectarines,2010,2010,13400
QC,Crops,2,Afghanistan,5510,Production,534,Peaches and nectarines,2017,2017,54752
QC,Crops,2,Afghanistan,5510,Production,521,Pears,2010,2010,2419
QC,Crops,2,Afghanistan,5510,Production,521,Pears,2017,2017,14787
QC,Crops,2,Afghanistan,5510,Production,223,Pistachios,2010,2010,2560
QC,Crops,2,Afghanistan,5510,Production,223,Pistachios,2017,2017,2726
QC,Crops,2,Afghanistan,5510,Production,536,Plums and sloes,2010,2010,31082
QC,Crops,2,Afghanistan,5510,Production,536,Plums and sloes,2017,2017,24794
QC,Crops,2,Afghanistan,5510,Production,116,Potatoes,2010,2010,246000
QC,Crops,2,Afghanistan,5510,Production,116,Potatoes,2017,2017,513194
QC,Crops,2,Afghanistan,5510,Production,211,Pulses nes,2010,2010,53300
QC,Crops,2,Afghanistan,5510,Production,211,Pulses nes,2017,2017,36458
QC,Crops,2,Afghanistan,5510,Production,27,"Rice, paddy",2010,2010,672000
QC,Crops,2,Afghanistan,5510,Production,27,"Rice, paddy",2017,2017,338420
QC,Crops,2,Afghanistan,5510,Production,30,"Rice, paddy (rice milled equivalent)",2010,2010,448224
QC,Crops,2,Afghanistan,5510,Production,30,"Rice, paddy (rice milled equivalent)",2017,2017,225726
QC,Crops,2,Afghanistan,5510,Production,328,Seed cotton,2010,2010,33000
QC,Crops,2,Afghanistan,5510,Production,328,Seed cotton,2017,2017,36770
QC,Crops,2,Afghanistan,5510,Production,289,Sesame seed,2010,2010,32000
QC,Crops,2,Afghanistan,5510,Production,289,Sesame seed,2017,2017,32000
QC,Crops,2,Afghanistan,5510,Production,723,Spices nes,2010,2010,4
QC,Crops,2,Afghanistan,5510,Production,723,Spices nes,2017,2017,9
QC,Crops,2,Afghanistan,5510,Production,157,Sugar beet,2010,2010,15200
QC,Crops,2,Afghanistan,5510,Production,157,Sugar beet,2017,2017,2102
QC,Crops,2,Afghanistan,5510,Production,156,Sugar cane,2010,2010,92400
QC,Crops,2,Afghanistan,5510,Production,156,Sugar cane,2017,2017,33725
QC,Crops,2,Afghanistan,5510,Production,267,Sunflower seed,2010,2010,245
QC,Crops,2,Afghanistan,5510,Production,267,Sunflower seed,2017,2017,389
QC,Crops,2,Afghanistan,5510,Production,463,"Vegetables, fresh nes",2010,2010,660000
QC,Crops,2,Afghanistan,5510,Production,463,"Vegetables, fresh nes",2017,2017,681828
QC,Crops,2,Afghanistan,5510,Production,222,"Walnuts, with shell",2010,2010,11900
QC,Crops,2,Afghanistan,5510,Production,222,"Walnuts, with shell",2017,2017,7145
QC,Crops,2,Afghanistan,5510,Production,567,Watermelons,2010,2010,251420
QC,Crops,2,Afghanistan,5510,Production,567,Watermelons,2017,2017,683778
QC,Crops,2,Afghanistan,5510,Production,15,Wheat,2010,2010,4532000
QC,Crops,2,Afghanistan,5510,Production,15,Wheat,2017,2017,4280776
QC,Crops,3,Albania,5510,Production,515,Apples,2010,2010,54604
QC,Crops,3,Albania,5510,Production,515,Apples,2017,2017,96338
QC,Crops,3,Albania,5510,Production,526,Apricots,2010,2010,3471
QC,Crops,3,Albania,5510,Production,526,Apricots,2017,2017,5040
QC,Crops,3,Albania,5510,Production,44,Barley,2010,2010,7300
QC,Crops,3,Albania,5510,Production,44,Barley,2017,2017,9035
QC,Crops,3,Albania,5510,Production,176,"Beans, dry",2010,2010,24000
QC,Crops,3,Albania,5510,Production,176,"Beans, dry",2017,2017,21200
QC,Crops,3,Albania,5510,Production,414,"Beans, green",2010,2010,9307
QC,Crops,3,Albania,5510,Production,414,"Beans, green",2017,2017,10274
QC,Crops,3,Albania,5510,Production,181,"Broad beans, horse beans, dry",2010,2010,200
QC,Crops,3,Albania,5510,Production,181,"Broad beans, horse beans, dry",2017,2017,207
QC,Crops,3,Albania,5510,Production,358,Cabbages and other brassicas,2010,2010,35832
QC,Crops,3,Albania,5510,Production,358,Cabbages and other brassicas,2017,2017,52600
QC,Crops,3,Albania,5510,Production,426,Carrots and turnips,2010,2010,6303
QC,Crops,3,Albania,5510,Production,426,Carrots and turnips,2017,2017,11974
QC,Crops,3,Albania,5510,Production,393,Cauliflowers and broccoli,2010,2010,4601
QC,Crops,3,Albania,5510,Production,393,Cauliflowers and broccoli,2017,2017,5294
QC,Crops,3,Albania,5510,Production,531,Cherries,2010,2010,12528
QC,Crops,3,Albania,5510,Production,531,Cherries,2017,2017,19169
QC,Crops,3,Albania,5510,Production,530,"Cherries, sour",2010,2010,15000
QC,Crops,3,Albania,5510,Production,530,"Cherries, sour",2017,2017,18054
QC,Crops,3,Albania,5510,Production,220,Chestnut,2010,2010,5450
QC,Crops,3,Albania,5510,Production,220,Chestnut,2017,2017,6226
QC,Crops,3,Albania,5510,Production,401,"Chillies and peppers, green",2010,2010,65475
QC,Crops,3,Albania,5510,Production,401,"Chillies and peppers, green",2017,2017,75211
QC,Crops,3,Albania,5510,Production,397,Cucumbers and gherkins,2010,2010,68959
QC,Crops,3,Albania,5510,Production,397,Cucumbers and gherkins,2017,2017,110210
QC,Crops,3,Albania,5510,Production,577,Dates,2010,2010,10921
QC,Crops,3,Albania,5510,Production,577,Dates,2017,2017,12978
QC,Crops,3,Albania,5510,Production,399,Eggplants (aubergines),2010,2010,23641
QC,Crops,3,Albania,5510,Production,399,Eggplants (aubergines),2017,2017,27898
QC,Crops,3,Albania,5510,Production,569,Figs,2010,2010,18387
QC,Crops,3,Albania,5510,Production,569,Figs,2017,2017,20077
QC,Crops,3,Albania,5510,Production,512,"Fruit, citrus nes",2010,2010,200
QC,Crops,3,Albania,5510,Production,512,"Fruit, citrus nes",2017,2017,12
QC,Crops,3,Albania,5510,Production,619,"Fruit, fresh nes",2010,2010,8947
QC,Crops,3,Albania,5510,Production,619,"Fruit, fresh nes",2017,2017,11568
QC,Crops,3,Albania,5510,Production,541,"Fruit, stone nes",2010,2010,
QC,Crops,3,Albania,5510,Production,541,"Fruit, stone nes",2017,2017,
QC,Crops,3,Albania,5510,Production,406,Garlic,2010,2010,8132
QC,Crops,3,Albania,5510,Production,406,Garlic,2017,2017,14544
QC,Crops,3,Albania,5510,Production,560,Grapes,2010,2010,184900
QC,Crops,3,Albania,5510,Production,560,Grapes,2017,2017,202948
QC,Crops,3,Albania,5510,Production,677,Hops,2010,2010,1550
QC,Crops,3,Albania,5510,Production,677,Hops,2017,2017,2052
QC,Crops,3,Albania,5510,Production,407,"Leeks, other alliaceous vegetables",2010,2010,20682
QC,Crops,3,Albania,5510,Production,407,"Leeks, other alliaceous vegetables",2017,2017,34393
QC,Crops,3,Albania,5510,Production,497,Lemons and limes,2010,2010,1637
QC,Crops,3,Albania,5510,Production,497,Lemons and limes,2017,2017,3216
QC,Crops,3,Albania,5510,Production,372,Lettuce and chicory,2010,2010,8995
QC,Crops,3,Albania,5510,Production,372,Lettuce and chicory,2017,2017,17228
QC,Crops,3,Albania,5510,Production,56,Maize,2010,2010,362000
QC,Crops,3,Albania,5510,Production,56,Maize,2017,2017,381059
QC,Crops,3,Albania,5510,Production,568,"Melons, other (inc.cantaloupes)",2010,2010,64622
QC,Crops,3,Albania,5510,Production,568,"Melons, other (inc.cantaloupes)",2017,2017,43654
QC,Crops,3,Albania,5510,Production,449,Mushrooms and truffles,2010,2010,100
QC,Crops,3,Albania,5510,Production,449,Mushrooms and truffles,2017,2017,100
QC,Crops,3,Albania,5510,Production,234,Nuts nes,2010,2010,5167
QC,Crops,3,Albania,5510,Production,234,Nuts nes,2017,2017,7720
QC,Crops,3,Albania,5510,Production,75,Oats,2010,2010,27300
QC,Crops,3,Albania,5510,Production,75,Oats,2017,2017,34068
QC,Crops,3,Albania,5510,Production,430,Okra,2010,2010,7873
QC,Crops,3,Albania,5510,Production,430,Okra,2017,2017,8023
QC,Crops,3,Albania,5510,Production,260,Olives,2010,2010,70000
QC,Crops,3,Albania,5510,Production,260,Olives,2017,2017,107830
QC,Crops,3,Albania,5510,Production,403,"Onions, dry",2010,2010,70344
QC,Crops,3,Albania,5510,Production,403,"Onions, dry",2017,2017,113736
QC,Crops,3,Albania,5510,Production,402,"Onions, shallots, green",2010,2010,33415
QC,Crops,3,Albania,5510,Production,402,"Onions, shallots, green",2017,2017,40393
QC,Crops,3,Albania,5510,Production,490,Oranges,2010,2010,6631
QC,Crops,3,Albania,5510,Production,490,Oranges,2017,2017,9130
QC,Crops,3,Albania,5510,Production,534,Peaches and nectarines,2010,2010,11525
QC,Crops,3,Albania,5510,Production,534,Peaches and nectarines,2017,2017,18359
QC,Crops,3,Albania,5510,Production,521,Pears,2010,2010,7326
QC,Crops,3,Albania,5510,Production,521,Pears,2017,2017,13458
QC,Crops,3,Albania,5510,Production,417,"Peas, green",2010,2010,3071
QC,Crops,3,Albania,5510,Production,417,"Peas, green",2017,2017,5749
QC,Crops,3,Albania,5510,Production,536,Plums and sloes,2010,2010,26083
QC,Crops,3,Albania,5510,Production,536,Plums and sloes,2017,2017,42437
QC,Crops,3,Albania,5510,Production,116,Potatoes,2010,2010,208000
QC,Crops,3,Albania,5510,Production,116,Potatoes,2017,2017,249804
QC,Crops,3,Albania,5510,Production,211,Pulses nes,2010,2010,600
QC,Crops,3,Albania,5510,Production,211,Pulses nes,2017,2017,704
QC,Crops,3,Albania,5510,Production,394,"Pumpkins, squash and gourds",2010,2010,9726
QC,Crops,3,Albania,5510,Production,394,"Pumpkins, squash and gourds",2017,2017,13868
QC,Crops,3,Albania,5510,Production,523,Quinces,2010,2010,3195
QC,Crops,3,Albania,5510,Production,523,Quinces,2017,2017,4150
QC,Crops,3,Albania,5510,Production,27,"Rice, paddy",2010,2010,
QC,Crops,3,Albania,5510,Production,27,"Rice, paddy",2017,2017,0
QC,Crops,3,Albania,5510,Production,30,"Rice, paddy (rice milled equivalent)",2010,2010,
QC,Crops,3,Albania,5510,Production,30,"Rice, paddy (rice milled equivalent)",2017,2017,0
QC,Crops,3,Albania,5510,Production,71,Rye,2010,2010,2300
QC,Crops,3,Albania,5510,Production,71,Rye,2017,2017,2695
QC,Crops,3,Albania,5510,Production,328,Seed cotton,2010,2010,741
QC,Crops,3,Albania,5510,Production,328,Seed cotton,2017,2017,820
QC,Crops,3,Albania,5510,Production,83,Sorghum,2010,2010,
QC,Crops,3,Albania,5510,Production,83,Sorghum,2017,2017,0
QC,Crops,3,Albania,5510,Production,236,Soybeans,2010,2010,500
QC,Crops,3,Albania,5510,Production,236,Soybeans,2017,2017,500
QC,Crops,3,Albania,5510,Production,723,Spices nes,2010,2010,286
QC,Crops,3,Albania,5510,Production,723,Spices nes,2017,2017,362
QC,Crops,3,Albania,5510,Production,373,Spinach,2010,2010,13768
QC,Crops,3,Albania,5510,Production,373,Spinach,2017,2017,19968
QC,Crops,3,Albania,5510,Production,544,Strawberries,2017,2017,5089
QC,Crops,3,Albania,5510,Production,157,Sugar beet,2010,2010,40000
QC,Crops,3,Albania,5510,Production,157,Sugar beet,2017,2017,31599
QC,Crops,3,Albania,5510,Production,267,Sunflower seed,2010,2010,2600
QC,Crops,3,Albania,5510,Production,267,Sunflower seed,2017,2017,1117
QC,Crops,3,Albania,5510,Production,495,"Tangerines, mandarins, clementines, satsumas",2010,2010,5037
QC,Crops,3,Albania,5510,Production,495,"Tangerines, mandarins, clementines, satsumas",2017,2017,28674
QC,Crops,3,Albania,5510,Production,826,"Tobacco, unmanufactured",2010,2010,1700
QC,Crops,3,Albania,5510,Production,826,"Tobacco, unmanufactured",2017,2017,1358
QC,Crops,3,Albania,5510,Production,388,Tomatoes,2010,2010,199283
QC,Crops,3,Albania,5510,Production,388,Tomatoes,2017,2017,286811
QC,Crops,3,Albania,5510,Production,463,"Vegetables, fresh nes",2010,2010,14949
