iso3c,ID_0,Country,split_rest_names,harvested_area,prod_system
AFG,1,Afghanistan,whea,2091073.5998416767,A
AFG,1,Afghanistan,rice,162463.7999240756,A
AFG,1,Afghanistan,maiz,138419.10002911836,A
AFG,1,Afghanistan,barl,223552.8998036757,A
AFG,1,Afghanistan,pmil,15.000000268220901,A
AFG,1,Afghanistan,smil,6639.8000097721815,A
AFG,1,Afghanistan,sorg,2.7000000402331352,A
AFG,1,Afghanistan,ocer,18.400000393390656,A
AFG,1,Afghanistan,pota,21413.099972359836,A
AFG,1,Afghanistan,swpo,0,A
AFG,1,Afghanistan,yams,0,A
AFG,1,Afghanistan,cass,0,A
AFG,1,Afghanistan,orts,0,A
AFG,1,Afghanistan,bean,297.60000152140856,A
AFG,1,Afghanistan,chic,7.900000035762787,A
AFG,1,Afghanistan,cowp,0,A
AFG,1,Afghanistan,pige,0,A
AFG,1,Afghanistan,lent,20.100000225007534,A
AFG,1,Afghanistan,opul,69256.60001640767,A
AFG,1,Afghanistan,soyb,0.30000000447034836,A
AFG,1,Afghanistan,grou,54.999998942017555,A
AFG,1,Afghanistan,cnut,0,A
AFG,1,Afghanistan,oilp,0,A
AFG,1,Afghanistan,sunf,2204.0000150725245,A
AFG,1,Afghanistan,rape,137.1000036895275,A
AFG,1,Afghanistan,sesa,46769.499859154224,A
AFG,1,Afghanistan,sugc,3050.2000000178814,A
AFG,1,Afghanistan,sugb,1359.7000100240111,A
AFG,1,Afghanistan,cott,35890.80003658682,A
AFG,1,Afghanistan,acof,0,A
AFG,1,Afghanistan,rcof,0,A
AFG,1,Afghanistan,coco,0,A
AFG,1,Afghanistan,teas,0,A
AFG,1,Afghanistan,toba,2.800000049173832,A
AFG,1,Afghanistan,bana,19.799999237060547,A
AFG,1,Afghanistan,plnt,0,A
AFG,1,Afghanistan,temf,105589.29972339422,A
AFG,1,Afghanistan,ooil,4594.2000563293695,A
AFG,1,Afghanistan,ofib,0,A
AFG,1,Afghanistan,trof,59788.19993586838,A
AFG,1,Afghanistan,vege,66549.49997713417,A
