iso3c,animal,lsu_value
ARM,cows,0.6
AFG,cows,0.7
ALB,cows,0.6
DZA,cows,0.7
AND,cows,0.6
AGO,cows,0.5
ATG,cows,0.6
ARG,cows,0.7
AUS,cows,0.9
AUT,cows,0.9
BHS,cows,0.6
BHR,cows,0.7
BRB,cows,0.6
BGD,cows,0.5
BTN,cows,0.5
BOL,cows,0.7
BWA,cows,0.5
BRA,cows,0.7
BLZ,cows,0.7
SLB,cows,0.6
BRN,cows,0.65
BGR,cows,0.6
MMR,cows,0.65
BDI,cows,0.5
CMR,cows,0.5
CAN,cows,1
CPV,cows,0.5
CAF,cows,0.5
LKA,cows,0.5
TCD,cows,0.5
CHL,cows,0.7
CHN,cows,0.65
COL,cows,0.7
COM,cows,0.5
COG,cows,0.5
COK,cows,0.6
CRI,cows,0.7
CUB,cows,0.6
CYP,cows,0.7
AZE,cows,0.6
BEN,cows,0.5
DNK,cows,0.9
DMA,cows,0.6
DOM,cows,0.6
BLR,cows,0.6
ECU,cows,0.7
EGY,cows,0.7
SLV,cows,0.7
GNQ,cows,0.5
EST,cows,0.6
FRO,cows,0.6
FJI,cows,0.6
FIN,cows,0.9
FRA,cows,0.9
DJI,cows,0.5
GEO,cows,0.6
GAB,cows,0.5
GMB,cows,0.5
DEU,cows,0.9
BIH,cows,0.6
GHA,cows,0.5
KIR,cows,0.6
GRC,cows,0.9
GRD,cows,0.6
GTM,cows,0.7
GIN,cows,0.5
GUY,cows,0.7
HTI,cows,0.6
HND,cows,0.7
HUN,cows,0.6
HRV,cows,0.6
ISL,cows,0.9
IND,cows,0.5
IDN,cows,0.65
IRN,cows,0.7
IRQ,cows,0.7
IRL,cows,0.9
ISR,cows,0.6
ITA,cows,0.9
CIV,cows,0.5
KAZ,cows,0.6
JAM,cows,0.6
JPN,cows,0.9
JOR,cows,0.7
KGZ,cows,0.6
KEN,cows,0.5
KHM,cows,0.65
PRK,cows,0.65
KOR,cows,0.65
KWT,cows,0.7
LVA,cows,0.6
LAO,cows,0.65
LBN,cows,0.7
LSO,cows,0.5
LBR,cows,0.5
LBY,cows,0.7
LTU,cows,0.6
MHL,cows,0.6
MDG,cows,0.5
MWI,cows,0.5
MYS,cows,0.65
MDV,cows,0.5
MLI,cows,0.5
MLT,cows,0.6
MRT,cows,0.5
MUS,cows,0.5
MEX,cows,0.7
MCO,cows,0.6
MNG,cows,0.65
MAR,cows,0.7
MOZ,cows,0.5
FSM,cows,0.6
MDA,cows,0.6
NAM,cows,0.5
NRU,cows,0.6
NPL,cows,0.5
NLD,cows,0.9
MKD,cows,0.6
VUT,cows,0.6
NZL,cows,0.9
NIC,cows,0.7
NER,cows,0.5
NGA,cows,0.5
NIU,cows,0.6
NOR,cows,0.9
PAK,cows,0.5
PAN,cows,0.7
CZE,cows,0.6
PNG,cows,0.6
PRY,cows,0.7
PER,cows,0.7
PHL,cows,0.65
POL,cows,0.6
PRT,cows,0.9
GNB,cows,0.5
TLS,cows,0.65
ERI,cows,0.5
QAT,cows,0.7
PLW,cows,0.6
ZWE,cows,0.5
ROU,cows,0.6
RWA,cows,0.5
RUS,cows,0.6
KNA,cows,0.6
LCA,cows,0.6
VCT,cows,0.6
SMR,cows,0.6
STP,cows,0.5
SAU,cows,0.7
SEN,cows,0.5
SYC,cows,0.5
SLE,cows,0.5
SVN,cows,0.6
SVK,cows,0.6
SGP,cows,0.65
SOM,cows,0.5
ZAF,cows,0.7
ESP,cows,0.9
SUR,cows,0.7
TJK,cows,0.6
SWZ,cows,0.5
SWE,cows,0.9
CHE,cows,0.9
SYR,cows,0.7
TKM,cows,0.6
TZA,cows,0.5
THA,cows,0.65
TGO,cows,0.5
TKL,cows,0.6
TON,cows,0.6
TTO,cows,0.6
OMN,cows,0.7
TUN,cows,0.7
TUR,cows,0.7
ARE,cows,0.7
UGA,cows,0.5
TUV,cows,0.6
GBR,cows,0.9
UKR,cows,0.6
USA,cows,1
BFA,cows,0.5
URY,cows,0.7
UZB,cows,0.6
VEN,cows,0.7
VNM,cows,0.65
ETH,cows,0.5
WSM,cows,0.6
YEM,cows,0.7
COD,cows,0.5
ZMB,cows,0.5
BEL,cows,0.9
LUX,cows,0.9
SRB,cows,0.6
MNE,cows,0.6
SDN,cows,0.5
SSD,cows,0.5
ARM,buffaloes,0.7
AFG,buffaloes,0.7
ALB,buffaloes,0.7
DZA,buffaloes,0.7
AND,buffaloes,0.6
AGO,buffaloes,0
ATG,buffaloes,0.6
