iso3c,lsu
ABW,0
AFG,3014303.5585050057
AGO,10312049.933659581
AIA,0
ALA,0
ALB,56823.4074714026
AND,0
ARE,325309.2068652476
ARG,53350939.53128178
ARM,286507.1536896242
ASM,0
ATG,0
AUS,110511041.63288704
AUT,139333.5788089744
AZE,661442.3776885201
BDI,6089.7307930623365
BEL,0
BEN,2298544.9739596485
BES,240.98064911127088
BFA,13014205.408666449
BGD,492377.6411881208
BGR,1842.1659317494855
BHR,20216.76960740089
BHS,0
BIH,5000.094372526939
BLM,0
BLR,0
BLZ,13503.741398791844
BMU,451.5931700944901
BOL,22076060.797369454
BRA,130995526.06761268
BRB,0
BRN,2.134395080882544e-11
BTN,123488.89809185218
BWA,2889100.944580716
CAF,14382000.160785798
CAN,25316.9899574756
CCK,0
CHE,281664.54524478683
CHL,2204014.9778746855
CHN,32416983.93242869
CIV,3104789.1287381905
CMR,9703029.597456314
COD,1676893.4400556479
COG,1111041.4667081332
COK,0
COL,12832056.463612216
COM,0
CPV,22252.927951499525
CRI,0
CUB,78748.53411983869
CUW,0
CXR,0
CYM,0
CYP,71657.13175063486
CZE,0
DEU,0
DJI,1101114.000102665
DMA,25468.883991166364
DNK,0
DOM,94825.56837405813
DZA,2248097.0516828336
ECU,436679.7670933283
EGY,2549073.4491883186
ERI,2722607.546402536
ESH,0
ESP,702996.6366059838
EST,0
ETH,28938621.804699685
FIN,0
FJI,94532.92228967059
FLK,0
FRA,125243.7993161362
FRO,0
FSM,0
GAB,41291.561136074066
GBR,4066202.2004711335
GEO,146160.31752174057
GGY,0
GHA,2438943.021535303
GIB,0
GIN,17232691.347190168
GLP,22304.938575481145
GMB,235978.70792099365
GNB,1425491.6030603
GNQ,0
GRC,266774.87318312476
GRD,0
GRL,4.363971883316066
GTM,0
GUF,844.1288932991118
GUM,273.9927254581451
GUY,149476.31566449392
HKG,0
HND,520433.52963389124
HRV,9831.071481218385
HTI,63252.995649137934
HUN,0
IDN,333504.3499715431
IMN,0
IND,10542795.590798864
IOT,0
IRL,15728217.668420943
IRN,7418754.011956705
IRQ,2280841.6081473953
ISL,905.9046362524749
ISR,167608.2323941889
ITA,1973189.368287293
JAM,0
JEY,0
JOR,138746.02965337443
JPN,14605.440264111878
KAZ,0
KEN,20962975.452231076
KGZ,208830.4304015666
KHM,1035245.6972482315
KIR,0
KNA,0
KOR,0
KWT,96416.37829190909
LAO,4289619.568107806
LBN,9730.688999921336
LBR,1546.9802593437983
LBY,271174.57762885507
LCA,0
LIE,0
LKA,5030.663695908603
LSO,0
LTU,0
LUX,0
LVA,0
MAC,0
MAF,0
MAR,1539058.6896926349
MCO,0
MDA,0
MDG,26594365.124813948
MDV,0
MEX,35891851.60666967
MHL,0
MKD,11365.642312994549
MLI,19416212.369055238
MLT,0
MMR,6431892.54142397
MNE,317.97998123775307
MNG,0
MNP,0
MOZ,3430227.168508217
MRT,5148063.101106915
MSR,0
MTQ,0
MUS,0
MWI,736094.5195587988
MYS,7090.133528034705
MYT,0
NAM,8222285.389944429
NCL,73293.35587436095
NER,16877866.64972278
NFK,0
NGA,4794418.136092289
NIC,164418.09340217419
NIU,0
NLD,0
NOR,12206.150386019672
NPL,679796.1748886305
NRU,0
NZL,9954739.5778442
OMN,1257929.4344869142
PAK,15740981.906346887
PAN,54990.08259395209
PCN,0
PER,4449331.153477308
PHL,82684.02606475563
PLW,0
PNG,52894.734648408674
POL,3002.93977022736
PRI,5233.473176171315
PRK,0
PRT,378214.5843231515
PRY,8749845.547423704
PSE,13621.820380066189
PYF,0
QAT,103962.90442785528
REU,0
ROU,0
RUS,160029.10063026872
RWA,22030.124390239493
SAU,421927.52968164295
SDN,26685903.32110569
SEN,2965464.4946691757
SGP,0
SHN,0
SJM,0
SLB,44182.44016999015
SLE,271374.18096060306
SLV,4408.954145524624
SMR,0
SOM,11624045.070120592
SPM,10.98557276896126
SRB,0
SSD,12372506.517865298
STP,0
SUR,87746.56816044025
SVK,0
SVN,0
SWE,0
SWZ,717481.0047545435
SXM,0
SYC,0
SYR,1109001.7787782073
TCA,0
TCD,48439999.00692587
TGO,329409.81040780316
THA,960008.275622598
TJK,2624099.011227827
TKL,0
TKM,1151258.345856349
TLS,0
TON,0
TTO,4823.765650077349
TUN,31770.974304896015
TUR,1404942.6270781795
TUV,0
TWN,1918.8751158427983
TZA,13585819.944853608
UGA,3046331.8639440527
UKR,0
URY,29774176.6142463
USA,73302946.55346073
UZB,9133046.924478622
VCT,0
VEN,15156868.91151029
VGB,3831.7998771667476
VIR,15677.953423739016
VNM,801811.2784085285
VUT,25908.919864824187
WLF,0
WSM,0
XKO,0
XMI,0
YEM,3549108.989649534
ZAF,20354532.8128089
ZMB,10497557.46523436
ZWE,8394426.009737903
