animal,system,product,km2_global
cows,grassland,meat,781245.1456124671
cows,grassland,milk,158265.4260370329
cows,mixed,meat,6842.932103681278
cows,mixed,milk,1519.9375252537034
buffaloes,grassland,meat,12545.361042597513
buffaloes,grassland,milk,15559.301731497795
buffaloes,mixed,meat,170.32330495826108
buffaloes,mixed,milk,935.7998186551223
goats,grassland,meat,132528.23760128097
goats,grassland,milk,137036.1432763591
goats,mixed,meat,2000.8741863861017
goats,mixed,milk,1552.3571591793198
sheep,grassland,meat,128983.65543939057
sheep,grassland,milk,94971.62290051939
sheep,mixed,meat,1885.387715225633
sheep,mixed,milk,825.9997920177846
chickens,industrial,meat,6627.434082288742
chickens,industrial,eggs,2948.2064581776376
chickens,backyard,eggs&meat,4116.9033419511115
pigs,industrial,meat,8584.587073080966
pigs,backyard,meat,6018.242759617147
pigs,intermediate,meat,2448.1217503728185
