ID_0,iso3c
14,ABW
8,AGO
9,AIA
4,ALB
241,ARE
12,ARG
6,ASM
10,ATA
11,ATG
15,AUS
23,BEL
25,BEN
20,BGD
37,BGR
19,BHR
18,BHS
30,BIH
24,BLZ
26,BMU
33,BRA
21,BRB
36,BRN
400,uninhabited_island
42,CAN
52,CCK
48,CHL
49,CHN/MAC/HKG
57,CIV
41,CMR
301,COD
185,COG
55,COK
53,COL
54,COM
43,CPV
56,CRI
59,CUB
60,CUW
50,CXR
45,CYM
61,CYP
86,DEU
65,DJI
66,DMA
64,DNK
67,DOM
5,DZA
68,ECU
69,EGY
72,ERI
253,ESH
215,ESP
73,EST
78,FIN
77,FJI
75,FLK
79,FRA
76,FRO
83,GAB
242,GBR
85,GEO
95,GGY
87,GHA
88,GIB
96,GIN
84,GMB
97,GNB
71,GNQ
89,GRC
91,GRD
90,GRL
94,GTM
80,GUF
98,GUY
101,HND
58,HRV
99,HTI
106,IDN
105,IND
34,IOT
109,IRL
107,IRN
108,IRQ
104,ISL
111,ISR
112,ITA
113,JAM
115,JEY
116,JOR
114,JPN
118,KEN
40,KHM
119,KIR
193,KNA
213,KOR
121,KWT
125,LBN
127,LBR
128,LBY
194,LCA
217,LKA
130,LTU
124,LVA
152,MAR
148,MCO
134,MDG
137,MDV
145,MEX
140,MHL
139,MLT
154,MMR
150,MNE
153,MOZ
142,MRT
151,MSR
143,MUS
136,MYS
144,MYT
400,ATF
182,PRT
29,BES
82,ATF
92141,GLP/MTQ
244,UMI
300,XMI
146,FSM
16893,MNP/GUM
191,MAF
229,TLS
183251,PRI/VIR
155,NAM
159,NCL
165,NFK
163,NGA
161,NIC
164,NIU
158,NLD
169,NOR
156,NRU
160,NZL
170,OMN
171,PAK
174,PAN
180,PCN
178,PER
179,PHL
172,PLW
175,PNG
181,POL
166,PRK
81,PYF
184,QAT
186,REU
187,ROU
188,RUS
200,SAU
218,SDN
201,SEN
205,SGP
192,SHN
209,SLB
204,SLE
70,SLV
210,SOM
195,SPM
199,STP
219,SUR
208,SVN
222,SWE
206,SXM
203,SYC
224,SYR
237,TCA
230,TGO
228,THA
231,TKL
232,TON
233,TTO
234,TUN
235,TUR
238,TUV
225,TWN
227,TZA
240,UKR
245,URY
243,USA
196,VCT
249,VEN
35,VGB
250,VNM
247,VUT
252,WLF
197,WSM
254,YEM
211,ZAF
355,disputed
2600,FAO
2610,FAO
2620,FAO
2630,FAO
2640,FAO
2660,FAO
2670,FAO
2690,FAO
2700,FAO
2720,FAO
2730,FAO
2740,FAO
2750,FAO
2760,FAO
2770,FAO
